"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,15035,14842,0.006,1.247,0.264,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",7,2,0.556,2.942,0.086,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",10,16,-0.231,1.397,0.237,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",5,1,0.667,2.911,0.088,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",5,17,-0.545,6.916,0.009,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,6,-1.000,8.318,0.004,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",15,11,0.154,0.618,0.432,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",3,3,0.000,-0.000,1.000,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",11,9,0.100,0.200,0.654,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",3,2,0.200,0.201,0.654,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",19,24,-0.116,0.583,0.445,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",46,35,0.136,1.498,0.221,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",48,45,0.032,0.097,0.756,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",102,110,-0.038,0.302,0.583,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",54,43,0.113,1.250,0.264,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",124,100,0.107,2.576,0.108,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",39,51,-0.133,1.605,0.205,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",110,94,0.078,1.256,0.262,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",26,30,-0.071,0.286,0.593,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",75,73,0.014,0.027,0.869,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",170,136,0.111,3.786,0.052,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",288,286,0.003,0.007,0.933,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",264,308,-0.077,3.388,0.066,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",516,534,-0.017,0.309,0.579,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",336,328,0.012,0.096,0.756,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",43,46,-0.034,0.101,0.750,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",96,101,-0.025,0.127,0.722,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",256,268,-0.023,0.275,0.600,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",501,502,-0.001,0.001,0.975,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",849,848,0.001,0.001,0.981,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",1388,1369,0.007,0.131,0.717,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",60,49,0.101,1.112,0.292,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",120,152,-0.118,3.773,0.052,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",367,338,0.041,1.193,0.275,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",641,657,-0.012,0.197,0.657,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",1463,1400,0.022,1.386,0.239,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",75,71,0.027,0.110,0.741,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",149,143,0.021,0.123,0.725,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",457,466,-0.010,0.088,0.767,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",853,887,-0.020,0.664,0.415,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",99,87,0.065,0.775,0.379,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",212,228,-0.036,0.582,0.446,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",675,652,0.017,0.399,0.528,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",148,135,0.046,0.597,0.440,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",281,331,-0.082,4.090,0.043,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",221,234,-0.029,0.371,0.542,1
