#topo1 ((cra,his),L10_A,L10_a);
#topo2 ((cra,L10_A),his,L10_a);
#topo3 ((cra,L10_a),his,L10_A);
topo1	topo2	topo3
8	112	0
8	0	112
120	0	0
120	0	0
2	66	52
120	0	0
120	0	0
120	0	0
13	64	43
120	0	0
10	54	56
15	78	27
120	0	0
120	0	0
15	75	30
120	0	0
6	56	58
120	0	0
120	0	0
120	0	0
120	0	0
18	49	53
4	51	65
8	70	42
NA	NA	NA
6	28	86
12	61	47
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
72	39	9
5	58	57
NA	NA	NA
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
NA	NA	NA
8	0	112
120	0	0
120	0	0
NA	NA	NA
NA	NA	NA
0	56	64
120	0	0
120	0	0
120	0	0
72	21	27
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
3	56	61
24	66	30
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
12	58	50
120	0	0
120	0	0
NA	NA	NA
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
63	24	33
72	27	21
72	21	27
120	0	0
8	112	0
120	0	0
NA	NA	NA
120	0	0
NA	NA	NA
120	0	0
NA	NA	NA
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
84	20	16
120	0	0
120	0	0
80	12	28
18	0	102
NA	NA	NA
NA	NA	NA
63	30	27
120	0	0
72	27	21
120	0	0
72	27	21
63	24	33
120	0	0
120	0	0
NA	NA	NA
10	66	44
72	21	27
120	0	0
NA	NA	NA
72	27	21
15	59	46
100	11	9
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
7	62	51
99	12	9
80	22	18
35	12	73
57	30	33
120	0	0
NA	NA	NA
27	46	47
63	41	16
99	0	21
2	51	67
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
NA	NA	NA
80	23	17
30	51	39
NA	NA	NA
NA	NA	NA
48	35	37
31	44	45
58	27	35
58	33	29
11	51	58
100	9	11
57	27	36
NA	NA	NA
57	27	36
58	27	35
64	24	32
64	24	32
64	24	32
58	33	29
58	27	35
64	24	32
58	27	35
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
32	49	39
60	36	24
37	39	44
36	39	45
36	43	41
NA	NA	NA
NA	NA	NA
24	31	65
60	24	36
60	24	36
80	0	40
99	12	9
80	23	17
120	0	0
84	16	20
120	0	0
32	26	62
12	65	43
84	20	16
46	32	42
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
4	53	63
60	24	36
NA	NA	NA
40	47	33
120	0	0
22	57	41
NA	NA	NA
21	53	46
NA	NA	NA
120	0	0
120	0	0
6	49	65
24	39	57
120	0	0
120	0	0
NA	NA	NA
NA	NA	NA
0	59	61
36	38	46
20	33	67
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
60	36	24
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
84	20	16
120	0	0
NA	NA	NA
NA	NA	NA
40	36	44
120	0	0
60	24	36
120	0	0
28	50	42
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
28	42	50
NA	NA	NA
NA	NA	NA
NA	NA	NA
80	17	23
108	12	0
84	16	20
NA	NA	NA
80	24	16
120	0	0
6	44	70
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
84	20	16
NA	NA	NA
84	16	20
120	0	0
120	0	0
NA	NA	NA
72	21	27
120	0	0
48	37	35
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
48	41	31
60	35	25
84	16	20
NA	NA	NA
NA	NA	NA
48	31	41
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
34	43	43
43	41	36
43	41	36
NA	NA	NA
120	0	0
120	0	0
43	31	46
120	0	0
120	0	0
42	42	36
68	28	24
120	0	0
NA	NA	NA
34	47	39
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
60	25	35
33	38	49
44	38	38
65	37	18
53	31	36
42	41	37
15	48	57
44	40	36
NA	NA	NA
39	44	37
63	33	24
80	23	17
48	37	35
120	0	0
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
84	20	16
84	16	20
62	30	28
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
3	112	5
120	0	0
32	71	17
120	0	0
NA	NA	NA
84	20	16
120	0	0
120	0	0
120	0	0
15	75	30
NA	NA	NA
NA	NA	NA
84	20	16
120	0	0
1	72	47
NA	NA	NA
NA	NA	NA
81	30	9
80	23	17
2	54	64
120	0	0
8	112	0
3	43	74
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
60	30	30
120	0	0
NA	NA	NA
60	30	30
NA	NA	NA
120	0	0
10	64	46
54	49	17
NA	NA	NA
NA	NA	NA
NA	NA	NA
64	32	24
27	45	48
48	34	38
92	10	18
62	26	32
36	37	47
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
92	10	18
62	32	26
22	42	56
NA	NA	NA
36	43	41
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
15	105	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
120	0	0
NA	NA	NA
120	0	0
36	52	32
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
40	33	47
44	44	32
NA	NA	NA
NA	NA	NA
68	24	28
12	61	47
NA	NA	NA
NA	NA	NA
2	73	45
30	24	66
120	0	0
120	0	0
120	0	0
4	32	84
120	0	0
NA	NA	NA
120	0	0
120	0	0
120	0	0
120	0	0
48	40	32
120	0	0
120	0	0
42	43	35
9	52	59
110	0	10
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
120	0	0
92	18	10
10	101	9
19	76	25
NA	NA	NA
NA	NA	NA
15	39	66
15	66	39
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
48	42	30
120	0	0
88	23	9
120	0	0
6	65	49
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
56	40	24
120	0	0
120	0	0
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
120	0	0
120	0	0
14	40	66
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
