"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,15847,13827,0.068,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",59,14,0.616,29.835,0.000,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",63,16,0.595,29.902,0.000,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",21,6,0.556,8.826,0.003,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",37,20,0.298,5.148,0.023,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",10,6,0.250,1.011,0.315,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",26,16,0.238,2.404,0.121,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",10,7,0.176,0.532,0.466,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",20,20,0.000,-0.000,1.000,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",11,16,-0.185,0.931,0.335,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",68,49,0.162,3.099,0.078,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",110,60,0.294,14.926,0.000,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",114,56,0.341,20.191,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",203,89,0.390,45.713,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",101,64,0.224,8.368,0.004,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",156,132,0.083,2.002,0.157,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",70,58,0.094,1.127,0.288,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",158,119,0.141,5.509,0.019,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",79,54,0.188,4.727,0.030,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",134,114,0.081,1.615,0.204,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",271,153,0.278,33.277,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",350,248,0.171,17.483,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",441,234,0.307,64.514,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",597,397,0.201,40.517,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",368,278,0.139,12.580,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",106,78,0.152,4.277,0.039,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",156,118,0.139,5.287,0.021,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",346,286,0.095,5.705,0.017,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",524,415,0.116,12.681,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",829,597,0.163,37.913,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",1047,981,0.033,2.148,0.143,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",103,98,0.025,0.124,0.724,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",179,191,-0.032,0.389,0.533,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",410,386,0.030,0.724,0.395,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",626,541,0.073,6.197,0.013,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",1195,1066,0.057,7.364,0.007,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",121,113,0.034,0.274,0.601,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",192,213,-0.052,1.089,0.297,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",530,461,0.070,4.808,0.028,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",766,762,0.003,0.010,0.918,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",166,181,-0.043,0.649,0.421,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",237,251,-0.029,0.402,0.526,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",559,609,-0.043,2.141,0.143,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",217,222,-0.011,0.057,0.811,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",349,374,-0.035,0.865,0.352,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",355,354,0.001,0.001,0.970,1
