"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,2401,3409,-0.173,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,0,,,,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",0,0,,,,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,0,,,,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",0,0,,,,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,0,,,,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,1,-1.000,1.386,0.239,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",0,9,-1.000,12.477,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",16,21,-0.135,0.678,0.410,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",15,15,0.000,-0.000,1.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",33,39,-0.083,0.501,0.479,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",29,13,0.381,6.252,0.012,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",41,72,-0.274,8.614,0.003,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,0,,,,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",0,4,-1.000,5.545,0.019,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",25,30,-0.091,0.455,0.500,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",23,83,-0.566,36.058,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",85,168,-0.328,27.740,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",178,471,-0.451,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",267,277,-0.018,0.184,0.668,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",0,4,-1.000,5.545,0.019,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",0,0,,,,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",7,33,-0.650,18.354,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",20,55,-0.467,16.985,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",133,288,-0.368,58.431,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",373,549,-0.191,33.804,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,0,,,,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",1,22,-0.913,23.658,0.000,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",35,26,0.148,1.333,0.248,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",236,213,0.051,1.179,0.278,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",7,1,0.750,5.062,0.024,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",18,22,-0.100,0.401,0.527,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",0,3,-1.000,4.159,0.041,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
