T1,T2,T3
0.40504576,0.11346176,0.48149248
0.68192,0.279168,0.038912
0.30182656,0.19063808,0.50753536
0.51641344,0.1328,0.35078656
0.702912,0.135168,0.16192
0.4747904,0.31276032,0.21244928
0.84224,0.0608,0.09696
0.26048,0.435328,0.304192
0.213504,0.301824,0.484672
0.578496,0.339328,0.082176
0.798912,0.02112,0.179968
0.35296,0.410624,0.236416
0.32719872,0.2335872,0.43921408
0.648128,0.296,0.055872
0.631424,0.216576,0.152
0.7712,0.144,0.0848
0.414272,0.192192,0.393536
0.78276096,0.07274752,0.14449152
0.96,0.04,0.0
0.33472,0.185216,0.480064
0.612032,0.234304,0.153664
0.605248,0.110592,0.28416
0.23456,0.69056,0.07488
0.450304,0.3833088,0.1663872
0.33989888,0.41191936,0.24818176
0.80864,0.11648,0.07488
0.292032,0.29248,0.415488
0.57014016,0.39873792,0.03112192
0.284288,0.447936,0.267776
0.463296,0.257536,0.279168
0.2991744,0.3481344,0.3526912
0.672,0.16,0.168
0.28519936,0.39024128,0.32455936
0.4624,0.28032,0.25728
0.345536,0.616832,0.037632
0.37632,0.2368,0.38688
0.96,0.0352,0.0048
0.442432,0.19968,0.357888
0.4921728,0.2395136,0.2683136
0.40777984,0.37787136,0.2143488
0.75136,0.0,0.24864
0.1387648,0.2660736,0.5951616
0.12,0.736,0.144
0.435776,0.340864,0.22336
0.6471296,0.1814912,0.1713792
0.7319552,0.1511424,0.1169024
0.4384,0.2896,0.272
0.82368,0.057344,0.118976
0.581888,0.21056,0.207552
0.77820672,0.12824064,0.09355264
0.695296,0.073728,0.230976
0.60713728,0.24247808,0.15038464
0.596672,0.1664,0.236928
0.43586048,0.27515392,0.2889856
0.92608,0.05376,0.02016
0.496,0.2688,0.2352
0.71584,0.09216,0.192
0.4111616,0.2473472,0.3414912
0.528,0.3696,0.1024
0.329088,0.352576,0.318336
0.88,0.01344,0.10656
0.7088,0.212864,0.078336
0.732096,0.148352,0.119552
0.5145984,0.2415872,0.2438144
0.84,0.128,0.032
0.76,0.24,0.0
0.137536,0.644928,0.217536
0.47637248,0.32872448,0.19490304
0.39792384,0.25291008,0.34916608
0.96,0.001408,0.038592
0.39104,0.293184,0.315776
0.715712,0.169984,0.114304
0.6554112,0.2075392,0.1370496
0.4784,0.31712,0.20448
0.447872,0.25696,0.295168
0.49011712,0.35862528,0.1512576
0.679168,0.3024,0.018432
0.86981376,0.09126912,0.03891712
0.35578368,0.25926144,0.38495488
0.674944,0.1456,0.179456
0.676736,0.1728,0.150464
0.436608,0.1872,0.376192
0.341824,0.213632,0.444544
0.132608,0.250112,0.61728
0.18647552,0.6031104,0.21041408
0.970368,0.012992,0.01664
0.47328,0.37952,0.1472
0.78528,0.09856,0.11616
0.5964032,0.20846848,0.19512832
0.4415232,0.2374784,0.3209984
0.534784,0.256832,0.208384
0.448768,0.262592,0.28864
0.383808,0.376512,0.23968
0.6256,0.3456,0.0288
0.850752,0.141568,0.00768
0.831808,0.07872,0.089472
0.53447424,0.29393408,0.17159168
0.667904,0.055808,0.276288
0.26219264,0.18252032,0.55528704
0.705152,0.131712,0.163136
0.399808,0.21824,0.381952
0.4668288,0.3045376,0.2286336
0.50536448,0.28886016,0.20577536
0.74413568,0.09417216,0.16169216
0.45536,0.1984,0.34624
0.33597184,0.54597888,0.11804928
0.92576,0.06912,0.00512
0.7488,0.06976,0.18144
0.686016,0.2464,0.067584
0.316416,0.269568,0.414016
0.4848,0.273408,0.241792
0.353984,0.339456,0.30656
0.986112,0.0,0.013888
0.7627008,0.1143296,0.1229696
0.5168,0.3936,0.0896
0.606592,0.137344,0.256064
0.2286848,0.0696576,0.7016576
0.36615168,0.31761664,0.31623168
0.5999488,0.2255616,0.1744896
0.771136,0.202752,0.026112
0.32441344,0.48033536,0.1952512
0.50528,0.11712,0.3776
0.5968,0.1856,0.2176
0.32730368,0.31594752,0.3567488
0.50848,0.11776,0.37376
0.67475712,0.24364544,0.08159744
0.364544,0.402176,0.23328
0.44192768,0.00418816,0.55388416
0.34272,0.281408,0.375872
0.1660928,0.4154368,0.4184704
0.30976,0.497664,0.192576
0.2896,0.662848,0.047552
0.58345728,0.38990336,0.02663936
0.52878592,0.21472768,0.2564864
0.81184,0.045696,0.142464
0.25792,0.39424,0.34784
0.741184,0.196608,0.062208
0.37299712,0.43155712,0.19544576
0.605056,0.253632,0.141312
0.52530944,0.14371328,0.33097728
0.42013952,0.45495296,0.12490752
0.385024,0.175104,0.439872
0.296,0.50816,0.19584
0.34944,0.2896,0.36096
0.123776,0.7856,0.090624
0.60203264,0.25939968,0.13856768
0.382464,0.289856,0.32768
0.2723968,0.5638656,0.1637376
0.21577472,0.52844032,0.25578496
0.476096,0.072064,0.45184
0.29398784,0.32839424,0.37761792
0.7392,0.0304,0.2304
0.80512,0.12288,0.072
0.56536576,0.2507008,0.18393344
0.4487936,0.2076672,0.3435392
0.8697088,0.0650496,0.0652416
0.61897472,0.21003264,0.17099264
0.329152,0.273728,0.39712
0.7184,0.176,0.1056
0.299008,0.6336,0.067392
0.2892928,0.4612608,0.2494464
0.2478464,0.3053568,0.4467968
0.46899456,0.33530368,0.19570176
0.54322176,0.21869312,0.23808512
0.424,0.27136,0.30464
0.63105792,0.13819904,0.23074304
0.2418304,0.4831872,0.2749824
0.719296,0.039808,0.240896
0.18881536,0.28935168,0.52183296
0.4648832,0.2819072,0.2532096
0.52197632,0.22415104,0.25387264
0.82528,0.144,0.03072
0.47644672,0.27838464,0.24516864
0.89500672,0.05316864,0.05182464
0.5295104,0.0637184,0.4067712
0.214464,0.323648,0.461888
0.57568,0.15168,0.27264
0.3696,0.4,0.2304
0.23584,0.498688,0.265472
0.419328,0.297152,0.28352
0.70144,0.17376,0.1248
0.4523008,0.2105344,0.3371648
0.259264,0.016128,0.724608
0.728512,0.164224,0.107264
0.913088,0.044672,0.04224
0.422272,0.387328,0.1904
0.640896,0.07072,0.288384
0.54143744,0.19644928,0.26211328
0.45269504,0.27942144,0.26788352
0.32579328,0.30269696,0.37150976
0.26496,0.455424,0.279616
0.41274624,0.28790784,0.29934592
0.3977344,0.2651392,0.3371264
0.111616,0.720576,0.167808
0.7302272,0.1938304,0.0759424
0.413632,0.078336,0.508032
0.6774272,0.121344,0.2012288
0.5862656,0.0806784,0.333056
0.71392,0.0,0.28608
0.59890176,0.33690112,0.06419712
0.205952,0.719808,0.07424
0.506624,0.30496,0.188416
0.8,0.0,0.2
0.2932352,0.1880832,0.5186816
0.3449856,0.1658112,0.4892032
0.34538752,0.59142144,0.06319104
0.78509824,0.1310208,0.08388096
0.812288,0.100672,0.08704
0.18111232,0.7684224,0.05046528
0.74170112,0.15865344,0.09964544
0.295616,0.300608,0.403776
0.25400832,0.55997184,0.18601984
0.375424,0.404352,0.220224
0.560512,0.172224,0.267264
0.516608,0.2896,0.193792
0.51917056,0.2288384,0.25199104
0.3418624,0.29043456,0.36770304
0.58350336,0.30104832,0.11544832
0.6022528,0.0870656,0.3106816
0.206272,0.364416,0.429312
0.57671168,0.26473216,0.15855616
0.399808,0.155136,0.445056
0.508096,0.232576,0.259328
0.29344,0.580608,0.125952
0.30624,0.185856,0.507904
0.3765632,0.3688448,0.254592
0.233984,0.3712,0.394816
0.419392,0.312064,0.268544
0.505152,0.335488,0.15936
0.2928,0.26816,0.43904
0.657984,0.258816,0.0832
0.285696,0.487296,0.227008
0.4416,0.364672,0.193728
0.2625152,0.2618112,0.4756736
0.29338368,0.37068032,0.335936
0.338752,0.369792,0.291456
0.8517376,0.0343552,0.1139072
