0,1,2
233010,77486,80129
133847,130700,126078
97100,158500,135025
126775,108275,155575
154860,114270,121495
98000,64500,228125
188560,52200,149865
184740,62584,143301
108018,109891,172716
146527,98717,145381
100460,135310,154855
79265,38440,272920
46600,46225,297800
81393,30137,279095
49129,56979,284517
181275,34350,175000
85385,129675,175565
181050,18950,190625
130278,104362,155985
116415,154278,119932
47515,178380,164730
149850,119185,121590
86135,101485,203005
106594,189673,94358
141140,111515,137970
138953,117848,133824
65750,25725,299150
85404,165917,139304
101275,171425,117925
163747,91252,135626
65750,110625,214250
58400,45925,286300
126024,139847,124754
175030,75680,139915
109425,107100,174100
122400,157335,110890
117627,120807,152191
151250,127500,111875
60499,40157,289969
134000,49500,207125
171625,91500,127500
123200,27500,239925
129450,128950,132225
42700,144375,203550
186300,1200,203125
108840,75590,206195
145725,87825,157075
83368,40416,266841
108793,125433,156399
185125,87700,117800
101651,109352,179622
107775,110370,172480
91625,145125,153875
143280,136665,110680
81130,52005,257490
115953,50478,224194
157945,132440,100240
290000,0,100625
46555,47832,296238
61493,185850,143282
93710,78415,218500
73710,19035,297880
142035,132340,116250
153935,109655,127035
137681,137381,115563
66750,205050,118825
146470,75990,168165
87345,35090,268190
161225,52900,176500
139193,38174,213258
112379,70173,208073
185824,116829,87972
206010,83330,101285
155607,91521,143497
109925,99000,181700
92000,80000,218625
105225,107200,178200
111275,90475,188875
115200,66676,208749
35750,136875,218000
84876,85848,219901
85150,233425,72050
120031,104088,166506
143600,77025,170000
99375,78025,213225
145869,113444,131312
180450,63300,146875
164784,121723,104118
157475,76575,156575
101125,75250,214250
113326,95401,181898
38850,129500,222275
145145,142485,102995
52875,106075,231675
152722,37572,200331
106972,79347,204306
82432,158272,149921
57058,215847,117720
128825,116075,145725
76300,138325,176000
185125,53850,151650
162676,100012,127937
238075,89100,63450
108275,68900,213450
216300,36500,137825
148210,72975,169440
173900,28750,187975
116391,149510,124724
136764,111622,142239
95300,45825,249500
133628,147094,109903
179040,75710,135875
128927,128252,133446
204900,78825,106900
66356,156425,167844
63600,12375,314650
185700,72600,132325
209450,117450,63725
71168,94266,225191
147650,109050,133925
60800,121850,207975
103500,121375,165750
167000,101200,122425
