0,1,2
97375,120700,172550
124375,106875,159375
130020,81926,178679
105225,61275,224125
148270,82715,159640
208125,37500,145000
109825,62725,218075
119670,164100,106855
112551,106888,171186
131139,70519,188967
76275,81750,232600
201575,67775,121275
49400,68250,272975
111150,130400,149075
80850,32550,277225
118784,78684,193157
38600,123050,228975
103900,83125,203600
100662,107287,182676
114100,110380,166145
63396,36346,290883
45134,53734,291757
175575,91950,123100
147725,98750,144150
140625,0,250000
115325,78750,196550
179175,108400,103050
88425,147400,154800
82250,83150,225225
140040,109565,141020
186350,99750,104525
105924,109814,174887
121525,114350,154750
206788,26488,157349
97264,124710,168651
48200,74700,267725
115995,123335,151295
114610,83890,192125
165525,124300,100800
135875,99300,155450
120420,131535,138670
172875,78300,139450
69375,227500,93750
157024,112642,120959
286125,49500,55000
99525,100100,191000
121944,135969,132712
15700,84800,290125
58150,75600,256875
127550,35256,227819
130506,112921,147198
165375,24600,200650
105001,82061,203563
140625,0,250000
162225,48250,180150
70050,88225,232350
165790,71010,153825
90956,101795,197874
85299,168670,136656
140325,110575,139725
101152,119604,169869
103675,152950,134000
133475,97850,159300
79500,37375,273750
161045,88387,141193
98250,165750,126625
80170,96520,213935
27350,130775,232500
151324,72099,167202
128535,54985,207105
119246,125013,146366
81360,148506,160759
129245,147598,113782
168924,114082,107619
108500,83550,198575
110317,103525,176783
116670,53685,220270
98775,188300,103550
87993,157582,145050
93550,32550,264525
126180,109090,155355
201532,54048,135045
122065,120360,148200
107875,90750,192000
73375,122300,194950
117125,108670,164830
63450,118250,208925
66499,113482,210644
101100,167775,121750
87041,51393,252191
150727,130134,109764
79000,83875,227750
115945,163840,110840
153045,79510,158070
113850,122850,153925
186323,48532,155770
107444,116919,166262
193850,56250,140525
149925,151700,89000
159364,93767,137494
139582,96157,154886
128975,115650,146000
204750,129425,56450
59870,96255,234500
119137,131035,140453
85936,69786,234903
115312,148980,126333
129663,119156,141806
147369,118756,124500
117440,103000,170185
34390,58440,297795
149420,118860,122345
45975,55225,289425
129353,89086,172186
98655,138430,153540
152845,104095,133685
163965,38290,188370
121216,185571,83838
128425,99450,162750
135025,136050,119550
90250,97600,202775
80039,20500,290086
123785,77425,189415
92602,88412,209611
101975,173000,115650
60525,160825,169275
95100,155725,139800
175550,20150,194925
101750,119550,169325
55775,95425,239425
118168,118122,154335
10750,9750,370125
100335,89210,201080
100520,43040,247065
93750,0,296875
31610,96950,262065
97458,63894,229273
111700,98575,180350
156030,61905,172690
123974,108658,157993
86025,155500,149100
134375,114500,141750
42100,43750,304775
106050,42650,241925
150870,34470,205285
114580,128349,147696
198212,66312,126101
57750,62500,270375
121550,84175,184900
177960,104770,107895
144290,69180,177155
125750,169875,95000
153830,88610,148185
124800,100625,165200
144033,98789,147803
150654,103686,136285
56075,42900,291650
128018,127709,134898
112675,70500,207450
169645,108460,112520
52125,114000,224500
145890,77890,166845
85220,156945,148460
51850,237350,101425
153929,51424,185272
106400,119125,165100
56441,15591,318593
102978,37878,249769
120400,73700,196525
94360,53330,242935
81909,102189,206527
117875,51750,221000
43826,93726,253073
108530,117610,164485
74323,57894,258408
64358,132776,193491
61162,40212,289251
158125,120550,111950
42950,78650,269025
128475,100400,161750
67825,18150,304650
101700,130800,158125
158590,75070,156965
230450,48375,111800
129950,87950,172725
60575,77200,252850
126055,97250,167320
81150,167550,141925
77200,13650,299775
101613,78956,210056
159600,43000,188025
148846,135543,106236
101065,48525,241035
64850,108800,216975
107225,63325,220075
115390,52712,222523
68522,228447,93656
148680,104960,136985
91150,64000,235475
92025,90425,208175
98660,90614,201351
82964,101587,206074
77950,90475,222200
108037,110064,172524
93820,140020,156785
89200,134700,166725
119995,96605,174025
83050,92330,215245
0,0,390625
141600,115174,133851
101875,106425,182325
177660,79435,133530
140650,97875,152100
16750,24000,349875
92200,135400,163025
128658,65508,196459
42750,47700,300175
121875,119375,149375
218525,38325,133775
133000,89125,168500
71000,92625,227000
136022,88452,166151
63200,107225,220200
194320,113540,82765
123875,90250,176500
57750,200475,132400
109004,112533,169088
117700,54625,218300
129218,148230,113177
76989,48764,264872
151250,70050,169325
110440,118788,161397
55187,68954,266484
154350,27700,208575
138325,100350,151950
242147,64742,83736
127625,43000,220000
158425,29925,202275
27683,59630,303312
206275,75175,109175
57838,41208,291579
126260,28680,235685
64300,164350,161975
138820,103615,148190
113800,126775,150050
93150,110000,187475
160385,102570,127670
132247,118024,140354
115390,104252,170983
62131,76966,251528
142520,112445,135660
150875,85575,154175
91216,73610,225799
94248,127504,168873
145044,77794,167787
80625,153775,156225
129500,89875,171250
56710,78960,254955
148750,62500,179375
79385,63910,247330
111775,105950,172900
51300,22800,316525
107755,154541,128329
172450,111450,106725
137270,80001,173354
163256,113987,113382
118526,98208,173891
102540,164310,123775
157250,125750,107625
155375,132550,102700
121560,96135,172930
123582,105532,161511
145000,86000,159625
110350,72092,208183
133550,114130,142945
90125,140250,160250
76867,78992,234766
158125,71300,161200
119808,76608,194209
99795,111500,179330
102875,114750,173000
72335,246051,72239
59756,52422,278447
88062,76905,225658
170050,93775,126800
177630,30730,182265
75683,89540,225402
111925,39475,239225
168750,48750,173125
26775,228000,135850
314375,11250,65000
129936,77161,183528
86897,43072,260656
133925,101175,155525
139425,37375,213825
64375,135000,191250
108764,129564,152297
128350,112275,150000
53125,191875,145625
34020,93810,262795
55000,102550,233075
169954,93009,127662
165750,90750,134125
77250,141300,172075
142206,122700,125719
118878,136228,135519
71900,79700,239025
166981,123485,100159
128320,116130,146175
80325,82675,227625
68850,81825,239950
87750,212250,90625
106006,96672,187947
119610,119535,151480
99200,87375,204050
125995,46065,218565
126798,87612,176215
178225,77725,134675
164520,67319,158786
