0,1,2
153700,34550,202375
149940,204605,36080
295250,73500,21875
304075,54150,32400
200525,103425,86675
25250,2500,362875
319000,39375,32250
84720,47895,258010
121648,41526,227451
134250,209600,46775
191965,49040,149620
137800,62450,190375
130893,230566,29166
173263,133692,83670
203125,56250,131250
333825,38600,18200
155275,162500,72850
223423,74244,92958
336800,40775,13050
335119,26562,28944
150200,104725,135700
148113,166442,76070
146125,115750,128750
286285,52920,51420
115125,130000,145500
212350,86325,91950
261825,101650,27150
147300,125250,118075
363325,20925,6375
180750,151875,58000
167175,128200,95250
371900,16200,2525
199917,122104,68604
195595,97890,97140
156675,77600,156350
77504,225558,87563
212500,105000,73125
120051,101408,169166
368125,11250,11250
148366,153241,89018
305364,41818,43443
93367,232216,65042
266975,54450,69200
161825,153850,74950
147375,68750,174500
194471,116102,80052
210125,95000,85500
246545,62760,81320
94730,83485,212410
204155,108990,77480
89595,126040,174990
217170,56790,116665
206500,102475,81650
142559,185834,62232
325430,20762,44433
160625,168750,61250
137370,61220,192035
161225,119050,110350
140500,120225,129900
76125,91250,223250
114175,101525,174925
128784,128073,133768
240625,107500,42500
146385,104820,139420
145750,201500,43375
255636,57785,77204
266625,83250,40750
312500,78125,0
121250,37175,232200
197667,124684,68274
185325,15750,189550
330225,45150,15250
229435,80836,80354
216737,131219,42669
184145,102240,104240
121253,100778,168594
223125,81000,86500
174750,108125,107750
119450,111775,159400
204732,87962,97931
279109,40708,70808
103950,89675,197000
77550,43300,269775
99025,145200,146400
121750,82650,186225
185982,123159,81484
238250,76800,75575
112600,167300,110725
339350,23100,28175
153505,94210,142910
206492,76419,107714
217500,66800,106325
107529,230892,52204
248743,67091,74791
156125,120575,113925
147275,62050,181300
99275,137250,154100
93350,106925,190350
176725,38650,175250
68350,252300,69975
168073,100416,122136
180625,210000,0
107312,175167,108146
273100,72525,45000
187075,111000,92550
251336,82778,56511
216825,96000,77800
191904,103640,95081
78495,274135,37995
146641,232584,11400
174825,129250,86550
34975,237575,118075
164387,151791,74447
212954,69227,108444
162204,62548,165873
253200,49475,87950
208425,100700,81500
216880,93881,79864
207500,83750,99375
141021,186901,62703
256439,48622,85564
200590,103305,86730
331300,36225,23100
109850,113400,167375
183700,198450,8475
333000,15375,42250
316575,40150,33900
236340,83680,70605
71771,145111,173743
135650,47700,207275
118595,116360,155670
196392,78698,115535
139875,129225,121525
116735,194855,79035
135835,156960,97830
97525,184480,108620
191075,65400,134150
132942,118360,139323
169950,58975,161700
217605,92060,80960
99565,96910,194150
141016,177517,72092
334725,37200,18700
113600,201875,75150
271000,65625,54000
89550,78775,222300
390625,0,0
193425,150025,47175
237050,43125,110450
325924,53088,11613
311492,32536,46597
137021,90801,162803
185369,123678,81578
138419,138574,113632
299300,82225,9100
191055,102410,97160
228500,88750,73375
171627,103287,115711
190000,104125,96500
177744,140318,72563
139050,97500,154075
168325,150525,71775
222250,86375,82000
123150,110125,157350
173675,116650,100300
151825,90600,148200
280025,71875,38725
137000,123125,130500
171837,126276,92512
169570,57990,163065
293810,23120,73695
112075,100425,178125
214375,89200,87050
252316,56742,81567
146100,104075,140450
149125,29250,212250
139125,156875,94625
76075,75350,239200
29900,77050,283675
197250,112850,80525
164065,69330,157230
160393,49956,180276
344525,14375,31725
283625,46050,60950
93750,296875,0
135000,107500,148125
168100,102800,119725
207375,183250,0
178125,94325,118175
134625,56450,199550
187325,134725,68575
134025,67240,189360
183410,66059,141156
263121,83127,44377
153125,104050,133450
216775,65625,108225
150710,104605,135310
133520,156625,100480
343625,47000,0
145947,158207,86471
164875,113050,112700
215870,114035,60720
87228,121069,182328
195450,126175,69000
