0,1,2
155362,93563,141700
146703,116827,127095
128603,170550,91472
129064,155123,106438
149068,114030,127527
93083,101381,196161
118014,150227,122384
83252,133589,173784
136527,119815,134283
149557,132866,108202
177644,82478,130503
165975,100781,123869
119573,115254,155798
103685,160270,126670
123412,116103,151110
212689,89664,88272
111498,176390,102737
119109,138007,133509
140286,156568,93771
134631,83246,172748
128472,131622,130531
120941,113344,156340
147989,130009,112627
160975,120331,109319
118959,130479,141187
188699,94719,107207
143504,113288,133833
140779,122951,126895
123662,121177,145786
125819,128749,136057
163015,109776,117834
179720,113730,97175
142521,115960,132144
120960,118115,151550
177711,104068,108846
126939,150195,113491
195685,100752,94188
118142,145691,126792
121723,104550,164352
129588,129197,131840
128122,148372,114131
127693,143047,119885
125166,95875,169584
135823,138555,116247
152533,130707,107385
204248,126285,60092
114740,121353,154532
106752,86808,197065
137028,135026,118571
98278,166787,125560
132324,125873,132428
106582,157750,126293
125508,138269,126848
122099,135818,132708
139283,116746,134596
113569,168369,108687
158247,126156,106222
165225,104082,121318
168632,132649,89344
156703,108652,125270
160332,134383,95910
160180,127465,102980
188275,111728,90622
145660,123345,121620
120382,107900,162343
156705,117068,116852
148404,115856,126365
156591,105939,128095
118581,145355,126689
136071,104328,150226
160307,104803,125515
200078,99665,90882
117981,163999,108645
116689,113835,160101
191203,100836,98586
158729,114982,116914
116218,149141,125266
139141,112008,139476
131932,131297,127396
128766,147137,114722
137311,109711,143603
112972,167838,109815
196941,90142,103542
133057,128034,129534
175996,118954,95675
143400,133354,113871
117278,112224,161123
150391,122273,117961
111276,116890,162459
138204,141032,111389
129060,100971,160594
131926,130526,128173
176294,110037,104294
123348,115190,152087
127686,128111,134828
122766,108296,159563
109171,173516,107938
147701,117057,125867
210047,84799,95779
122030,95854,172741
138639,131172,120814
136293,120784,133548
108806,167618,114201
182233,117197,91195
132154,133201,125270
128759,121720,140146
167316,107104,116205
127371,130889,132365
142678,115280,132667
170109,131391,89125
134341,125545,130739
106512,169342,114771
177549,111439,101637
119217,129179,142229
149260,117181,124184
122608,126322,141695
137743,120322,132560
118085,130085,142455
158104,118494,114027
139546,123766,127313
132497,115264,142864
120502,150953,119170
155010,132713,102902
219717,84162,86746
147579,117880,125166
133129,123196,134300
119825,121486,149314
123192,123585,143848
125669,131782,133174
137802,99925,152898
130488,110643,149494
152692,138510,99423
161253,112805,116567
129859,146988,113778
170277,86035,134313
116067,163676,110882
112718,181762,96145
157545,123569,109511
162107,127147,101371
184774,101761,104090
120834,133006,136785
133111,139456,118058
125940,137189,127496
132456,139080,119089
132960,140143,117522
133274,115495,141856
137853,108751,144021
112392,137224,141009
187189,97494,105942
96829,157098,136698
128363,125263,136999
144973,113017,132635
123762,156478,110385
123134,130161,137330
144643,104344,141638
219794,91862,78969
136784,119870,133971
166383,135107,89135
143551,119626,127448
129561,136892,124172
135804,118364,136457
132039,115477,143109
115250,116323,159052
162531,112952,115142
127563,110274,152788
145437,70807,174381
140840,110590,139195
122337,150875,117413
114302,172650,103673
138183,147670,104772
156857,116204,117564
166398,110334,113893
128827,151398,110400
