T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,prop_residual,residual_squared,count_residual
"(0.0, 0.05)","(0.0, 0.05)","(0.95, 1.0)",5,0,0.00016871372654879202,0.0,0.00016871372654879202,2.846432152598057e-08,5
"(0.0, 0.05)","(0.0, 0.05)","(0.9, 0.95)",2,0,6.748549061951681e-05,0.0,6.748549061951681e-05,4.554291444156891e-09,2
"(0.0, 0.05)","(0.05, 0.1)","(0.9, 0.95)",3,0,0.00010122823592927521,0.0,0.00010122823592927521,1.0247155749353004e-08,3
"(0.0, 0.05)","(0.05, 0.1)","(0.85, 0.9)",4,0,0.00013497098123903362,0.0,0.00013497098123903362,1.8217165776627565e-08,4
"(0.0, 0.05)","(0.1, 0.15)","(0.85, 0.9)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.05)","(0.1, 0.15)","(0.8, 0.85)",0,1,0.0,3.335445782328808e-05,-3.335445782328808e-05,1.1125198566855036e-09,-1
"(0.0, 0.05)","(0.15, 0.2)","(0.8, 0.85)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.05)","(0.15, 0.2)","(0.75, 0.8)",1,0,3.3742745309758405e-05,0.0,3.3742745309758405e-05,1.1385728610392228e-09,1
"(0.0, 0.05)","(0.2, 0.25)","(0.75, 0.8)",1,0,3.3742745309758405e-05,0.0,3.3742745309758405e-05,1.1385728610392228e-09,1
"(0.0, 0.05)","(0.2, 0.25)","(0.7, 0.75)",3,0,0.00010122823592927521,0.0,0.00010122823592927521,1.0247155749353004e-08,3
"(0.0, 0.05)","(0.25, 0.3)","(0.7, 0.75)",1,0,3.3742745309758405e-05,0.0,3.3742745309758405e-05,1.1385728610392228e-09,1
"(0.0, 0.05)","(0.25, 0.3)","(0.65, 0.7)",1,0,3.3742745309758405e-05,0.0,3.3742745309758405e-05,1.1385728610392228e-09,1
"(0.0, 0.05)","(0.3, 0.35)","(0.65, 0.7)",3,0,0.00010122823592927521,0.0,0.00010122823592927521,1.0247155749353004e-08,3
"(0.0, 0.05)","(0.3, 0.35)","(0.6, 0.65)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.05)","(0.35, 0.4)","(0.6, 0.65)",1,0,3.3742745309758405e-05,0.0,3.3742745309758405e-05,1.1385728610392228e-09,1
"(0.0, 0.05)","(0.35, 0.4)","(0.55, 0.6)",1,0,3.3742745309758405e-05,0.0,3.3742745309758405e-05,1.1385728610392228e-09,1
"(0.0, 0.05)","(0.4, 0.45)","(0.55, 0.6)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.05)","(0.4, 0.45)","(0.5, 0.55)",2,0,6.748549061951681e-05,0.0,6.748549061951681e-05,4.554291444156891e-09,2
"(0.0, 0.05)","(0.45, 0.5)","(0.5, 0.55)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.05)","(0.45, 0.5)","(0.45, 0.5)",0,0,0.0,0.0,0.0,0.0,0
