index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
full dataset,NA,14880,14760,0.004048582995951417,0.48583128673131243,0.48579278864589936
1,"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",417,371,0.0583756345177665,2.686806381373583,0.10118242676971256
2,"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",417,420,-0.0035842293906810036,0.010752711194921953,0.9174111720920187
3,"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",252,253,-0.0019801980198019802,0.00198019931392618,0.9645063059320925
4,"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",653,627,0.0203125,0.5281613231847362,0.4673809047388747
5,"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",300,295,0.008403361344537815,0.0420173012498374,0.8375867964246902
6,"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",171,183,-0.03389830508474576,0.40685760159872103,0.5235687872143677
7,"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",805,853,-0.028950542822677925,1.3898202360534753,0.23843545979559255
8,"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",535,497,0.03682170542635659,1.3995411648304712,0.23680040969330085
9,"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",228,231,-0.006535947712418301,0.01960798274291959,0.8886374670370567
10,"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",147,124,0.08487084870848709,1.9543797296900882,0.16211567387316805
11,"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",1141,1146,-0.0021862702229995625,0.010931359823250471,0.9167303968821175
12,"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",656,678,-0.01649175412293853,0.3628350389372492,0.5469359278413162
13,"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",442,399,0.05112960760998811,2.199532062125569,0.13805263977548887
14,"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",174,182,-0.02247191011235955,0.17979041464498405,0.671553416762241
15,"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",120,105,0.06666666666666667,1.000742060757284,0.3171310174802229
16,"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",995,994,0.0005027652086475615,0.0005027652299409615,0.9821109907356211
17,"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",694,660,0.025110782865583457,0.8538563640261099,0.35546367531287304
18,"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",450,455,-0.0055248618784530384,0.0276244499285603,0.8679948011298799
19,"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",315,275,0.06779661016949153,2.7139456957757075,0.099474674860066
20,"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",165,163,0.006097560975609756,0.012195197521956854,0.9120668804854194
21,"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",91,98,-0.037037037037037035,0.25931856461330743,0.6105886969163834
22,"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",273,276,-0.00546448087431694,0.016393524210073618,0.8981195351169268
23,"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",399,402,-0.003745318352059925,0.011235981324883968,0.9155824220792543
24,"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",224,248,-0.05084745762711865,1.2208653847131068,0.26919088676835956
25,"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",246,291,-0.08379888268156424,3.7753755913917315,0.05201222246071646
26,"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",179,180,-0.002785515320334262,0.0027855189225246455,0.957908778153568
27,"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",105,104,0.004784688995215311,0.004784707251560085,0.9448530460950192
28,"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",76,74,0.013333333333333334,0.02666745684630178,0.8702808674448343
29,"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",93,99,-0.03125,0.18753052950529803,0.6649799330738998
30,"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",54,50,0.038461538461538464,0.15388410681934958,0.6948508607406001
31,"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",109,104,0.023474178403755867,0.11738167368044512,0.7318918104001118
32,"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",73,65,0.057971014492753624,0.4640282252543385,0.4957473696586353
33,"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",108,121,-0.056768558951965066,0.7383881618559873,0.3901776970385561
34,"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",54,55,-0.009174311926605505,0.009174440628178019,0.9236926807519433
35,"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",77,63,0.1,1.4023427169799187,0.23633171701252653
36,"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",50,48,0.02040816326530612,0.04081916028932431,0.8398873906912596
37,"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",5,10,-0.3333333333333333,1.6989903679539762,0.19242006790471267
38,"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",24,10,0.4117647058823529,5.939778320759613,0.01480288041347766
39,"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",3,7,-0.4,1.6456575701010374,0.19955099099366047
40,"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",15,20,-0.14285714285714285,0.7167353101631583,0.3972168789971924
41,"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",6,8,-0.14285714285714285,0.2866941240652614,0.592346843589967
42,"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",20,22,-0.047619047619047616,0.09527412115800539,0.7575763225425507
43,"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",16,13,0.10344827586206896,0.3109007389342896,0.5771279812608623
44,"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",27,16,0.2558139534883721,2.845477454415702,0.09163136992286247
