T1,T2,T3
"(O,(P1,(P2,P3)));","(O,(P2,(P1,P3)));","(O,(P3,(P1,P2)));"
0.3226,0.3242,0.3532
0.3226,0.3242,0.3532
0.3226,0.3242,0.3532
0.3582,0.3182,0.3236
0.3848,0.2908,0.3244
0.3848,0.2628,0.3524
0.3908,0.2398,0.3694
0.3708,0.2598,0.3694
0.3888,0.2598,0.3514
0.3783,0.3138,0.3079
0.3783,0.3138,0.3079
0.3703,0.2778,0.3519
0.3703,0.2778,0.3519
0.3703,0.2778,0.3519
0.3703,0.2778,0.3519
0.3703,0.2778,0.3519
0.3703,0.2778,0.3519
0.6058,0.1458,0.2484
0.6248,0.1348,0.2404
0.6208,0.1388,0.2404
0.6208,0.1568,0.2224
0.5992,0.1936,0.2072
0.6776,0.152,0.1704
0.4864,0.22,0.2936
0.48,0.2428,0.2772
0.472,0.2544,0.2736
0.46,0.2664,0.2736
0.476,0.2432,0.2808
0.4918,0.2338,0.2744
0.4918,0.2338,0.2744
0.4174,0.2794,0.3032
0.4174,0.2794,0.3032
0.4252,0.2712,0.3036
0.4236,0.2636,0.3128
0.424,0.254,0.322
0.4488,0.2508,0.3004
0.4224,0.2864,0.2912
0.424,0.296,0.28
0.4256,0.3056,0.2688
0.4256,0.3056,0.2688
0.2296,0.2436,0.5268
0.1552,0.1692,0.6756
0.1552,0.1692,0.6756
0.1552,0.1692,0.6756
0.1552,0.1692,0.6756
0.3064,0.2496,0.444
0.3364,0.0996,0.564
0.3364,0.0996,0.564
0.3499,0.1077,0.5424
0.3499,0.1077,0.5424
0.3499,0.1077,0.5424
0.3349,0.2011,0.464
0.3499,0.1077,0.5424
0.3563,0.1009,0.5428
0.3447,0.1165,0.5388
0.2818,0.156,0.5622
0.2815,0.1991,0.5194
0.4807,0.1997,0.3196
0.4807,0.1997,0.3196
0.4732,0.1856,0.3412
0.4617,0.2203,0.318
0.4697,0.2187,0.3116
0.45,0.2292,0.3208
0.45,0.2292,0.3208
0.5064,0.1836,0.31
0.3924,0.3328,0.2748
0.3854,0.319,0.2956
0.3494,0.345,0.3056
0.3566,0.3802,0.2632
0.3994,0.3222,0.2784
0.4036,0.3068,0.2896
0.4036,0.3228,0.2736
0.3628,0.373,0.2642
0.306,0.353,0.341
0.3108,0.3548,0.3344
0.3108,0.3548,0.3344
0.3066,0.3282,0.3652
0.2862,0.341,0.3728
0.2682,0.3638,0.368
0.245,0.412,0.343
0.2398,0.426,0.3342
0.2456,0.4306,0.3238
0.236,0.413,0.351
0.2498,0.416,0.3342
0.2423,0.4207,0.337
0.2423,0.4207,0.337
0.1607,0.4983,0.341
0.1631,0.5037,0.3332
0.1559,0.5421,0.302
0.1559,0.5421,0.302
0.1559,0.5421,0.302
0.1559,0.5421,0.302
0.1178,0.5322,0.35
0.0857,0.5343,0.38
0.1097,0.5343,0.356
0.1097,0.5163,0.374
0.1204,0.5156,0.364
0.1234,0.5156,0.361
0.1234,0.5156,0.361
0.1603,0.3785,0.4612
0.2011,0.5357,0.2632
0.2011,0.5357,0.2632
0.2524,0.3812,0.3664
0.2524,0.3812,0.3664
0.2524,0.3812,0.3664
0.2214,0.3972,0.3814
0.2179,0.4116,0.3705
0.2144,0.426,0.3596
0.2003,0.422,0.3777
0.2003,0.422,0.3777
0.1814,0.4075,0.4111
0.1814,0.4075,0.4111
0.1924,0.4595,0.3481
0.1924,0.4595,0.3481
0.2014,0.4495,0.3491
0.2014,0.4495,0.3491
0.2014,0.4495,0.3491
0.2014,0.4495,0.3491
0.2014,0.4495,0.3491
0.1064,0.5815,0.3121
0.1064,0.5815,0.3121
0.1064,0.5815,0.3121
0.1724,0.4915,0.3361
0.1833,0.4917,0.325
0.1776,0.4551,0.3673
0.2262,0.4272,0.3466
0.2562,0.3552,0.3886
0.2562,0.3552,0.3886
0.375,0.3102,0.3148
0.364,0.3351,0.3009
0.324,0.4726,0.2034
0.3256,0.4598,0.2146
0.292,0.4806,0.2274
0.292,0.4806,0.2274
0.2966,0.4887,0.2147
0.2734,0.5343,0.1923
0.3034,0.4916,0.205
0.3348,0.4614,0.2038
0.3892,0.4022,0.2086
0.4074,0.3784,0.2142
0.393,0.3786,0.2284
0.3878,0.3646,0.2476
0.4066,0.3502,0.2432
0.4066,0.3502,0.2432
0.4066,0.3502,0.2432
0.4066,0.3502,0.2432
0.4066,0.3502,0.2432
0.4046,0.3522,0.2432
0.425,0.326,0.249
0.4025,0.3346,0.2629
0.4176,0.3274,0.255
0.4176,0.3274,0.255
0.4176,0.3274,0.255
0.4138,0.332,0.2542
0.4122,0.3378,0.25
