"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,7796,3821,0.342,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",1,0,1.000,1.386,0.239,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",5,0,1.000,6.931,0.008,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",7,0,1.000,9.704,0.002,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",33,4,0.784,25.945,0.000,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",8,5,0.231,0.699,0.403,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",35,8,0.628,18.293,0.000,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",4,3,0.143,0.143,0.705,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",10,17,-0.259,1.836,0.175,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",8,0,1.000,11.090,0.001,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",7,0,1.000,9.704,0.002,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",34,3,0.838,30.469,0.000,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",84,11,0.768,63.592,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",274,24,0.839,,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",194,45,0.623,,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",273,134,0.342,48.441,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",108,58,0.301,15.297,0.000,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",206,203,0.007,0.022,0.882,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",14,0,1.000,19.408,0.000,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",17,0,1.000,23.567,0.000,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",127,10,0.854,,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",261,40,0.734,,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",505,208,0.417,,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",868,399,0.370,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",646,469,0.159,28.217,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",6,0,1.000,8.318,0.004,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",18,0,1.000,24.953,0.000,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",89,11,0.780,69.326,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",195,24,0.781,,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",667,305,0.372,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",812,495,0.243,,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",1,0,1.000,1.386,0.239,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",12,4,0.500,4.186,0.041,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",96,7,0.864,,0.000,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",163,21,0.772,,0.000,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",396,182,0.370,,0.000,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",3,0,1.000,4.159,0.041,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",8,3,0.455,2.358,0.125,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",104,30,0.552,43.248,0.000,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",84,23,0.570,36.958,0.000,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",6,0,1.000,8.318,0.004,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",16,9,0.280,1.986,0.159,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",19,25,-0.136,0.821,0.365,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",1,0,1.000,1.386,0.239,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",3,3,0.000,-0.000,1.000,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",5,4,0.111,0.111,0.739,1
