"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",1,0,1.0,1.3862943611198901,0.2390318914495121,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",21,0,1.0,29.1121815835177,6.830614518449352e-08,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",10,1,0.8181818181818182,8.547243830635558,0.003460457769079439,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",53,10,0.6825396825396826,32.20421392162582,1.387894166260395e-08,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",4,3,0.14285714285714285,0.14334706203263078,0.7049759945629002,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",18,1,0.8947368421052632,18.50429493721511,1.6952185742824533e-05,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",1,2,-0.3333333333333333,0.33979807359079445,0.5599458008536309,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",29,1,0.9333333333333333,32.82014607308289,1.0109171388883453e-08,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",11,1,0.8333333333333334,9.75146874009083,0.0017917949926441468,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",6,0,1.0,8.317766166719329,0.003925917093603348,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",15,2,0.7647058823529411,11.251845196432873,0.0007954390203617212,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",110,20,0.6923076923076923,68.59428124362559,1.1102230246251565e-16,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",179,61,0.49166666666666664,60.6146933847522,6.994405055138486e-15,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",112,87,0.12562814070351758,3.149017438509006,0.07597269720261424,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",217,113,0.3151515151515151,33.34108569116519,7.733148010835578e-09,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",95,75,0.11764705882352941,2.3583992278417303,0.12460999880919676,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",187,119,0.2222222222222222,15.238006171988944,9.477672087954137e-05,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",3,0,1.0,4.158883083359672,0.041416706487368504,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",13,0,1.0,18.021826694558577,2.1838664112538986e-05,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",69,21,0.5333333333333333,26.97739186014801,2.0584913862364829e-07,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",237,33,0.7555555555555555,,0.0,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",514,163,0.518463810930576,,0.0,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",933,332,0.475098814229249,,0.0,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",658,434,0.20512820512820512,46.27650219639626,1.026878582166546e-11,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",1,0,1.0,1.3862943611198901,0.2390318914495121,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",4,0,1.0,5.545177444479562,0.018531677751199016,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",86,8,0.8297872340425532,,0.0,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",178,43,0.6108597285067874,,0.0,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",669,234,0.48172757475083056,,0.0,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",917,459,0.3328488372093023,,0.0,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",4,0,1.0,5.545177444479562,0.018531677751199016,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",4,0,1.0,5.545177444479562,0.018531677751199016,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",82,21,0.5922330097087378,38.60604655576505,5.185801787987998e-10,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",233,70,0.5379537953795379,,0.0,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",509,239,0.3609625668449198,,0.0,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",8,1,0.7777777777777778,6.197671524904445,0.012791848981090315,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",69,53,0.13114754098360656,2.1044176126587724,0.1468742538526645,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",180,70,0.44,50.09693155623545,1.4633849687584188e-12,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",2,0,1.0,2.7725887222397816,0.09589096714246514,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",7,0,1.0,9.704060527839248,0.001838612948382834,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",52,25,0.35064935064935066,9.67176881664274,0.0018712107170392178,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",20,0,1.0,27.725887222397812,1.3977963342348687e-07,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",18,17,0.02857142857142857,0.028575317110484763,0.8657633278560086,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,25,-1.0,34.657359027997266,3.931495351494618e-09,1
