"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",31,17,0.2916666666666667,4.143292662587631,0.041799788253672476,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",39,22,0.2786885245901639,4.801020945047673,0.028442877166527047,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",11,13,-0.08333333333333333,0.16686010574008747,0.6829175414911888,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",27,21,0.125,0.7519654352147547,0.385854674919739,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",7,8,-0.06666666666666667,0.06671613738381636,0.7961794982193373,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",14,14,0.0,-0.0,1.0,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",13,6,0.3684210526315789,2.6407085776898014,0.10415707946685315,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",17,16,0.030303030303030304,0.030307669753041964,0.8617939608909044,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",4,9,-0.38461538461538464,1.9735406815696959,0.16007253960350631,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",50,31,0.2345679012345679,4.498587414669735,0.03392286547743795,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",100,66,0.20481927710843373,7.013381356635928,0.008090274026876676,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",80,65,0.10344827586206896,1.554503694671445,0.2124718032018551,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",150,101,0.1952191235059761,9.627441827748154,0.0019169142072725798,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",91,62,0.1895424836601307,5.530127236916066,0.018691746031759493,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",128,105,0.09871244635193133,2.2740878758199554,0.13155250093659476,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",54,62,-0.06896551724137931,0.552162327763706,0.45743551179324504,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",138,138,0.0,-0.0,1.0,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",94,58,0.23684210526315788,8.607872843100711,0.0033471298856618814,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",148,119,0.10861423220973783,3.156035227999574,0.07564669609381869,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",212,143,0.19436619718309858,13.497012385282721,0.00023894358081255618,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",337,262,0.12520868113522537,9.415342796812709,0.0021517733220888235,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",345,302,0.06646058732612056,2.859912806463453,0.09081242095561537,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",508,416,0.09956709956709957,9.175368558055272,0.002452939656101605,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",329,351,-0.03235294117647059,0.7118889267708283,0.39881744632449134,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",108,69,0.22033898305084745,8.664139280338379,0.003245332566899184,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",184,165,0.054441260744985676,1.0348955208459754,0.3090116176215745,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",338,249,0.151618398637138,13.546219285135626,0.0002327598161160349,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",530,474,0.055776892430278883,3.125127564877911,0.07709383763993738,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",752,642,0.07890961262553801,8.689087958128757,0.0032012077069663025,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",1101,964,0.06634382566585957,9.095783503147462,0.002561994370351206,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",103,110,-0.03286384976525822,0.23008837595814555,0.6314583067976922,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",208,149,0.16526610644257703,9.795579056633757,0.0017493191716836387,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",432,381,0.06273062730627306,3.2013635551884967,0.07357690206849221,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",608,615,-0.005723630417007359,0.04006563167859533,0.8413523118791923,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",1077,1106,-0.013284470911589555,0.38526098853074886,0.5348010060741831,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",146,132,0.050359712230215826,0.7053342809715545,0.4009970825315702,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",199,217,-0.04326923076923077,0.7790893654108613,0.37741978895857753,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",514,447,0.06971904266389178,4.674967467752989,0.03060528244912597,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",775,741,0.022427440633245383,0.7625969188176326,0.3825170434857402,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",187,152,0.10324483775811209,3.6200166565810923,0.057088301635783156,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",299,264,0.06216696269982238,2.1772473740925173,0.14006477521107907,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",635,593,0.03420195439739414,1.4367622756388858,0.23066399401750848,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",231,224,0.015384615384615385,0.10769655631182055,0.7427819689651856,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",418,393,0.030826140567200986,0.7707756129671468,0.37997721715778987,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",362,351,0.015427769985974754,0.16971220259204914,0.6803677090594576,1
