"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,308,691,-0.383,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,2,-1.000,2.773,0.096,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,2,-1.000,2.773,0.096,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",2,2,0.000,-0.000,1.000,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",3,2,0.200,0.201,0.654,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,2,-1.000,2.773,0.096,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",2,1,0.333,0.340,0.560,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,0,,,,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,4,-1.000,5.545,0.019,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",3,11,-0.571,4.860,0.027,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",6,15,-0.429,3.985,0.046,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",4,14,-0.556,5.884,0.015,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",7,30,-0.622,15.400,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",4,8,-0.333,1.359,0.244,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",5,14,-0.474,4.439,0.035,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,2,-1.000,2.773,0.096,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",0,0,,,,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",3,13,-0.625,6.738,0.009,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",3,31,-0.824,26.840,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",8,41,-0.673,24.314,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",34,70,-0.346,12.723,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",34,63,-0.299,8.804,0.003,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",0,1,-1.000,1.386,0.239,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",0,2,-1.000,2.773,0.096,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",2,10,-0.667,5.822,0.016,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",6,23,-0.586,10.633,0.001,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",20,60,-0.500,20.930,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",36,71,-0.327,11.662,0.001,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,1,-1.000,1.386,0.239,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,2,-1.000,2.773,0.096,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",0,6,-1.000,8.318,0.004,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",1,15,-0.875,14.699,0.000,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",18,36,-0.333,6.116,0.013,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",0,7,-1.000,9.704,0.002,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",8,10,-0.111,0.223,0.637,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,2,-1.000,2.773,0.096,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",1,1,0.000,-0.000,1.000,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",1,0,1.000,1.386,0.239,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
