"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,4336,6967,-0.233,,0.000,NA
"[(0.0, 0.05), (0.0, 0.05), (0.95, 1.0)]",0,0,,,,190
"[(0.0, 0.05), (0.0, 0.05), (0.9, 0.95)]",0,0,,,,189
"[(0.0, 0.05), (0.05, 0.1), (0.9, 0.95)]",0,0,,,,188
"[(0.0, 0.05), (0.05, 0.1), (0.85, 0.9)]",0,0,,,,187
"[(0.0, 0.05), (0.1, 0.15), (0.85, 0.9)]",0,0,,,,186
"[(0.0, 0.05), (0.1, 0.15), (0.8, 0.85)]",0,0,,,,185
"[(0.0, 0.05), (0.15, 0.2), (0.8, 0.85)]",0,0,,,,184
"[(0.0, 0.05), (0.15, 0.2), (0.75, 0.8)]",0,0,,,,183
"[(0.0, 0.05), (0.2, 0.25), (0.75, 0.8)]",0,0,,,,182
"[(0.0, 0.05), (0.2, 0.25), (0.7, 0.75)]",0,0,,,,181
"[(0.0, 0.05), (0.25, 0.3), (0.7, 0.75)]",0,0,,,,180
"[(0.0, 0.05), (0.25, 0.3), (0.65, 0.7)]",0,0,,,,179
"[(0.0, 0.05), (0.3, 0.35), (0.65, 0.7)]",0,0,,,,178
"[(0.0, 0.05), (0.3, 0.35), (0.6, 0.65)]",0,0,,,,177
"[(0.0, 0.05), (0.35, 0.4), (0.6, 0.65)]",0,0,,,,176
"[(0.0, 0.05), (0.35, 0.4), (0.55, 0.6)]",0,0,,,,175
"[(0.0, 0.05), (0.4, 0.45), (0.55, 0.6)]",0,0,,,,174
"[(0.0, 0.05), (0.4, 0.45), (0.5, 0.55)]",0,0,,,,173
"[(0.0, 0.05), (0.45, 0.5), (0.5, 0.55)]",0,0,,,,172
"[(0.05, 0.1), (0.0, 0.05), (0.9, 0.95)]",0,0,,,,171
"[(0.05, 0.1), (0.0, 0.05), (0.85, 0.9)]",0,0,,,,170
"[(0.05, 0.1), (0.05, 0.1), (0.85, 0.9)]",0,0,,,,169
"[(0.05, 0.1), (0.05, 0.1), (0.8, 0.85)]",0,7,-1.000,9.704,0.002,168
"[(0.05, 0.1), (0.1, 0.15), (0.8, 0.85)]",0,0,,,,167
"[(0.05, 0.1), (0.1, 0.15), (0.75, 0.8)]",0,2,-1.000,2.773,0.096,166
"[(0.05, 0.1), (0.15, 0.2), (0.75, 0.8)]",0,0,,,,165
"[(0.05, 0.1), (0.15, 0.2), (0.7, 0.75)]",0,0,,,,164
"[(0.05, 0.1), (0.2, 0.25), (0.7, 0.75)]",0,0,,,,163
"[(0.05, 0.1), (0.2, 0.25), (0.65, 0.7)]",0,0,,,,162
"[(0.05, 0.1), (0.25, 0.3), (0.65, 0.7)]",0,0,,,,161
"[(0.05, 0.1), (0.25, 0.3), (0.6, 0.65)]",0,0,,,,160
"[(0.05, 0.1), (0.3, 0.35), (0.6, 0.65)]",3,0,1.000,4.159,0.041,159
"[(0.05, 0.1), (0.3, 0.35), (0.55, 0.6)]",0,7,-1.000,9.704,0.002,158
"[(0.05, 0.1), (0.35, 0.4), (0.55, 0.6)]",0,1,-1.000,1.386,0.239,157
"[(0.05, 0.1), (0.35, 0.4), (0.5, 0.55)]",0,1,-1.000,1.386,0.239,156
"[(0.05, 0.1), (0.4, 0.45), (0.5, 0.55)]",0,1,-1.000,1.386,0.239,155
"[(0.05, 0.1), (0.4, 0.45), (0.45, 0.5)]",3,1,0.500,1.046,0.306,154
"[(0.1, 0.15), (0.0, 0.05), (0.85, 0.9)]",0,0,,,,153
"[(0.1, 0.15), (0.0, 0.05), (0.8, 0.85)]",0,0,,,,152
"[(0.1, 0.15), (0.05, 0.1), (0.8, 0.85)]",0,5,-1.000,6.931,0.008,151
"[(0.1, 0.15), (0.05, 0.1), (0.75, 0.8)]",0,13,-1.000,18.022,0.000,150
"[(0.1, 0.15), (0.1, 0.15), (0.75, 0.8)]",0,0,,,,149
"[(0.1, 0.15), (0.1, 0.15), (0.7, 0.75)]",0,3,-1.000,4.159,0.041,148
"[(0.1, 0.15), (0.15, 0.2), (0.7, 0.75)]",0,6,-1.000,8.318,0.004,147
"[(0.1, 0.15), (0.15, 0.2), (0.65, 0.7)]",0,11,-1.000,15.249,0.000,146
"[(0.1, 0.15), (0.2, 0.25), (0.65, 0.7)]",0,0,,,,145
"[(0.1, 0.15), (0.2, 0.25), (0.6, 0.65)]",1,12,-0.846,10.971,0.001,144
"[(0.1, 0.15), (0.25, 0.3), (0.6, 0.65)]",3,5,-0.250,0.505,0.477,143
"[(0.1, 0.15), (0.25, 0.3), (0.55, 0.6)]",2,11,-0.692,6.859,0.009,142
"[(0.1, 0.15), (0.3, 0.35), (0.55, 0.6)]",0,6,-1.000,8.318,0.004,141
"[(0.1, 0.15), (0.3, 0.35), (0.5, 0.55)]",3,15,-0.667,8.733,0.003,140
"[(0.1, 0.15), (0.35, 0.4), (0.5, 0.55)]",7,11,-0.222,0.896,0.344,139
"[(0.1, 0.15), (0.35, 0.4), (0.45, 0.5)]",3,11,-0.571,4.860,0.027,138
"[(0.1, 0.15), (0.4, 0.45), (0.45, 0.5)]",1,3,-0.500,1.046,0.306,137
"[(0.15, 0.2), (0.0, 0.05), (0.8, 0.85)]",0,0,,,,136
"[(0.15, 0.2), (0.0, 0.05), (0.75, 0.8)]",0,1,-1.000,1.386,0.239,135
"[(0.15, 0.2), (0.05, 0.1), (0.75, 0.8)]",0,1,-1.000,1.386,0.239,134
"[(0.15, 0.2), (0.05, 0.1), (0.7, 0.75)]",0,12,-1.000,16.636,0.000,133
"[(0.15, 0.2), (0.1, 0.15), (0.7, 0.75)]",0,16,-1.000,22.181,0.000,132
"[(0.15, 0.2), (0.1, 0.15), (0.65, 0.7)]",6,13,-0.368,2.641,0.104,131
"[(0.15, 0.2), (0.15, 0.2), (0.65, 0.7)]",1,28,-0.931,31.503,0.000,130
"[(0.15, 0.2), (0.15, 0.2), (0.6, 0.65)]",2,35,-0.892,35.732,0.000,129
"[(0.15, 0.2), (0.2, 0.25), (0.6, 0.65)]",1,43,-0.955,51.451,0.000,128
