index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
full dataset,NA,14875,15125,-0.008333333333333333,2.0833574466575016,0.14891232141437705
1,"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,
2,"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",1,0,1.0,1.3862943611198901,0.2390318914495121
3,"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,
4,"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",30,33,-0.047619047619047616,0.14291118173700995,0.7054038857521683
5,"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",0,0,,,
6,"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,0,,,
7,"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",98,128,-0.13274336283185842,3.9940793248761457,0.04566039149888945
8,"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",17,16,0.030303030303030304,0.030307669753041964,0.8617939608909044
9,"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,
10,"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,
11,"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",1685,1693,-0.002368265245707519,0.018946139676163373,0.8905210073638639
12,"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",56,49,0.06666666666666667,0.46701296168672884,0.49436456490924374
13,"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",7,8,-0.06666666666666667,0.06671613738381636,0.7961794982193373
14,"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,0,,,
15,"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,0,,,
16,"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",4049,4151,-0.012439024390243903,1.2688132094221183,0.2599894391073502
17,"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",760,759,0.0006583278472679394,0.0006583278949343339,0.979530202752943
18,"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",47,31,0.20512820512820512,3.3054644425997335,0.06904982364414602
19,"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",9,2,0.6363636363636364,4.818173085046375,0.028161178125204356
20,"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",0,0,,,
21,"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",0,0,,,
22,"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",327,309,0.02830188679245283,0.5095019932254815,0.47535451889870206
23,"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",569,604,-0.029838022165387893,1.0444857935992937,0.30678048509479094
24,"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",84,87,-0.017543859649122806,0.052634279165881495,0.8185412348564753
25,"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",10,16,-0.23076923076923078,1.3971743835540067,0.237197244363489
26,"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",2,0,1.0,2.7725887222397816,0.09589096714246514
27,"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",0,0,,,
28,"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,0,,,
29,"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",3,6,-0.3333333333333333,1.019394220772384,0.31266274477969425
30,"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",1,2,-0.3333333333333333,0.33979807359079445,0.5599458008536309
31,"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",3,4,-0.14285714285714285,0.14334706203263126,0.7049759945628997
32,"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",4,0,1.0,5.545177444479562,0.018531677751199016
33,"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",2,3,-0.2,0.20135513550688788,0.6536292360172878
34,"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",0,0,,,
35,"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,0,,,
36,"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,0,,,
37,"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,0,,,
38,"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",0,0,,,
39,"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",1,0,1.0,1.3862943611198901,0.2390318914495121
40,"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",0,0,,,
41,"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,
42,"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,0,,,
43,"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,
44,"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,0,,,
45,"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,
