"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",7,2,0.5555555555555556,2.9419376670412336,0.08630714227234793,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",10,16,-0.23076923076923078,1.3971743835540067,0.237197244363489,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",5,1,0.6666666666666666,2.9110316603236863,0.08797558211282386,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",5,17,-0.5454545454545454,6.916240819124045,0.008541634965773426,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,6,-1.0,8.317766166719343,0.003925917093603348,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",15,11,0.15384615384615385,0.6178354466305456,0.4318527865900913,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",3,3,0.0,-0.0,1.0,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",11,9,0.1,0.20033467385427353,0.6544508424500728,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",3,2,0.2,0.20135513550688838,0.6536292360172875,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",19,24,-0.11627906976744186,0.5827126435350626,0.44525101127588407,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",46,35,0.13580246913580246,1.4984529750317552,0.22090955048598482,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",48,45,0.03225806451612903,0.09679098413053343,0.7557151030645569,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",102,110,-0.03773584905660377,0.30195848080641796,0.5826572263500809,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",54,43,0.1134020618556701,1.2501101775611196,0.2635314350109338,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",124,100,0.10714285714285714,2.5763711274650625,0.1084700777061266,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",39,51,-0.13333333333333333,1.6047747773360939,0.20522786558650852,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",110,94,0.0784313725490196,1.2561917211097102,0.26237317869808585,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",26,30,-0.07142857142857142,0.28595773722355916,0.5928226288336849,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",75,73,0.013513513513513514,0.027027849677407755,0.8694150912502756,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",170,136,0.1111111111111111,3.7855896251246643,0.051695693694985834,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",288,286,0.003484320557491289,0.006968655215560482,0.9334710948337277,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",264,308,-0.07692307692307693,3.38796119506543,0.0656741094149016,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",516,534,-0.017142857142857144,0.3085865440509591,0.5785488362482247,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",336,328,0.012048192771084338,0.09638787417475264,0.7562081575507157,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",43,46,-0.033707865168539325,0.10114275399248289,0.7504625705284881,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",96,101,-0.025380710659898477,0.12691718160993337,0.7216500721872533,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",256,268,-0.022900763358778626,0.27483318572572246,0.6001079030875015,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",501,502,-0.0009970089730807576,0.0009970091383114388,0.9748106204797486,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",849,848,0.0005892751915144372,0.000589275225732122,0.9806332609234617,17
