"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,14890,14874,0.001,0.009,0.926,NA
"[(0.0, 0.05), (0.0, 0.05), (0.95, 1.0)]",2,1,0.333,0.340,0.560,190
"[(0.0, 0.05), (0.0, 0.05), (0.9, 0.95)]",1,3,-0.500,1.046,0.306,189
"[(0.0, 0.05), (0.05, 0.1), (0.9, 0.95)]",0,0,,,,188
"[(0.0, 0.05), (0.05, 0.1), (0.85, 0.9)]",1,4,-0.600,1.927,0.165,187
"[(0.0, 0.05), (0.1, 0.15), (0.85, 0.9)]",0,0,,,,186
"[(0.0, 0.05), (0.1, 0.15), (0.8, 0.85)]",2,0,1.000,2.773,0.096,185
"[(0.0, 0.05), (0.15, 0.2), (0.8, 0.85)]",3,1,0.500,1.046,0.306,184
"[(0.0, 0.05), (0.15, 0.2), (0.75, 0.8)]",2,0,1.000,2.773,0.096,183
"[(0.0, 0.05), (0.2, 0.25), (0.75, 0.8)]",1,1,0.000,-0.000,1.000,182
"[(0.0, 0.05), (0.2, 0.25), (0.7, 0.75)]",1,4,-0.600,1.927,0.165,181
"[(0.0, 0.05), (0.25, 0.3), (0.7, 0.75)]",1,0,1.000,1.386,0.239,180
"[(0.0, 0.05), (0.25, 0.3), (0.65, 0.7)]",4,2,0.333,0.680,0.410,179
"[(0.0, 0.05), (0.3, 0.35), (0.65, 0.7)]",2,0,1.000,2.773,0.096,178
"[(0.0, 0.05), (0.3, 0.35), (0.6, 0.65)]",1,1,0.000,-0.000,1.000,177
"[(0.0, 0.05), (0.35, 0.4), (0.6, 0.65)]",2,1,0.333,0.340,0.560,176
"[(0.0, 0.05), (0.35, 0.4), (0.55, 0.6)]",0,1,-1.000,1.386,0.239,175
"[(0.0, 0.05), (0.4, 0.45), (0.55, 0.6)]",1,2,-0.333,0.340,0.560,174
"[(0.0, 0.05), (0.4, 0.45), (0.5, 0.55)]",1,2,-0.333,0.340,0.560,173
"[(0.0, 0.05), (0.45, 0.5), (0.5, 0.55)]",1,0,1.000,1.386,0.239,172
"[(0.05, 0.1), (0.0, 0.05), (0.9, 0.95)]",5,4,0.111,0.111,0.739,171
"[(0.05, 0.1), (0.0, 0.05), (0.85, 0.9)]",4,6,-0.200,0.403,0.526,170
"[(0.05, 0.1), (0.05, 0.1), (0.85, 0.9)]",4,2,0.333,0.680,0.410,169
"[(0.05, 0.1), (0.05, 0.1), (0.8, 0.85)]",6,9,-0.200,0.604,0.437,168
"[(0.05, 0.1), (0.1, 0.15), (0.8, 0.85)]",4,3,0.143,0.143,0.705,167
