"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,506,491,0.015,0.226,0.635,NA
"[(0.0, 0.05), (0.0, 0.05), (0.95, 1.0)]",0,0,,,,190
"[(0.0, 0.05), (0.0, 0.05), (0.9, 0.95)]",0,0,,,,189
"[(0.0, 0.05), (0.05, 0.1), (0.9, 0.95)]",0,0,,,,188
"[(0.0, 0.05), (0.05, 0.1), (0.85, 0.9)]",0,0,,,,187
"[(0.0, 0.05), (0.1, 0.15), (0.85, 0.9)]",0,0,,,,186
"[(0.0, 0.05), (0.1, 0.15), (0.8, 0.85)]",0,0,,,,185
"[(0.0, 0.05), (0.15, 0.2), (0.8, 0.85)]",0,0,,,,184
"[(0.0, 0.05), (0.15, 0.2), (0.75, 0.8)]",0,0,,,,183
"[(0.0, 0.05), (0.2, 0.25), (0.75, 0.8)]",0,0,,,,182
"[(0.0, 0.05), (0.2, 0.25), (0.7, 0.75)]",0,0,,,,181
"[(0.0, 0.05), (0.25, 0.3), (0.7, 0.75)]",0,0,,,,180
"[(0.0, 0.05), (0.25, 0.3), (0.65, 0.7)]",0,0,,,,179
"[(0.0, 0.05), (0.3, 0.35), (0.65, 0.7)]",0,0,,,,178
"[(0.0, 0.05), (0.3, 0.35), (0.6, 0.65)]",0,0,,,,177
"[(0.0, 0.05), (0.35, 0.4), (0.6, 0.65)]",0,0,,,,176
"[(0.0, 0.05), (0.35, 0.4), (0.55, 0.6)]",0,0,,,,175
"[(0.0, 0.05), (0.4, 0.45), (0.55, 0.6)]",0,0,,,,174
"[(0.0, 0.05), (0.4, 0.45), (0.5, 0.55)]",0,0,,,,173
"[(0.0, 0.05), (0.45, 0.5), (0.5, 0.55)]",0,0,,,,172
"[(0.05, 0.1), (0.0, 0.05), (0.9, 0.95)]",0,0,,,,171
"[(0.05, 0.1), (0.0, 0.05), (0.85, 0.9)]",0,0,,,,170
"[(0.05, 0.1), (0.05, 0.1), (0.85, 0.9)]",0,0,,,,169
"[(0.05, 0.1), (0.05, 0.1), (0.8, 0.85)]",0,0,,,,168
"[(0.05, 0.1), (0.1, 0.15), (0.8, 0.85)]",0,0,,,,167
"[(0.05, 0.1), (0.1, 0.15), (0.75, 0.8)]",0,0,,,,166
"[(0.05, 0.1), (0.15, 0.2), (0.75, 0.8)]",0,0,,,,165
"[(0.05, 0.1), (0.15, 0.2), (0.7, 0.75)]",0,1,-1.000,1.386,0.239,164
"[(0.05, 0.1), (0.2, 0.25), (0.7, 0.75)]",0,0,,,,163
"[(0.05, 0.1), (0.2, 0.25), (0.65, 0.7)]",0,0,,,,162
"[(0.05, 0.1), (0.25, 0.3), (0.65, 0.7)]",0,0,,,,161
"[(0.05, 0.1), (0.25, 0.3), (0.6, 0.65)]",0,0,,,,160
"[(0.05, 0.1), (0.3, 0.35), (0.6, 0.65)]",0,0,,,,159
"[(0.05, 0.1), (0.3, 0.35), (0.55, 0.6)]",0,0,,,,158
"[(0.05, 0.1), (0.35, 0.4), (0.55, 0.6)]",0,0,,,,157
"[(0.05, 0.1), (0.35, 0.4), (0.5, 0.55)]",0,0,,,,156
"[(0.05, 0.1), (0.4, 0.45), (0.5, 0.55)]",0,0,,,,155
"[(0.05, 0.1), (0.4, 0.45), (0.45, 0.5)]",0,0,,,,154
"[(0.1, 0.15), (0.0, 0.05), (0.85, 0.9)]",0,0,,,,153
"[(0.1, 0.15), (0.0, 0.05), (0.8, 0.85)]",0,0,,,,152
"[(0.1, 0.15), (0.05, 0.1), (0.8, 0.85)]",0,0,,,,151
"[(0.1, 0.15), (0.05, 0.1), (0.75, 0.8)]",0,0,,,,150
"[(0.1, 0.15), (0.1, 0.15), (0.75, 0.8)]",1,0,1.000,1.386,0.239,149
"[(0.1, 0.15), (0.1, 0.15), (0.7, 0.75)]",1,0,1.000,1.386,0.239,148
"[(0.1, 0.15), (0.15, 0.2), (0.7, 0.75)]",0,0,,,,147
"[(0.1, 0.15), (0.15, 0.2), (0.65, 0.7)]",0,1,-1.000,1.386,0.239,146
"[(0.1, 0.15), (0.2, 0.25), (0.65, 0.7)]",1,0,1.000,1.386,0.239,145
"[(0.1, 0.15), (0.2, 0.25), (0.6, 0.65)]",1,0,1.000,1.386,0.239,144
"[(0.1, 0.15), (0.25, 0.3), (0.6, 0.65)]",1,1,0.000,-0.000,1.000,143
"[(0.1, 0.15), (0.25, 0.3), (0.55, 0.6)]",0,2,-1.000,2.773,0.096,142
"[(0.1, 0.15), (0.3, 0.35), (0.55, 0.6)]",0,0,,,,141
"[(0.1, 0.15), (0.3, 0.35), (0.5, 0.55)]",1,0,1.000,1.386,0.239,140
"[(0.1, 0.15), (0.35, 0.4), (0.5, 0.55)]",0,0,,,,139
"[(0.1, 0.15), (0.35, 0.4), (0.45, 0.5)]",0,0,,,,138
"[(0.1, 0.15), (0.4, 0.45), (0.45, 0.5)]",0,0,,,,137
"[(0.15, 0.2), (0.0, 0.05), (0.8, 0.85)]",0,0,,,,136
