"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",17,3,0.7,10.81752371015818,0.0010054387647939755,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",3,1,0.5,1.0464962875290962,0.3063154055027365,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",15,4,0.5789473684210527,6.782772574978613,0.00920418114286281,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",16,0,1.0,22.180709777918253,2.481546017341074e-06,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",3,0,1.0,4.158883083359672,0.041416706487368504,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",28,5,0.696969696969697,17.67604655432112,2.6190405020831697e-05,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",4,26,-0.7333333333333333,18.028362799943586,2.1763814258557446e-05,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",29,10,0.48717948717948717,9.66253168465972,0.001880642709695901,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",1,3,-0.5,1.0464962875290957,0.3063154055027366,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",5,0,1.0,6.931471805599455,0.00846919650753497,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",8,0,1.0,11.090354888959121,0.0008677787586975905,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",89,2,0.9560439560439561,,0.0,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",139,21,0.7375,,0.0,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",129,68,0.3096446700507614,19.2023682471129,1.1756744606739034e-05,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",281,129,0.37073170731707317,57.71874159738186,3.019806626980426e-14,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",113,84,0.14720812182741116,4.284589252516642,0.038459374121853185,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",177,145,0.09937888198757763,3.18537958310792,0.07429973918542443,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",6,0,1.0,8.317766166719329,0.003925917093603348,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",9,4,0.38461538461538464,1.9735406815696956,0.16007253960350631,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",152,4,0.9487179487179487,,0.0,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",282,7,0.9515570934256056,,0.0,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",513,103,0.6655844155844156,,0.0,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",701,246,0.4804646251319958,,0.0,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",581,547,0.030141843971631204,1.0249779319474308,0.3113411327993798,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",7,4,0.2727272727272727,0.8286389464881555,0.362666387270395,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",15,7,0.36363636363636365,2.9768561167123875,0.08446319000006597,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",128,8,0.8823529411764706,,0.0,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",175,27,0.7326732673267327,,0.0,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",734,205,0.5633652822151225,,0.0,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",993,399,0.4267241379310345,,0.0,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",4,0,1.0,5.545177444479562,0.018531677751199016,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",18,5,0.5652173913043478,7.799798781619528,0.0052252052840910945,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",105,19,0.6935483870967742,65.69102725022192,5.551115123125783e-16,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",170,42,0.6037735849056604,,0.0,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",457,174,0.44849445324881143,,0.0,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",1,0,1.0,1.3862943611198901,0.2390318914495121,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",8,0,1.0,11.090354888959121,0.0008677787586975905,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",92,10,0.803921568627451,,0.0,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",117,55,0.36046511627906974,22.859881207040104,1.7425119039904402e-06,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",6,0,1.0,8.317766166719329,0.003925917093603348,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",11,9,0.1,0.20033467385427353,0.6544508424500728,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",51,23,0.3783783783783784,10.863097399276892,0.0009809948235843802,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",3,2,0.2,0.20135513550688838,0.6536292360172875,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",2,12,-0.7142857142857143,7.924864143603013,0.004876000615024134,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
