T1,T2,T3
"(0,(1,(2,3)));","(0,(2,(1,3)));","(0,(3,(1,2)));"
0.015,0.035,0.95
0.167,0.385,0.447
0.05,0.041,0.909
0.083,0.445,0.472
0.2,0.0,0.8
0.138,0.552,0.311
0.1,0.16,0.74
0.0,0.0,1.0
0.31,0.308,0.382
0.397,0.263,0.339
0.417,0.161,0.423
0.437,0.256,0.307
0.152,0.368,0.48
0.098,0.262,0.639
0.123,0.302,0.575
0.268,0.274,0.458
0.215,0.204,0.58
0.255,0.134,0.611
0.217,0.21,0.573
0.063,0.112,0.825
0.346,0.366,0.288
0.318,0.387,0.295
0.397,0.205,0.398
0.224,0.21,0.566
0.2,0.0,0.8
0.217,0.207,0.576
0.182,0.086,0.733
0.184,0.047,0.769
0.173,0.404,0.423
0.28,0.213,0.507
0.05,0.0,0.95
0.18,0.316,0.504
0.551,0.31,0.139
0.25,0.089,0.661
0.223,0.277,0.5
0.056,0.295,0.649
0.321,0.217,0.462
0.322,0.282,0.397
0.223,0.398,0.379
0.072,0.019,0.909
0.285,0.185,0.53
0.282,0.355,0.362
0.08,0.48,0.44
0.44,0.196,0.364
0.391,0.26,0.349
0.058,0.322,0.619
0.482,0.189,0.329
0.504,0.263,0.233
0.094,0.226,0.68
0.27,0.394,0.336
0.468,0.2,0.332
0.113,0.177,0.71
0.238,0.237,0.525
0.036,0.108,0.856
0.218,0.504,0.278
0.301,0.26,0.439
0.37,0.13,0.5
0.141,0.467,0.391
0.288,0.22,0.492
0.2,0.099,0.701
0.174,0.108,0.718
0.42,0.244,0.336
0.36,0.224,0.416
0.145,0.166,0.689
0.17,0.22,0.611
0.134,0.106,0.76
0.261,0.304,0.435
0.032,0.025,0.943
0.133,0.111,0.756
0.18,0.392,0.428
0.261,0.112,0.627
0.005,0.195,0.8
0.172,0.158,0.67
0.241,0.259,0.5
0.496,0.171,0.334
0.319,0.171,0.511
0.102,0.213,0.685
0.093,0.132,0.775
0.254,0.292,0.454
0.027,0.041,0.932
0.223,0.274,0.503
0.603,0.135,0.262
0.267,0.333,0.4
0.054,0.586,0.36
0.286,0.295,0.419
0.326,0.32,0.354
0.28,0.53,0.19
0.364,0.293,0.343
0.0,0.0,1.0
0.076,0.018,0.906
0.103,0.216,0.681
0.423,0.255,0.322
0.265,0.251,0.484
0.28,0.233,0.486
0.336,0.24,0.425
0.159,0.392,0.449
0.294,0.196,0.51
0.336,0.181,0.483
0.262,0.156,0.582
0.198,0.262,0.539
0.246,0.257,0.497
0.15,0.18,0.67
0.214,0.144,0.642
0.256,0.14,0.604
0.212,0.128,0.66
0.27,0.402,0.328
0.391,0.234,0.375
0.166,0.202,0.633
0.541,0.204,0.255
0.4,0.154,0.446
0.11,0.42,0.47
0.292,0.229,0.48
0.098,0.319,0.583
0.314,0.289,0.397
0.28,0.201,0.519
0.229,0.233,0.538
0.33,0.274,0.396
0.222,0.368,0.41
0.2,0.296,0.503
0.39,0.32,0.29
0.229,0.385,0.386
0.274,0.358,0.368
0.13,0.145,0.726
0.347,0.224,0.429
0.163,0.344,0.493
0.26,0.269,0.471
0.06,0.005,0.935
0.287,0.255,0.458
0.346,0.215,0.439
0.388,0.224,0.388
0.032,0.032,0.936
0.124,0.113,0.763
0.297,0.208,0.495
0.086,0.006,0.908
0.205,0.36,0.435
0.271,0.277,0.452
0.064,0.304,0.631
0.268,0.376,0.356
0.324,0.272,0.404
0.212,0.358,0.43
0.035,0.0,0.965
0.243,0.129,0.628
0.116,0.356,0.528
0.393,0.187,0.42
0.273,0.35,0.377
0.154,0.198,0.648
0.198,0.478,0.324
0.431,0.203,0.366
0.38,0.211,0.409
0.446,0.287,0.267
0.236,0.476,0.288
0.212,0.433,0.355
0.188,0.179,0.633
0.223,0.3,0.477
0.116,0.249,0.635
0.459,0.111,0.43
0.314,0.156,0.53
0.157,0.284,0.559
0.125,0.125,0.75
0.156,0.508,0.335
0.136,0.54,0.324
0.28,0.256,0.463
0.22,0.263,0.516
0.293,0.564,0.143
0.441,0.194,0.365
0.733,0.059,0.208
0.128,0.619,0.253
0.073,0.199,0.728
0.173,0.101,0.726
0.307,0.25,0.443
0.497,0.243,0.26
0.188,0.221,0.591
0.337,0.337,0.326
0.105,0.102,0.793
0.063,0.238,0.699
0.096,0.116,0.788
0.138,0.336,0.526
0.353,0.427,0.22
0.198,0.296,0.506
0.285,0.278,0.438
0.149,0.511,0.34
0.297,0.29,0.413
0.234,0.216,0.55
0.207,0.291,0.502
0.09,0.117,0.793
0.132,0.128,0.74
0.378,0.169,0.453
0.456,0.107,0.437
0.324,0.278,0.398
0.221,0.514,0.266
0.229,0.262,0.509
0.1,0.0,0.9
0.596,0.258,0.146
0.243,0.243,0.514
0.223,0.41,0.367
0.257,0.159,0.584
0.512,0.072,0.416
0.356,0.298,0.347
0.424,0.366,0.21
0.222,0.184,0.594
0.138,0.329,0.533
0.117,0.267,0.616
0.09,0.21,0.7
0.376,0.324,0.3
0.025,0.025,0.95
0.23,0.231,0.539
0.274,0.229,0.497
0.313,0.136,0.551
0.212,0.3,0.488
0.236,0.454,0.31
0.165,0.104,0.731
0.317,0.269,0.414
0.231,0.328,0.442
0.018,0.093,0.889
0.259,0.35,0.39
0.206,0.199,0.594
0.261,0.212,0.527
0.413,0.299,0.288
0.632,0.16,0.208
0.255,0.226,0.519
0.328,0.263,0.409
0.274,0.138,0.588
0.547,0.055,0.398
0.332,0.195,0.473
0.1,0.65,0.25
0.046,0.26,0.694
0.21,0.224,0.566
0.35,0.15,0.5
0.371,0.165,0.464
0.427,0.236,0.337
0.155,0.212,0.633
0.074,0.736,0.19
0.206,0.226,0.568
0.318,0.368,0.314
0.08,0.18,0.74
0.5,0.148,0.352
0.08,0.19,0.73
0.251,0.21,0.539
0.251,0.239,0.51
0.357,0.317,0.326
0.329,0.177,0.494
0.305,0.368,0.327
0.186,0.16,0.653
0.267,0.342,0.391
0.202,0.234,0.564
0.42,0.188,0.392
0.112,0.18,0.708
0.11,0.564,0.326
0.216,0.314,0.47
0.246,0.252,0.502
0.214,0.317,0.469
0.472,0.148,0.38
0.316,0.27,0.414
0.238,0.123,0.639
0.156,0.084,0.76
0.252,0.353,0.394
0.212,0.1,0.688
0.027,0.007,0.967
0.543,0.237,0.22
0.154,0.075,0.771
0.503,0.22,0.277
0.378,0.063,0.559
0.178,0.203,0.619
0.332,0.252,0.416
0.522,0.212,0.266
0.17,0.33,0.5
0.31,0.137,0.553
0.222,0.296,0.482
0.36,0.06,0.58
0.265,0.421,0.314
0.445,0.107,0.448
0.173,0.25,0.577
0.12,0.33,0.551
0.156,0.378,0.466
0.348,0.24,0.412
0.108,0.403,0.49
0.136,0.143,0.721
0.081,0.078,0.841
0.277,0.412,0.311
0.231,0.278,0.491
0.085,0.134,0.781
0.236,0.467,0.297
0.01,0.0,0.99
0.355,0.129,0.516
0.054,0.111,0.835
0.474,0.166,0.36
0.16,0.213,0.627
0.232,0.338,0.43
0.108,0.045,0.847
0.257,0.224,0.519
0.0,0.0,1.0
0.204,0.118,0.678
0.244,0.259,0.497
0.205,0.282,0.513
0.255,0.269,0.476
0.348,0.144,0.508
0.301,0.202,0.496
0.297,0.518,0.185
0.331,0.077,0.592
0.335,0.309,0.356
0.236,0.503,0.261
0.204,0.304,0.492
0.288,0.102,0.61
0.345,0.24,0.416
0.148,0.235,0.617
0.403,0.167,0.43
0.0,0.0,1.0
0.118,0.622,0.26
0.609,0.126,0.265
0.282,0.25,0.469
0.29,0.225,0.485
0.025,0.109,0.866
0.041,0.246,0.713
0.58,0.08,0.34
0.012,0.484,0.504
0.308,0.385,0.307
0.188,0.072,0.74
0.438,0.222,0.339
0.467,0.228,0.305
0.593,0.143,0.264
0.18,0.28,0.54
0.174,0.314,0.512
0.736,0.144,0.12
0.449,0.234,0.317
0.024,0.056,0.92
0.257,0.259,0.484
0.267,0.349,0.384
0.12,0.14,0.74
0.266,0.432,0.302
0.658,0.137,0.204
0.421,0.225,0.354
0.105,0.206,0.689
0.233,0.217,0.549
0.223,0.48,0.298
0.196,0.23,0.574
0.295,0.445,0.259
0.102,0.518,0.38
0.245,0.276,0.479
0.108,0.152,0.74
0.396,0.25,0.354
0.211,0.647,0.142
0.264,0.392,0.344
0.178,0.542,0.28
0.122,0.275,0.603
0.301,0.205,0.494
0.335,0.455,0.21
0.204,0.484,0.311
0.327,0.192,0.482
0.423,0.308,0.269
0.269,0.356,0.375
0.0,0.0,1.0
0.499,0.226,0.276
0.571,0.157,0.272
0.1,0.148,0.753
0.232,0.331,0.437
0.324,0.182,0.494
0.406,0.218,0.377
0.276,0.244,0.479
0.446,0.223,0.331
0.053,0.073,0.873
0.259,0.166,0.575
0.388,0.204,0.408
0.136,0.018,0.846
0.361,0.319,0.32
0.231,0.249,0.519
0.04,0.377,0.583
0.15,0.392,0.459
0.153,0.613,0.234
0.33,0.373,0.298
0.338,0.354,0.308
0.317,0.297,0.386
0.309,0.126,0.565
0.25,0.25,0.5
0.37,0.123,0.507
0.289,0.297,0.414
0.17,0.232,0.598
0.252,0.458,0.29
0.485,0.24,0.275
0.511,0.163,0.326
0.254,0.389,0.358
0.094,0.066,0.84
0.091,0.084,0.825
0.032,0.248,0.72
0.175,0.199,0.626
0.293,0.222,0.485
0.212,0.26,0.528
