"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",7,0,1.000,9.704,0.002,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",9,0,1.000,12.477,0.000,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",6,0,1.000,8.318,0.004,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,0,,,,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",1,0,1.000,1.386,0.239,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,0,,,,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",10,0,1.000,13.863,0.000,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",43,0,1.000,59.611,0.000,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",78,0,1.000,,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",266,0,1.000,,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",72,0,1.000,,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",136,2,0.971,,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",33,0,1.000,45.748,0.000,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",38,15,0.434,10.321,0.001,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",21,0,1.000,29.112,0.000,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",59,0,1.000,,0.000,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",429,0,1.000,,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",793,1,0.997,,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",923,2,0.996,,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",1200,9,0.985,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",290,44,0.737,,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",31,0,1.000,42.975,0.000,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",98,0,1.000,,0.000,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",444,0,1.000,,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",683,0,1.000,,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",1430,4,0.994,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",784,30,0.926,,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",30,0,1.000,41.589,0.000,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",62,0,1.000,,0.000,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",329,0,1.000,,0.000,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",362,0,1.000,,0.000,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",380,11,0.944,,0.000,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",12,0,1.000,16.636,0.000,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",21,0,1.000,29.112,0.000,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",110,0,1.000,,0.000,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",61,1,0.968,,0.000,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",6,0,1.000,8.318,0.004,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",2,0,1.000,2.773,0.096,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",10,0,1.000,13.863,0.000,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
