T1,T2,T3
"(O,(p1,(p2,p3)));","(O,(p2,(p1,p3)));","(O,(p3,(p1,p2)));"
0.015,0.035,0.95
0.16713333333333333,0.3854,0.4474666666666667
0.0498,0.0408,0.9094
0.08313333333333334,0.4447333333333333,0.47213333333333335
0.2,0.0,0.8
0.1378,0.5516,0.3106
0.1,0.16,0.74
0.0,0.0,1.0
0.31,0.3076,0.3824
0.3970666666666667,0.2634666666666667,0.3394666666666667
0.4166666666666667,0.16066666666666668,0.4226666666666667
0.4367333333333333,0.2564,0.3068666666666667
0.152,0.368,0.48
0.0984,0.2624,0.6392
0.12266666666666666,0.302,0.5753333333333334
0.26826666666666665,0.2736,0.45813333333333334
0.21533333333333332,0.2044,0.5802666666666667
0.25506666666666666,0.13413333333333333,0.6108
0.2172,0.20986666666666667,0.5729333333333333
0.06266666666666666,0.112,0.8253333333333334
0.3463333333333333,0.36566666666666664,0.288
0.318,0.38666666666666666,0.29533333333333334
0.397,0.205,0.398
0.224,0.21,0.566
0.2,0.0,0.8
0.21726666666666666,0.20693333333333333,0.5758
0.1816,0.0856,0.7328
0.184,0.04666666666666667,0.7693333333333333
0.1728,0.40373333333333333,0.42346666666666666
0.28,0.21333333333333335,0.5066666666666667
0.05,0.0,0.95
0.18,0.316,0.504
0.5509333333333334,0.3096,0.13946666666666666
0.25,0.089,0.661
0.22293333333333334,0.2766,0.5004666666666666
0.0562,0.2952,0.6486
0.32133333333333336,0.21666666666666667,0.462
0.3216,0.2816,0.3968
0.223,0.398,0.379
0.072,0.018666666666666668,0.9093333333333333
0.285,0.185,0.53
0.2822,0.3554,0.3624
0.08,0.48,0.44
0.4396,0.19593333333333332,0.36446666666666666
0.39053333333333334,0.2604,0.3490666666666667
0.0584,0.3224,0.6192
0.482,0.189,0.329
0.5042,0.2626,0.2332
0.0938,0.2258,0.6804
0.27,0.394,0.336
0.46786666666666665,0.2004,0.3317333333333333
0.1128,0.1768,0.7104
0.238,0.23733333333333334,0.5246666666666666
0.036,0.108,0.856
0.218,0.5036,0.2784
0.3008,0.2604,0.4388
0.37,0.13,0.5
0.1412,0.46746666666666664,0.3913333333333333
0.288,0.22,0.492
0.2,0.09866666666666667,0.7013333333333334
0.174,0.108,0.718
0.42,0.244,0.336
0.36,0.224,0.416
0.145,0.1664,0.6886
0.1696,0.2196,0.6108
0.134,0.106,0.76
0.2608,0.3038666666666667,0.43533333333333335
0.032,0.025333333333333333,0.9426666666666667
0.1332,0.1112,0.7556
0.18,0.392,0.428
0.2613333333333333,0.112,0.6266666666666667
0.005333333333333333,0.19466666666666665,0.8
0.172,0.158,0.67
0.24133333333333334,0.25866666666666666,0.5
0.4958,0.1706,0.3336
0.31866666666666665,0.17066666666666666,0.5106666666666667
0.102,0.21333333333333335,0.6846666666666666
0.09333333333333334,0.132,0.7746666666666666
0.254,0.29233333333333333,0.45366666666666666
0.02666666666666667,0.04133333333333333,0.932
0.22266666666666668,0.274,0.5033333333333333
0.6033333333333334,0.135,0.26166666666666666
0.26666666666666666,0.3333333333333333,0.4
0.054,0.5856666666666667,0.36033333333333334
0.286,0.295,0.419
0.326,0.32,0.354
0.28,0.53,0.19
0.364,0.293,0.343
0.0,0.0,1.0
0.076,0.018,0.906
0.103,0.21566666666666667,0.6813333333333333
0.42293333333333333,0.2546,0.3224666666666667
0.26493333333333335,0.2508666666666667,0.4842
0.2804,0.2332,0.4864
0.3356,0.2396,0.4248
0.15933333333333333,0.392,0.44866666666666666
0.294,0.196,0.51
0.3356,0.1812,0.4832
0.26226666666666665,0.15573333333333333,0.582
0.1984,0.2624,0.5392
0.24626666666666666,0.25666666666666665,0.49706666666666666
0.15,0.18,0.67
0.214,0.144,0.642
0.256,0.14,0.604
0.212,0.128,0.66
0.27,0.402,0.328
0.3914666666666667,0.234,0.37453333333333333
0.1656,0.2016,0.6328
0.541,0.204,0.255
0.4,0.154,0.446
0.11,0.42,0.47
0.29173333333333334,0.22873333333333334,0.4795333333333333
0.0982,0.3192,0.5826
0.314,0.289,0.397
0.28013333333333335,0.20053333333333334,0.5193333333333333
0.2288,0.2328,0.5384
0.33,0.274,0.396
0.22213333333333332,0.36773333333333336,0.41013333333333335
0.2004,0.2964,0.5032
