"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",275,2,0.986,,0.000,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",215,5,0.955,,0.000,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",78,4,0.902,,0.000,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",135,9,0.875,,0.000,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",43,7,0.720,28.818,0.000,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",96,24,0.600,46.259,0.000,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",34,13,0.447,9.723,0.002,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",67,39,0.264,7.485,0.006,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",23,13,0.278,2.815,0.093,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",99,1,0.980,,0.000,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",154,2,0.974,,0.000,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",246,8,0.937,,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",358,26,0.865,,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",240,34,0.752,,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",334,92,0.568,,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",167,58,0.484,55.092,0.000,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",240,153,0.221,19.420,0.000,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",44,0,1.000,60.997,0.000,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",101,2,0.961,,0.000,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",226,10,0.915,,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",324,26,0.851,,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",535,62,0.792,,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",689,127,0.689,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",475,266,0.282,59.756,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",22,1,0.913,23.658,0.000,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",53,1,0.963,64.901,0.000,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",135,10,0.862,,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",243,23,0.827,,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",438,83,0.681,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",415,149,0.472,,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",32,0,1.000,44.361,0.000,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",42,3,0.867,40.340,0.000,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",133,11,0.847,,0.000,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",155,22,0.751,,0.000,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",269,61,0.630,,0.000,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",19,0,1.000,26.340,0.000,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",35,1,0.944,40.768,0.000,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",94,13,0.757,69.176,0.000,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",76,26,0.490,25.600,0.000,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",14,0,1.000,19.408,0.000,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",25,2,0.852,23.171,0.000,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",43,12,0.564,18.541,0.000,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",8,1,0.778,6.198,0.013,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",14,3,0.647,7.723,0.005,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",3,1,0.500,1.046,0.306,1
