"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,15552,14111,0.049,70.030,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",21,18,0.077,0.231,0.631,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",36,10,0.565,15.600,0.000,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",7,9,-0.125,0.251,0.617,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",26,19,0.156,1.093,0.296,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",7,12,-0.263,1.331,0.249,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",18,19,-0.027,0.027,0.869,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",10,5,0.333,1.699,0.192,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",15,15,0.000,-0.000,1.000,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",9,6,0.200,0.604,0.437,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",64,32,0.333,10.874,0.001,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",93,61,0.208,6.698,0.010,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",103,61,0.256,10.877,0.001,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",112,106,0.028,0.165,0.684,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",71,68,0.022,0.065,0.799,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",145,116,0.111,3.229,0.072,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",66,69,-0.022,0.067,0.796,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",108,116,-0.036,0.286,0.593,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",77,73,0.027,0.107,0.744,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",121,99,0.100,2.204,0.138,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",205,174,0.082,2.538,0.111,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",319,276,0.072,3.110,0.078,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",303,248,0.100,5.499,0.019,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",464,401,0.073,4.593,0.032,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",324,293,0.050,1.558,0.212,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",102,76,0.146,3.811,0.051,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",164,146,0.058,1.046,0.306,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",325,260,0.111,7.237,0.007,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",473,429,0.049,2.147,0.143,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",810,685,0.084,10.464,0.001,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",1161,1000,0.075,12.006,0.001,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",97,97,0.000,-0.000,1.000,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",166,175,-0.026,0.238,0.626,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",437,360,0.097,7.451,0.006,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",657,602,0.044,2.403,0.121,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",1160,1130,0.013,0.393,0.531,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",144,131,0.047,0.615,0.433,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",223,197,0.062,1.611,0.204,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",528,486,0.041,1.740,0.187,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",839,712,0.082,10.411,0.001,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",177,151,0.079,2.063,0.151,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",270,280,-0.018,0.182,0.670,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",623,624,-0.001,0.001,0.977,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",263,202,0.131,8.025,0.005,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",403,404,-0.001,0.001,0.972,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",365,351,0.020,0.274,0.601,1
