#topo1 ((O,P3),P2,P1);		
#topo2 ((O,P2),P3,P1);		
#topo3 ((O,P1),P3,P2);		
topo1	topo2	topo3
151875	121200	117550
145440	100635	144550
171400	130625	88600
158221	44321	188083
177063	43054	170508
278927	10656	101042
237293	88655	64677
96935	104594	189096
250250	72100	68275
284375	37500	68750
102282	245384	42959
364375	26250	0
136775	131325	122525
266375	109050	15200
137130	149098	104397
105750	181400	103475
125000	90625	175000
283060	52395	55170
143750	225250	21625
315900	58800	15925
62450	220550	107625
151700	134450	104475
192500	149375	48750
117901	74468	198256
119250	183775	87600
290675	72850	27100
284830	74160	31635
311300	32000	47325
274375	33750	82500
346125	30900	13600
201250	165000	24375
121725	111600	157300
222425	84350	83850
201724	51875	137026
228625	104447	57553
249125	44500	97000
101550	116725	172350
101250	191900	97475
179525	120675	90425
158110	64195	168320
193040	81275	116310
202506	92746	95373
134047	88417	168161
274575	52800	63250
329097	29214	32314
233800	100850	55975
218393	13568	158664
241250	20000	129375
206142	101354	83129
245836	75803	68986
209700	49175	131750
107425	93900	189300
347508	21842	21275
185465	122172	82988
233072	105164	52389
152005	75930	162690
291550	39750	59325
390625	0	0
297050	54400	39175
122000	131600	137025
200000	87500	103125
236850	121900	31875
180170	144180	66275
273029	65098	52498
329000	23750	37875
119050	137150	134425
356675	11450	22500
182816	69316	138493
145025	52050	193550
172844	107087	110694
214900	51725	124000
180273	98524	111828
225755	90566	74304
281525	55050	54050
101750	170050	118825
189375	135550	65700
156360	76285	157980
148495	71565	170565
371875	0	18750
211150	127950	51525
200110	106245	84270
258400	98675	33550
205457	82489	102679
162375	134750	93500
83400	117900	189325
148375	152200	90050
141435	159342	89848
191875	63750	135000
181885	99295	109445
74384	197823	118418
120450	200800	69375
131161	139932	119532
248622	105499	36504
128016	146983	115626
225975	132550	32100
278763	23184	88678
182825	113800	94000
145125	193950	51550
190204	109980	90441
146280	135050	109295
168000	98875	123750
122855	69515	198255
143300	139525	107800
144745	102495	143385
312075	8250	70300
245807	70584	74234
144600	59450	186575
85930	189735	114960
308050	34650	47925
148842	163644	78139
154950	90000	145675
164425	147600	78600
168750	221875	0
280775	80750	29100
137875	160400	92350
28125	112500	250000
257628	75240	57757
251775	60800	78050
209175	99850	81600
170295	167165	53165
171645	137640	81340
268250	92875	29500
86425	201500	102700
222375	85400	82850
127812	91245	171568
223605	89950	77070
274575	95200	20850
265625	125000	0
162295	146250	82080
58684	154235	177706
227279	85198	78148
132050	76615	181960
248500	10125	132000
161580	134380	94665
253175	115625	21825
219315	102915	68395
145000	171000	74625
111250	140625	138750
134375	121725	134525
310525	52175	27925
48345	83620	258660
144775	46875	198975
261300	75625	53700
157450	36100	197075
246650	84600	59375
238625	24250	127750
215625	56250	118750
100625	113675	176325
127200	89250	174175
147875	135125	107625
173490	104280	112855
191344	74598	124683
275175	12600	102850
138403	167464	84758
301250	56250	33125
289425	95500	5700
198225	178750	13650
255825	66950	67850
144650	140650	105325
91875	262500	36250
100469	181420	108736
124489	133972	132164
260000	23750	106875
122891	75742	191992
161825	75075	153725
162500	41125	187000
128265	65830	196530
110220	174610	105795
184861	109806	95958
74375	17925	298325
93025	66520	231080
228025	108325	54275
51950	115000	223675
136850	149325	104450
305766	28417	56442
128825	145900	115900
198540	77780	114305
150632	160510	79483
252367	55721	82537
146250	168750	75625
112500	108625	169500
189100	79200	122325
140625	0	250000
350625	40000	0
375000	15625	0
200100	160175	30350
152500	151250	86875
312500	31250	46875
376950	11200	2475
250000	96375	44250
122400	160500	107725
212430	112210	65985
82355	70310	237960
67379	296842	26404
130750	72350	187525
196900	94275	99450
138125	164450	88050
332725	5000	52900
224225	98275	68125
111001	151917	127707
232295	73790	84540
148575	179650	62400
183825	168300	38500
184151	100273	106201
239075	91525	60025
104375	38750	247500
179006	140556	71063
268025	49850	72750
304050	63250	23325
210353	30836	149436
225546	134038	31041
228658	79671	82296
225150	88925	76550
181500	74575	134550
236425	43200	111000
121945	148148	120532
177300	132825	80500
161950	135945	92730
287750	31625	71250
157422	79214	153989
132600	81900	176125
241125	17250	132250
179450	126000	85175
161419	122052	107154
91625	269750	29250
174325	72100	144200
139350	127150	124125
345650	30600	14375
336025	27300	27300
138705	165160	86760
212600	91600	86425
114275	244025	32325
198234	55510	136881
203600	17325	169700
115180	185265	90180
175900	149730	64995
188150	114050	88425
194925	66550	129150
126153	108582	155890
296125	45125	49375
139625	90975	160025
166750	211275	12600
26250	217500	146875
175000	65625	150000
102152	112457	176016
132773	160906	96946
133925	118825	137875
45825	60500	284300
199795	102240	88590
222871	110652	57102
126790	217980	45855
172825	90950	126850
174000	90850	125775
173375	124500	92750
135750	149875	105000
315875	45500	29250
130575	158370	101680
174515	161320	54790
132400	137325	120900
219853	87236	83536
301598	29136	59891
109375	0	281250
135280	152120	103225
138425	86250	165950
155660	192055	42910
114075	114250	162300
158125	210000	22500
145753	146886	97986
292208	61121	37296
203075	135875	51675
206301	52362	131962
202300	54250	134075
300875	28500	61250
162375	41250	187000
113050	94225	183350
222711	155757	12157
102475	94975	193175
143715	205920	40990
234375	0	156250
276549	40638	73438
34450	261375	94800
227943	53368	109314
124825	207200	58600
179372	114306	96947
128000	130500	132125
111050	174975	104600
215375	148925	26325
127097	90332	173196
108207	115182	167236
344725	34200	11700
172795	93120	124710
317500	60000	13125
115500	57000	218125
210049	14216	166360
296875	0	93750
180975	100600	109050
137125	52500	201000
255760	109362	25503
156450	86500	147675
158460	87760	144405
255425	9000	126200
186000	122750	81875
225625	45000	120000
290631	57849	42145
180675	92700	117250
116865	135990	137770
239160	76485	74980
143639	127118	119868
56450	288800	45375
237925	118375	34325
105325	66300	219000
155385	122854	112386
65625	137500	187500
248850	76150	65625
276843	53216	60566
262500	62500	65625
127320	81965	181340
194255	34360	162010
166875	100000	123750
197819	46219	146587
196750	87500	106375
146250	81250	163125
212500	109575	68550
333125	57500	0
176375	106250	108000
111406	152438	126781
183125	116875	90625
141710	75200	173715
149125	136600	104900
226404	81748	82473
278300	63075	49250
193000	103500	94125
148481	116206	125938
295768	53541	41316
105325	187500	97800
180625	109500	100500
112089	232768	45768
127275	153050	110300
316625	25800	48200
107970	142575	140080
233300	75800	81525
167203	87286	136136
152394	99411	138820
261200	14700	114725
107875	134250	148500
134975	240950	14700
236575	92925	61125
390625	0	0
57325	90900	242400
277650	47866	65109
240700	66600	83325
131573	55926	203126
204665	93105	92855
196350	160200	34075
163210	127170	100245
284425	43050	63150
147000	92500	151125
67802	262224	60599
224275	125125	41225
100066	197224	93335
126275	72300	192050
170767	117542	102316
186565	105080	98980
235750	78075	76800
195125	47000	148500
2975	312500	75150
375000	13750	1875
94925	101875	193825
312500	0	78125
269075	54875	66675
150012	126374	114239
191750	89350	109525
210753	44828	135044
112475	207025	71125
174725	118750	97150
120554	220745	49326
172825	78000	139800
178125	105900	106600
264375	77500	48750
122000	235125	33500
201961	137432	51232
134955	197618	58052
160000	68400	162225
167485	69720	153420
373625	12500	4500
197910	37095	155620
192255	93560	104810
150550	85425	154650
118125	41875	230625
215555	86285	88785
296879	45423	48323
161530	178990	50105
92200	145100	153325
224750	74375	91500
299575	28600	62450
271150	45075	74400
159289	147606	83730
177217	106704	106704
116125	67500	207000
223775	11050	155800
67850	72450	250325
132553	219186	38886
154975	114750	120900
163784	43336	183505
131325	190820	68480
206416	88167	96042
206075	79050	105500
293500	0	97125
353875	17250	19500
217000	42050	131575
75775	169375	145475
221620	105140	63865
258594	56707	75324
145125	121750	123750
143257	133911	113457
253468	67917	69240
216925	109500	64200
54205	103935	232485
295425	38800	56400
151479	186748	52398
236549	123884	30192
183433	123014	84178
171625	125250	93750
132198	96026	162401
236984	58923	94718
324993	33616	32016
104300	150995	135330
46875	287500	56250
300975	0	89650
48384	166031	176210
148650	133725	108250
324563	20706	45356
377625	400	12600
259925	46850	83850
273800	83075	33750
226225	102400	62000
64526	166383	159716
170225	133150	87250
232100	101250	57275
90600	158625	141400
367775	8200	14650
108187	264444	17994
295525	58800	36300
126029	130606	133990
230179	72198	88248
182875	133875	73875
191275	77850	121500
252785	70895	66945
190375	4875	195375
180549	88688	121388
101600	37250	251775
241298	45552	103775
209799	138548	42278
0	378900	11725
149725	99825	141075
151582	112407	126636
163825	73500	153300
285920	59040	45665
84710	57570	248345
174175	118575	97875
130200	106725	153700
145003	119938	125684
244864	78643	67118
188325	85650	116650
294795	60240	35590
179588	120399	90638
206647	90925	93053
171250	113125	106250
385325	2650	2650
88750	38525	263350
153750	95525	141350
176600	42000	172025
198125	148750	43750
61463	241782	87380
155225	147350	88050
243130	73185	74310
303928	71136	15561
142695	128225	119705
321750	22400	46475
109000	172225	109400
241250	20000	129375
78575	232625	79425
123066	189392	78167
190162	111594	88869
43200	118125	229300
156788	88856	144981
204125	110000	76500
152280	167515	70830
227300	82250	81075
390625	0	0
95575	167850	127200
242775	87875	59975
265175	91000	34450
143434	103782	143409
191250	125825	73550
250775	73250	66600
110155	77650	202820
199741	22966	167918
110690	131800	148135
303987	50094	36544
277751	60142	52732
157075	154800	78750
188650	76650	125325
204321	53636	132668
196625	103150	90850
103738	150813	136074
153822	72769	164034
33113	43664	313848
240000	77500	73125
271600	28800	90225
104300	196475	89850
102795	143835	143995
210986	121157	58482
299575	54750	36300
207925	63000	119700
148075	67200	175350
162275	147050	81300
205475	60875	124275
236775	98050	55800
237163	94718	58744
202641	51566	136418
103225	132900	154500
114220	184359	92046
229075	57875	103675
175010	135305	80310
190412	64515	135698
310600	52950	27075
133955	88730	167940
151383	115522	123720
233075	65000	92550
201425	84460	104740
133375	98000	159250
211975	100800	77850
198815	111269	80541
275007	14184	101434
85250	235600	69775
240447	108864	41314
179040	192245	19340
261525	67800	61300
170258	107482	112885
199875	111625	79125
90625	235000	65000
178125	114750	97750
286330	35375	68920
113570	175290	101765
107500	189375	93750
112225	131725	146675
115776	124776	150073
191875	95625	103125
361750	21000	7875
129369	159153	102103
278850	60000	51775
50500	233475	106650
250774	53190	86661
315800	62225	12600
307616	40784	42225
321225	56275	13125
194793	142957	52875
375000	0	15625
193750	105000	91875
240000	67500	83125
342907	22984	24734
191760	134575	64290
232500	74375	83750
104925	132100	153600
259500	100000	31125
229000	36550	125075
104350	141425	144850
181320	98620	110685
279625	36000	75000
128750	112250	149625
237030	108205	45390
227406	68234	94985
269100	60175	61350
151875	94750	144000
163378	154436	72811
154870	191435	44320
234625	154750	1250
56875	296250	37500
160610	96620	133395
103325	190625	96675
224875	64500	101250
92570	183970	114085
125410	111810	153405
224710	73310	92605
191625	151550	47450
171125	75000	144500
74950	128800	186875
219375	73150	98100
206250	144375	40000
106725	177700	106200
65275	19975	305375
234365	63630	92630
219118	97171	74336
111920	180515	98190
148475	107650	134500
175825	152550	62250
160875	96000	133750
169950	75025	145650
128550	137725	124350
150050	59700	180875
171875	0	218750
47500	38050	305075
150200	117650	122775
88000	241275	61350
139196	85276	166153
223975	46900	119750
261800	98675	30150
118258	209859	62508
343750	5250	41625
165075	127800	97750
383225	2125	5275
