T1,T2,T3
0.46149888,0.25222144,0.28627968
0.583744,0.277312,0.138944
0.77024,0.07296,0.1568
0.287936,0.529984,0.18208
0.6224128,0.1873536,0.1902336
0.3964672,0.4900736,0.1134592
0.432512,0.308288,0.2592
0.448192,0.525312,0.026496
0.328064,0.155136,0.5168
0.240448,0.44768,0.311872
0.5216,0.258048,0.220352
0.38352896,0.29211136,0.32435968
0.178752,0.04224,0.779008
0.788032,0.169088,0.04288
0.605824,0.20139264,0.19278336
0.49536,0.260608,0.244032
0.4521984,0.22089472,0.32690688
0.210816,0.160448,0.628736
0.37296896,0.20119552,0.42583552
0.281472,0.507776,0.210752
0.52,0.4608,0.0192
0.146176,0.330048,0.523776
0.96,0.030144,0.009856
0.31470336,0.53390336,0.15139328
0.503424,0.208768,0.287808
0.30283776,0.33216512,0.36499712
0.55616,0.255552,0.188288
0.51264,0.3632,0.12416
0.45998592,0.34664704,0.19336704
0.21261312,0.48678912,0.30059776
0.278976,0.017024,0.704
0.9792,0.0032,0.0176
0.54291712,0.03641344,0.42066944
0.388096,0.138432,0.473472
0.470336,0.208768,0.320896
0.54816,0.390272,0.061568
0.3381248,0.3225984,0.3392768
0.28561408,0.07581696,0.63856896
0.407168,0.2384,0.354432
0.50636032,0.19028992,0.30334976
0.305856,0.341824,0.35232
0.663616,0.12288,0.213504
0.706816,0.091456,0.201728
0.223872,0.13248,0.643648
0.361472,0.415232,0.223296
0.35818752,0.17183488,0.4699776
0.51872,0.23744,0.24384
0.537408,0.188928,0.273664
0.44709632,0.32138752,0.23151616
0.27298304,0.31955712,0.40745984
0.5808,0.1888,0.2304
0.7291264,0.1870848,0.0837888
0.40935168,0.38750464,0.20314368
0.3472384,0.2377344,0.4150272
0.460928,0.090176,0.448896
0.2630016,0.3254016,0.4115968
0.43499008,0.30803968,0.25697024
0.483328,0.1344,0.382272
0.59144192,0.22491904,0.18363904
0.518528,0.254784,0.226688
0.42432,0.44448,0.1312
0.294656,0.29504,0.410304
0.60110336,0.17650688,0.22238976
0.27799296,0.57507328,0.14693376
0.59469056,0.27292672,0.13238272
0.314048,0.40297984,0.28297216
0.498432,0.17888,0.322688
0.43627008,0.20054016,0.36318976
0.66612736,0.1164288,0.21744384
0.22528,0.682944,0.091776
0.41673216,0.37611264,0.2071552
0.709952,0.091136,0.198912
0.230016,0.512192,0.257792
0.299776,0.328768,0.371456
0.6599296,0.0567552,0.2833152
0.41588224,0.27442688,0.30969088
0.3632,0.2176,0.4192
0.68,0.3072,0.0128
0.41865216,0.48477184,0.096576
0.445504,0.28416,0.270336
0.49696,0.24,0.26304
0.24957184,0.63685632,0.11357184
0.4695168,0.27573248,0.25475072
0.661504,0.004352,0.334144
0.252416,0.248064,0.49952
0.850752,0.131328,0.01792
0.3561216,0.24991744,0.39396096
0.31378944,0.22864128,0.45756928
0.450816,0.54304,0.006144
0.48576,0.19104,0.3232
0.28197632,0.24343808,0.4745856
0.6592,0.2352,0.1056
0.39242752,0.23119104,0.37638144
0.4072576,0.2015232,0.3912192
0.189312,0.739136,0.071552
0.5067264,0.2082688,0.2850048
0.46176,0.26368,0.27456
0.486912,0.285696,0.227392
0.45848576,0.28915712,0.25235712
0.606016,0.155904,0.23808
0.46515712,0.25439744,0.28044544
0.34307584,0.12457984,0.53234432
0.3460352,0.2653824,0.3885824
0.4394368,0.27824384,0.28231936
0.19757056,0.40050688,0.40192256
0.145344,0.0704,0.784256
0.4338432,0.4027264,0.1634304
0.287104,0.22688,0.486016
0.67035904,0.19126784,0.13837312
0.442688,0.360576,0.196736
0.33710336,0.15935232,0.50354432
0.51651328,0.27699456,0.20649216
0.18742784,0.66909184,0.14348032
0.5024,0.256,0.2416
0.21847808,0.60499456,0.17652736
0.521536,0.297984,0.18048
0.695104,0.13344,0.171456
0.542336,0.163264,0.2944
0.20953088,0.59329024,0.19717888
0.437824,0.1344,0.427776
0.527936,0.327552,0.144512
0.339456,0.277504,0.38304
0.405824,0.212096,0.38208
0.38048,0.270848,0.348672
0.61376,0.01248,0.37376
0.89696,0.06848,0.03456
0.6496,0.1152,0.2352
0.274432,0.382528,0.34304
0.088512,0.889088,0.0224
0.75100672,0.20043264,0.04856064
0.5375616,0.1260032,0.3364352
0.220416,0.442944,0.33664
0.424832,0.174464,0.400704
0.5520512,0.0218624,0.4260864
0.430976,0.298944,0.27008
0.539712,0.220928,0.23936
0.885568,0.051072,0.06336
0.65160192,0.23078912,0.11760896
0.53962496,0.38321152,0.07716352
0.648576,0.22848,0.122944
0.571072,0.144384,0.284544
0.44466688,0.31142656,0.24390656
0.839616,0.133504,0.02688
0.5024,0.2336,0.264
0.63136,0.14016,0.22848
0.4336,0.263424,0.302976
0.4416,0.2976,0.2608
0.6192,0.03136,0.34944
0.19476736,0.37604608,0.42918656
0.29951232,0.43656704,0.26392064
0.52410624,0.26239488,0.21349888
0.55428864,0.25993472,0.18577664
0.553984,0.077568,0.368448
0.959168,0.0192,0.021632
0.2144,0.09088,0.69472
0.22208,0.321856,0.456064
0.60278016,0.18565376,0.21156608
0.402752,0.499904,0.097344
0.287552,0.2050304,0.5074176
0.201024,0.008192,0.790784
0.636224,0.223488,0.140288
0.3728,0.460544,0.166656
0.70067712,0.15660544,0.14271744
0.544,0.192,0.264
0.767552,0.107904,0.124544
0.444352,0.388992,0.166656
0.48,0.0,0.52
0.482752,0.463488,0.05376
0.450432,0.303104,0.246464
0.59121152,0.14358016,0.26520832
0.582784,0.055296,0.36192
0.45225984,0.1437952,0.40394496
0.17822976,0.56549376,0.25627648
0.603904,0.228096,0.168
0.275584,0.541376,0.18304
0.2418688,0.0971136,0.6610176
0.23344128,0.37303808,0.39352064
0.35616,0.41408,0.22976
0.41664,0.27168,0.31168
0.15605504,0.77986048,0.06408448
0.343424,0.299136,0.35744
0.327616,0.576768,0.095616
0.25032448,0.08785408,0.66182144
0.3133184,0.4459392,0.2407424
0.356288,0.388224,0.255488
0.436544,0.422656,0.1408
0.41883904,0.28622848,0.29493248
0.45180928,0.32867584,0.21951488
0.2135296,0.3222144,0.464256
0.46715648,0.27954176,0.25330176
0.36672,0.5103872,0.1228928
0.826432,0.105984,0.067584
0.195264,0.746496,0.05824
0.2991744,0.4678656,0.23296
0.7425024,0.0920064,0.1654912
0.519488,0.09216,0.388352
0.860992,0.075264,0.063744
0.16180224,0.47767552,0.36052224
0.48978688,0.28296704,0.22724608
0.50827008,0.12583168,0.36589824
0.28064768,0.19455488,0.52479744
0.36,0.541696,0.098304
0.23616768,0.68425216,0.07958016
0.40177408,0.20868096,0.38954496
0.482944,0.341952,0.175104
0.30189824,0.33832448,0.35977728
0.283136,0.509632,0.207232
0.9856,0.0144,0.0
0.43392,0.39648,0.1696
0.2199552,0.6318336,0.1482112
0.759424,0.133824,0.106752
0.83776,0.1008,0.06144
0.622208,0.225536,0.152256
0.788416,0.109824,0.10176
0.35666944,0.3454592,0.29787136
0.2715008,0.2117888,0.5167104
0.313152,0.374976,0.311872
0.4656,0.3664,0.168
0.769344,0.1344,0.096256
0.31126272,0.48020224,0.20853504
0.47232,0.294976,0.232704
0.44981504,0.22965504,0.32052992
0.122368,0.598912,0.27872
0.7184,0.112,0.1696
0.537152,0.08192,0.380928
0.416,0.21984,0.36416
0.45858816,0.25089792,0.29051392
0.48386816,0.29134848,0.22478336
0.70188288,0.18835456,0.10976256
0.588608,0.1536,0.257792
0.57568,0.27456,0.14976
0.56064,0.30592,0.13344
0.56672,0.15104,0.28224
0.31216896,0.19327488,0.49455616
0.4480384,0.2898048,0.2621568
0.569536,0.141376,0.289088
0.9136256,0.0123392,0.0740352
0.378048,0.277696,0.344256
0.36610048,0.29722112,0.3366784
0.419776,0.524224,0.056
0.24256,0.34752,0.40992
0.3103488,0.1443584,0.5452928
0.4648064,0.2586112,0.2765824
0.33969664,0.32446464,0.33583872
0.3184,0.477696,0.203904
0.71072,0.185216,0.104064
0.52197632,0.23065088,0.2473728
0.54496,0.166592,0.288448
0.65514752,0.09180672,0.25304576
0.492352,0.208704,0.298944
0.79486208,0.14084096,0.06429696
0.32723456,0.36073472,0.31203072
0.51891456,0.21536512,0.26572032
0.42212352,0.36186624,0.21601024
0.187968,0.1744,0.637632
0.44544,0.29184,0.26272
0.610624,0.224512,0.164864
0.923904,0.017536,0.05856
0.67876352,0.19559168,0.1256448
0.38213632,0.2800512,0.33781248
0.336768,0.3901824,0.2730496
0.647424,0.133312,0.219264
0.451584,0.403776,0.14464
0.29147904,0.30477824,0.40374272
0.5942016,0.3027072,0.1030912
0.65745152,0.14879488,0.1937536
0.3991552,0.4425344,0.1583104
0.379136,0.26304,0.357824
0.7390848,0.1276416,0.1332736
0.312,0.386752,0.301248
0.936,0.0352,0.0288
0.35424,0.196736,0.449024
0.03712,0.812544,0.150336
0.2347776,0.1667968,0.5984256
0.46336,0.27616,0.26048
0.768064,0.116736,0.1152
0.29189632,0.42514432,0.28295936
0.5282048,0.2069376,0.2648576
0.48288,0.168576,0.348544
0.4896,0.235136,0.275264
0.333696,0.209024,0.45728
0.3446272,0.2771584,0.3782144
0.36609024,0.15485952,0.47905024
0.5538688,0.2497536,0.1963776
0.4454656,0.2012032,0.3533312
0.452096,0.312896,0.235008
0.38808832,0.18921984,0.42269184
0.341632,0.191808,0.46656
0.378304,0.544,0.077696
0.401216,0.206592,0.392192
0.27326976,0.3082112,0.41851904
0.363968,0.438656,0.197376
0.64518656,0.15069184,0.2041216
0.216,0.36,0.424
0.44832,0.21504,0.33664
0.8265088,0.08266752,0.09082368
