#topo1 ((O,P3),P2,P1);		
#topo2 ((O,P2),P3,P1);		
#topo3 ((O,P1),P3,P2);		
topo1	topo2	topo3
195360	106310	88955
118300	62400	209925
376950	9975	3700
238550	56000	96075
150530	113780	126315
297000	39250	54375
208270	58455	123900
104514	217588	68523
154350	162195	74080
133406	122403	134816
208456	87942	94227
188345	81570	120710
284350	29650	76625
230711	82638	77276
156250	225000	9375
177484	115202	97939
29522	297431	63672
194535	133045	63045
149422	99639	141564
137837	126957	125831
268625	74500	47500
127250	88025	175350
241875	148750	0
143767	82461	164397
238625	99750	52250
248203	95316	47106
162165	115715	112745
182275	98800	109550
172800	204125	13700
92025	57340	241260
181375	105300	103950
149375	125025	116225
156200	126496	107929
144203	108726	137696
111045	65126	214454
215500	73875	101250
217375	82425	90825
168950	109175	112500
96600	126650	167375
167200	115225	108200
204420	109765	76440
390625	0	0
145625	87500	157500
222135	76796	91694
167175	136918	86532
236725	148200	5700
289650	14675	86300
80776	306037	3812
210980	53775	125870
243125	53900	93600
169725	100900	120000
128550	134875	127200
134537	137319	118769
164975	126050	99600
113625	195075	81925
125305	185840	79480
285225	59700	45700
47100	222600	120925
126916	199899	63810
311150	3850	75625
205175	35525	149925
138149	145196	107280
237265	138720	14640
151115	191850	47660
234739	74568	81318
120000	140050	130575
202325	142250	46050
162115	78430	150080
323000	0	67625
153370	126960	110295
140975	15650	234000
207657	106111	76857
113170	125195	152260
196750	19275	174600
331750	2625	56250
31975	322725	35925
193365	31830	165430
375000	10000	5625
158825	146800	85000
383500	700	6425
221077	77874	91674
142913	107731	139981
140200	181725	68700
173400	155225	62000
170725	72900	147000
231525	150700	8400
240850	95900	53875
242779	56148	91698
160110	100505	130010
109304	107208	174113
315455	41200	33970
152264	127706	110655
153780	137840	99005
328425	30000	32200
190910	110318	89397
108125	197200	85300
41050	209910	139665
161400	134800	94425
188400	45600	156625
190450	114500	85675
177672	117869	95084
149025	184300	57300
174673	23724	192228
109975	151875	128775
79775	169500	141350
237615	84455	68555
75520	215010	100095
334961	13832	41832
270050	14300	106275
129447	166039	95139
172600	122775	95250
221485	88395	80745
212490	71685	106450
322600	49025	19000
142475	127175	120975
253750	58125	78750
170971	100092	119562
263175	45550	81900
172550	87300	130775
171625	96800	122200
382725	2700	5200
137850	148550	104225
110000	200625	80000
124875	140700	125050
178471	157902	54252
204200	10225	176200
228750	83125	78750
104625	173250	112750
268037	45894	76694
45375	233250	112000
247825	101250	41550
174800	125350	90475
160500	129400	100725
21225	17500	351900
125995	102106	162524
229775	108425	52425
258194	39064	93367
145250	138900	106475
268500	0	122125
278585	54620	57420
143927	100574	146124
200175	91425	99025
132696	133483	124446
178950	61800	149875
142050	19625	228950
307450	54175	29000
242300	61575	86750
243625	12625	134375
110250	93550	186825
254173	79026	57426
176625	112175	101825
135797	183964	70864
334625	36750	19250
171150	153575	65900
259125	76575	54925
171000	102500	117125
129887	168569	92169
239640	104430	46555
85000	290000	15625
190300	134700	65625
198527	98406	93692
265650	81650	43325
347625	10250	32750
182455	126915	81255
152700	39400	198525
317500	3125	70000
37775	172850	180000
29675	79200	281750
179500	122900	88225
311725	43200	35700
83993	189518	117114
68350	282725	39550
79495	244890	66240
166570	107465	116590
99100	188625	102900
122850	4000	263775
175625	45000	170000
390625	0	0
149067	110292	131266
375250	3750	11625
268071	76152	46402
231847	61206	97572
140200	61500	188925
218175	56250	116200
185325	101400	103900
138317	149263	103045
63642	57176	269807
225841	108768	56016
211225	122780	56620
184685	61020	144920
214859	136374	39392
201610	120713	68302
139015	123485	128125
238375	83650	68600
328210	18770	43645
222424	88842	79359
307300	10725	72600
100802	24619	265204
165953	115194	109478
275825	40950	73850
146080	150145	94400
147085	90172	153368
104925	128850	156850
103125	236250	51250
228689	73463	88473
372125	10500	8000
277975	78000	34650
211084	73468	106073
377500	0	13125
206175	61025	123425
191850	46200	152575
252825	73900	63900
169950	120975	99700
141825	118675	130125
258200	38325	94100
214700	79900	96025
60300	222225	108100
94505	176990	119130
168750	66250	155625
134238	161213	95174
186400	76925	127300
68950	78825	242850
144060	97405	149160
146525	103600	140500
247649	45124	97852
141619	156282	92724
217875	121900	50850
177920	138582	74123
102766	192107	95752
257807	75380	57438
125260	165850	99515
71940	292005	26680
183991	141192	65442
145975	131025	113625
101750	148750	140125
191188	109506	89931
185431	71808	133386
229793	95174	65658
238675	59250	92700
131250	205000	54375
146025	52600	192000
102750	124900	162975
126075	51610	212940
161175	128900	100550
141295	136110	113220
171125	164900	54600
118148	188254	84223
300425	49500	40700
161475	175025	54125
243594	34167	112864
390625	0	0
240625	0	150000
178087	191454	21084
188400	122300	79925
190315	49040	151270
204790	91945	93890
146500	113250	130875
333825	2500	54300
145440	153045	92140
245940	54705	89980
175000	150000	65625
260505	50660	79460
89525	200620	100480
104670	193209	92746
262000	44625	84000
214625	10500	165500
301350	26800	62475
275325	110350	4950
246130	75690	68805
211775	95250	83600
259881	39670	91074
151550	142805	96270
131900	125475	133250
65625	278750	46250
201607	91782	97236
123825	47250	219550
126450	115450	148725
176075	156850	57700
145250	76125	169250
254712	66519	69394
220310	76970	93345
161245	91120	138260
224800	22425	143400
208350	131625	50650
109685	145410	135530
318250	27300	45075
270659	75208	44758
154495	132215	103915
137017	175964	77644
142960	127645	120020
197700	67050	125875
273308	24828	92489
203100	96175	91350
390625	0	0
177275	94100	119250
282530	54781	53314
290500	64125	36000
142050	19325	229250
96502	184694	109429
99035	103277	188313
172750	111225	106650
94775	258850	37000
203125	0	187500
101100	254650	34875
331300	34125	25200
74075	213145	103405
109210	214855	66560
238100	68825	83700
189121	94672	106832
120290	51555	218780
130561	78432	181632
212500	110625	67500
149861	105418	135346
215475	74025	101125
390625	0	0
197883	155791	36951
261900	96075	32650
244650	30325	115650
265000	58000	67625
269200	58800	62625
155195	183194	52236
177000	31875	181750
158825	99150	132650
258100	61825	70700
192066	86089	112470
227500	33750	129375
151028	104794	134803
165067	67768	157790
91905	157935	140785
172602	140796	77227
157180	86080	147365
98232	204022	88371
90250	121875	178500
149950	135700	104975
137655	136220	116750
246250	69375	75000
269664	87543	33418
104466	156417	129742
234556	80675	75394
172800	107500	110325
232270	9315	149040
145479	123100	122046
175225	193350	22050
134725	119000	136900
231025	76650	82950
192975	117200	80450
77875	156400	156350
229125	47250	114250
191100	116825	82700
196925	78900	114800
191950	90200	108475
246875	61250	82500
219325	42000	129300
202576	50541	137508
165225	121450	103950
235329	18923	136373
286929	72684	31012
127208	27483	235934
315975	6075	68575
244175	74525	71925
52920	193285	144420
103628	183362	103635
133125	164000	93500
159470	105500	125655
246700	18525	125400
324175	60150	6300
125625	147067	117933
264525	76750	49350
274075	33750	82800
169875	148250	72500
125975	219076	45574
188975	67575	134075
114375	65950	210300
182412	38962	169251
92950	208425	89250
120415	167470	102740
165800	58575	166250
184575	87000	119050
243000	102500	45125
189700	93800	107125
146361	88282	155982
169730	175092	45803
231137	73550	85938
181400	110625	98600
329075	52800	8750
118820	199365	72440
108050	241250	41325
277775	44550	68300
227625	44250	118750
223260	89370	77995
131300	136200	123125
160177	70271	160177
310208	27189	53228
257168	91216	42241
109075	99850	181700
143600	151925	95100
326425	48975	15225
93750	0	296875
116650	128450	145525
292825	7100	90700
322525	20000	48100
163250	102755	124620
343750	28125	18750
190000	161250	39375
146250	83300	161075
162275	110350	118000
361381	1572	27672
162500	69375	158750
120625	232000	38000
103750	178125	108750
194400	65525	130700
263325	64000	63300
133125	102375	155125
196875	112500	81250
216850	38050	135725
210805	99666	80154
221620	82465	86540
95477	243857	51291
252359	49846	88420
179365	154995	56265
196083	54646	139896
171675	81250	137700
142960	152290	95375
246209	92832	51584
106918	51918	231789
219571	104610	66444
57500	104225	228900
169925	66150	154550
87125	226355	77145
223750	60000	106875
109726	86166	194733
165250	84750	140625
318750	16250	55625
134027	124274	132324
178750	119375	92500
46975	46700	296950
141285	140973	108367
171395	47085	172145
148500	138875	103250
159425	175950	55250
181125	85600	123900
156875	172200	61550
257825	91000	41800
99550	7500	283575
149750	77125	163750
141920	89365	159340
89600	91100	209925
111350	44725	234550
164750	93750	132125
166538	83944	140143
304490	56430	29705
233150	67150	90325
176800	144600	69225
261325	129300	0
258428	47460	84737
247450	70250	72925
303125	12500	75000
143900	81875	164850
225914	73447	91264
296350	44775	49500
197250	16250	177125
112025	175850	102750
157935	164220	68470
138295	148590	103740
182500	116425	91700
178460	179230	32935
115640	65015	209970
205800	84375	100450
128855	155931	105839
43125	347500	0
258325	83850	48450
190750	45000	154875
205675	131200	53750
209375	87500	93750
158059	45158	187408
220500	152905	17220
130472	188246	71907
308125	41250	41250
169012	82212	139401
68750	90750	231125
