#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
131474	129404	129747
47477	52984	290164
186668	99003	104954
167674	48299	174652
137754	111122	141749
37566	299856	53203
138701	160324	91600
237025	77450	76150
151487	91494	147644
193875	59000	137750
345025	29350	16250
117145	54340	219140
152875	97265	140485
154035	54600	181990
118750	120125	151750
163291	148266	79068
124665	89895	176065
233625	62000	95000
204000	96625	90000
311175	29700	49750
110865	139264	140496
297500	32250	60875
188475	108350	93800
160450	152075	78100
229119	54277	107229
271105	41580	77940
293345	34040	63240
119900	207000	63725
137380	66930	186315
96000	100825	193800
172700	99660	118265
37165	62240	291220
133693	111516	145416
172166	49848	168611
105571	80062	204992
177194	125780	87651
92692	142467	155466
216865	85225	88535
92100	109350	189175
229900	22050	138675
97275	97895	195455
162270	104535	123820
158590	130370	101665
265068	43116	82441
258900	69775	61950
178950	87600	124075
193450	94225	102950
253675	62300	74650
174701	58326	157598
125475	8275	256875
228025	46575	116025
64775	54808	271042
124955	131365	134305
183450	38550	168625
126400	149380	114845
118513	79338	192774
204661	82904	103060
102345	146940	141340
234160	67346	89119
67325	92275	231025
182478	61803	146344
39977	142217	208431
126356	144887	119382
75374	83369	231882
144049	65613	180963
142056	103968	144601
202019	96294	92312
223500	32750	134375
68205	99340	223080
143218	108246	139161
151051	78884	160690
139132	112647	138846
331250	25000	34375
285450	16425	88750
196443	99540	94642
62500	0	328125
279430	51635	59560
169162	114903	106560
90172	96552	203901
104950	135350	150325
38530	57155	294940
157245	134420	98960
181250	58650	150725
99375	93650	197600
126926	132815	130884
85189	94584	210852
188175	58200	144250
149025	80750	160850
327800	6300	56525
16975	42000	331650
71730	174165	144730
129247	126546	134832
249470	61919	79236
174985	66570	149070
134950	136250	119425
244375	0	146250
101375	101875	187375
144110	59833	186682
241097	51509	98019
248500	66825	75300
61330	115935	213360
94620	116795	179210
145557	125419	119649
49500	41250	299875
105340	28790	256495
232232	90784	67609
239500	57000	94125
179809	147000	63816
127128	67336	196161
213905	99075	77645
78825	108500	203300
128000	146550	116075
74025	137100	179500
76900	110600	203125
151604	150303	88718
151399	100650	138576
109604	196982	84039
131590	87375	171660
110597	148712	131316
173175	118850	98600
90150	135350	165125
129300	100680	160645
195875	169500	25250
168775	83650	138200
134375	81250	175000
57925	65525	267175
95990	124740	169895
212078	76885	101662
271875	42025	76725
166250	62375	162000
342506	19138	28981
177417	119015	94193
75150	108550	206925
125205	153610	111810
135075	96124	159426
188900	116900	84825
163221	90733	136671
113125	59625	217875
201899	101628	87098
288225	4400	98000
109125	138500	143000
128056	115916	146653
119052	210670	60903
140345	98305	151975
103125	21875	265625
131850	109575	149200
123630	135340	131655
187375	91300	111950
99095	85035	206495
262782	35258	92585
156250	79050	155325
208950	69200	112475
100911	116250	173464
98068	151733	140824
323850	17650	49125
283000	26650	80975
211587	84844	94194
121760	107721	161144
179042	66867	144716
69211	83670	237744
129625	135800	125200
187650	86775	116200
238900	61425	90300
64425	106350	219850
235804	67142	87679
137125	138125	115375
97536	105174	187915
109726	154462	126437
163018	156734	70873
139325	117375	133925
170092	123000	97533
287950	57425	45250
47825	5950	336850
82375	55125	253125
80209	158119	152297
220665	74429	95531
124000	116350	150275
192600	76600	121425
255475	100525	34625
162676	113927	114022
111964	40600	238061
130432	108084	152109
34200	97400	259025
168337	115719	106569
101450	130925	158250
187277	135253	68095
86175	81375	223075
164373	122748	103504
155250	106375	129000
192350	39450	158825
219825	65800	105000
231100	30450	129075
128974	128638	133013
166016	76541	148068
125450	96550	168625
249375	5625	135625
119022	105037	166566
83581	223496	83548
111464	107036	172125
215293	93234	82098
89051	40126	261448
187440	47746	155439
93115	44380	253130
136410	115105	139110
186785	104780	99060
140125	158750	91750
117899	144324	128402
31931	105197	253497
234816	82464	73345
190725	94350	105550
299325	42075	49225
104175	133350	153100
117474	97861	175290
121450	66250	202925
137775	109450	143400
123273	133686	133666
78256	121860	190509
128140	99130	163355
175050	40050	175525
153875	70600	166150
150598	96648	143379
131505	158770	100350
170725	120625	99275
180845	61895	147885
50842	6439	333344
119125	143100	128400
64250	131825	194550
165925	93050	131650
161700	57600	171325
77925	81800	230900
153770	111960	124895
135119	147593	107913
126250	97800	166575
82668	146404	161553
150375	198750	41500
250850	90400	49375
120625	123375	146625
252805	71090	66730
118825	114750	157050
58250	65850	266525
123625	82000	185000
97800	89400	203425
164800	71000	154825
144325	120600	125700
86872	97022	206731
246975	63300	80350
69900	100750	219975
83000	197425	110200
172875	134800	82950
79650	163500	147475
129950	115960	144715
71258	153840	165527
143777	160592	86256
175500	21000	194125
145601	105612	139412
161675	91050	137900
144385	114255	131985
135105	112180	143340
121210	132720	136695
143144	120777	126704
168120	80935	141570
190201	55584	144840
71878	174135	144612
266003	36793	87829
174536	94483	121606
308425	15225	66975
143200	140200	107225
188635	83925	118065
209850	85250	95525
46875	192800	150950
129494	70587	190544
330300	26175	34150
203197	113072	74356
157450	113200	119975
166249	133893	90483
131474	83356	175795
180150	80400	130075
129275	108400	152950
124700	143775	122150
197476	91788	101361
69000	205000	116625
89850	155450	145325
215325	95300	80000
137375	50250	203000
263801	39658	87166
157090	99645	133890
156080	133810	100735
65625	13750	311250
218944	100179	71502
174075	101700	114850
121325	94100	175200
78000	20875	291750
86440	162906	141279
94695	42834	253096
178454	109078	103093
156105	111285	123235
108075	205000	77550
178947	71624	140054
156555	48485	185585
191548	110171	88906
159930	128180	102515
254120	39750	96755
100850	8050	281725
88354	81777	220494
126000	86375	178250
178700	96775	115150
97695	105300	187630
121673	131751	137201
206640	85260	98725
115224	66387	209014
100375	118150	172100
313200	31100	46325
143900	102000	144725
179569	138795	72261
116625	166000	108000
70475	199625	120525
137975	136575	116075
71950	57750	260925
149525	104250	136850
130300	74300	186025
129548	84476	176601
166875	125000	98750
195225	80240	115160
82600	170200	137825
181250	99675	109700
151694	88094	150837
161700	191500	37425
102500	202900	85225
234375	0	156250
74775	173550	142300
143075	30450	217100
107200	200425	83000
306665	33225	50735
227190	49440	113995
138765	91310	160550
243650	82650	64325
127682	192869	70074
43300	157150	190175
206275	144825	39525
274800	41625	74200
108495	142810	139320
85500	118325	186800
111375	85650	193600
18050	0	372575
142958	133435	114232
53593	223548	113484
143575	106700	140350
107265	110595	172765
131185	112610	146830
218775	84550	87300
155525	147000	88100
134488	64442	191695
85000	148175	157450
224775	41800	124050
108301	125048	157276
162848	119798	107979
188520	98340	103765
127137	136468	127020
149175	81250	160200
116845	139182	134598
166119	78837	145669
156345	81950	152330
107348	138040	145237
100300	90375	199950
93424	118098	179103
139008	112359	139258
319225	23250	48150
141250	19000	230375
119119	99694	171812
102800	158700	129125
278025	38500	74100
109370	114005	167250
261925	44600	84100
256125	57375	77125
111895	117520	161210
85450	68225	236950
156250	0	234375
298150	13350	79125
159375	62500	168750
81070	65045	244510
86000	115050	189575
126550	108075	156000
159150	100975	130500
147125	39000	204500
198075	72750	119800
30430	190405	169790
148779	109264	132582
144852	100399	145374
91422	136282	162921
187071	53192	150362
221300	9875	159450
118208	105318	167099
150082	54147	186396
199987	88044	102594
169908	91131	129586
71240	265425	53960
232926	41301	116398
78816	146216	165593
216575	78140	95910
245350	79650	65625
130550	82450	177625
183315	152880	54430
110000	39375	241250
23450	101550	265625
52750	110300	227575
128745	88655	173225
138734	146807	105084
85500	190375	114750
142775	157050	90800
161275	50975	178375
98605	164945	127075
140600	114700	135325
231000	68450	91175
137580	87175	165870
104140	94924	191561
83750	108125	198750
118275	174425	97925
87808	98508	204309
164529	118937	107159
325100	7350	58175
315900	50925	23800
123225	183175	84225
145750	133625	111250
163905	84735	141985
112815	118140	159670
216500	39500	134625
51550	215975	123100
145530	109885	135210
328125	13125	49375
217500	27200	145925
176525	133735	80365
85740	105490	199395
212552	15702	162371
164691	110298	115636
130844	10744	249037
65625	44750	280250
138497	88276	163852
92031	114798	183796
151480	159644	79501
134601	167579	88445
76250	81250	233125
241350	40000	109275
144950	146325	99350
137054	81587	171984
36518	82168	271939
153847	33322	203456
99803	52469	238353
129625	144450	116550
301625	23000	66000
92625	199625	98375
193915	87980	108730
171215	143640	75770
166450	65890	158285
121517	77242	191866
131350	143400	115875
113937	121772	154916
179025	95550	116050
162450	113575	114600
151500	73500	165625
149810	90392	150423
227651	113401	49573
137750	140275	112600
199650	73825	117150
244075	59850	86700
102400	100550	187675
167700	89925	133000
46769	271462	72394
186759	105426	98440
140175	90825	159625
317850	13625	59150
208923	39148	142554
124700	182400	83525
146275	105375	138975
233975	44100	112550
88600	12000	290025
124260	111735	154630
175035	19970	195620
250000	0	140625
127635	95130	167860
62950	112725	214950
201940	83695	104990
129450	105800	155375
205750	72150	112725
181500	88700	120425
63850	65325	261450
212625	11975	166025
124128	83479	183018
251700	47700	91225
125800	155050	109775
140300	59125	191200
245002	49630	95993
143532	152971	94122
106875	101875	181875
66870	215230	108525
50795	93310	246520
196499	95890	98236
142660	153153	94812
113366	121686	155573
82375	159000	149250
130589	125522	134514
178227	110207	102191
159377	100256	130992
123735	81550	185340
150674	124478	115473
68745	184455	137425
114830	123486	152309
131525	41850	217250
178300	10825	201500
130290	118821	141514
142050	50100	198475
237010	97633	55982
226567	14992	149066
261825	6300	122500
54125	285000	51500
127240	46771	216614
94928	76941	218756
133450	85825	171350
231050	89300	70275
179830	56190	154605
206633	51471	132521
119256	149488	121881
117500	76525	196600
203145	102990	84490
169194	41797	179634
161250	72025	157350
175944	83703	130978
188475	121575	80575
102450	114600	173575
191675	100350	98600
142750	106000	141875
183561	98796	108268
276250	11250	103125
115164	114114	161347
149997	69922	170706
202956	94515	93154
221625	88950	80050
96825	68400	225400
69924	80497	240204
268775	8575	113275
177029	63088	150508
151260	131030	108335
121725	18900	250000
117548	170947	102130
65450	104300	220875
153272	140064	97289
116117	94156	180352
202375	113725	74525
99825	66300	224500
19926	341798	28901
117693	73336	199596
129700	106970	153955
138200	49525	202900
124350	121050	145225
123595	122934	144096
124375	107500	158750
129125	109175	152325
190155	101905	98565
74035	107225	209365
143056	33492	214077
173440	76030	141155
154475	102350	133800
264150	0	126475
166889	97127	126609
175200	28500	186925
246075	76800	67750
110835	51060	228730
121800	93625	175200
223275	106925	60425
96051	114666	179908
64525	70025	256075
103020	112440	175165
301925	34950	53750
160855	107835	121935
48486	22968	319171
152350	90300	147975
343450	4950	42225
82258	71358	237009
183934	79129	127562
100875	161300	128450
71875	127600	191150
211785	58095	120745
52875	72550	265200
173200	75430	141995
191040	64220	135365
42654	164628	183343
219918	60444	110263
152200	108050	130375
117422	83572	189631
47825	86250	256550
94000	115300	181325
126548	31222	232855
96600	77100	216925
124675	139050	126900
137775	110875	141975
72925	0	317700
112042	134441	144142
162677	123445	104503
206790	48640	135195
153500	26875	210250
109100	116125	165400
140605	86755	163265
149720	155140	85765
165650	75575	149400
122011	30882	237732
118612	60432	211581
206700	86875	97050
158496	51396	180733
90050	263500	37075
375000	0	15625
91359	203499	95767
110350	98400	181875
141075	106575	142975
129141	50408	211076
153025	16275	221325
141674	70399	178552
140985	89470	160170
178850	112125	99650
127330	56184	207111
231000	106325	53300
142615	75780	172230
268550	69575	52500
176088	95385	119152
69360	225805	95460
153050	209700	27875
289375	76025	25225
132822	148547	109256
131125	202625	56875
113875	78050	198700
148325	75075	167225
158424	66477	165724
63575	46450	280600
83875	187625	119125
131775	106775	152075
137650	99350	153625
99742	192166	98717
113475	144975	132175
121760	81585	187280
142500	153725	94400
125750	164350	100525
130536	109596	150493
124274	165722	100629
228750	67500	94375
175450	94950	120225
187625	128450	74550
258911	29232	102482
204400	54150	132075
216204	35754	138667
131217	90919	168489
171707	137757	81161
128725	177600	84300
58983	184493	147149
115800	127750	147075
243375	28125	119125
133477	127663	129485
87598	163994	139033
58600	182775	149250
174775	146800	69050
156050	93875	140700
72460	204010	114155
133430	86385	170810
22850	38025	329750
64325	93450	232850
240060	21203	129362
79180	159468	151977
139049	114041	137535
79300	236675	74650
81035	98265	211325
146957	135493	108175
206414	76612	107599
74509	183657	132459
155761	135720	99144
92225	128950	169450
156476	79221	154928
49305	55040	286280
223561	97257	69807
102645	49240	238740
96347	57105	237173
107707	114798	168120
145980	113740	130905
282850	26800	80975
189400	96325	104900
71990	186680	131955
103685	93270	193670
125031	129498	136096
142325	147750	100550
131588	92832	166205
165550	138175	86900
84150	135375	171100
93132	108259	189234
230245	83285	77095
73494	66185	250946
73214	151989	165422
84815	107795	198015
81875	91875	216875
101965	159765	128895
170450	80450	139725
91352	42816	256457
130737	160869	99019
106550	121600	162475
94425	79150	217050
218750	0	171875
108515	80257	201853
161783	117623	111219
152600	78664	159361
186092	73526	131007
75063	235562	80000
128672	104952	157001
155309	129960	105356
124370	171965	94290
130138	147518	112969
136277	134464	119884
146250	6825	237550
170109	113118	107398
90185	61064	239376
124605	90755	175265
143830	136910	109885
103100	36150	251375
133915	232448	24262
88475	241875	60275
82045	204560	104020
105800	54100	230725
101091	30742	258792
191400	96900	102325
96225	93320	201080
151263	155115	84247
215300	79535	95790
42775	184800	163050
112706	66435	211484
243145	57190	90290
290650	5250	94725
150750	96250	143625
80903	175943	133779
71100	124000	195525
150269	86644	153712
80400	17475	292750
150880	93320	146425
122049	86249	182327
124000	31625	235000
122725	96075	171825
104750	29100	256775
95075	67300	228250
168915	71700	150010
49950	132375	208300
62840	25305	302480
131507	104205	154913
113433	87807	189385
186325	96250	108050
131400	151450	107775
126342	106143	158140
71936	216065	102624
166193	104489	119943
122430	86230	181965
95275	184350	111000
104502	51077	235046
264996	65652	59977
95950	57925	236750
176783	75105	138737
107777	105791	177057
127189	118064	145372
227710	69578	93337
50950	229650	110025
275379	53452	61794
56600	243325	90700
149299	107517	133809
105644	147886	137095
96555	92400	201670
92932	84832	212861
207225	101975	81425
125325	79925	185375
118111	177665	94849
115903	188455	86267
67575	126325	196725
126390	115306	148929
109366	156516	124743
