#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
159010	134899	96716
140625	100000	150000
87975	53775	248875
115604	79026	195995
226566	48291	115768
76278	233929	80418
29688	81231	279706
18000	145825	226800
158464	120324	111837
247475	61850	81300
73320	71650	245655
172725	43300	174600
199350	23425	167850
152400	123850	114375
84375	52075	254175
129560	143015	118050
101396	148476	140753
101165	160020	129440
212978	67936	109711
88225	55000	247400
126768	118401	145456
63450	232375	94800
208405	65335	116885
139575	112975	138075
96450	150600	143575
115625	131775	143225
78125	131250	181250
112875	166625	111125
168679	62748	159198
91600	144300	154725
104205	43020	243400
108965	71442	210218
89091	112917	188617
84175	209900	96550
176200	61250	153175
85020	156520	149085
118325	122800	149500
232496	51275	106854
152631	126856	111138
137050	55300	198275
139150	115900	135575
68134	82071	240420
243600	66000	81025
244352	30237	116036
119350	102000	169275
124400	176525	89700
147725	192500	50400
74375	162500	153750
110705	110335	169585
72716	95697	222212
89504	149979	151142
207925	81950	100750
181250	64900	144475
111144	111632	167849
153289	86739	150597
96895	146235	147495
150400	32300	207925
92769	103078	194778
86704	110977	192944
141125	89570	159930
110640	105296	174689
100075	173500	117050
192326	97112	101187
141600	46200	202825
167175	56800	166650
99106	103059	188460
92097	213972	84556
147939	106742	135944
222420	88210	79995
212225	56675	121725
203749	71772	115104
204816	103402	82407
113475	108225	168925
216875	87750	86000
95950	95475	199200
238293	78716	73616
103419	185224	101982
170175	1200	219250
105184	124182	161259
133942	125366	131317
157150	73350	160125
139685	84163	166777
105956	75762	208907
78445	165495	146685
67841	84618	238166
175701	77392	137532
112300	152550	125775
200662	36419	153544
198117	113360	79148
105175	135725	149725
154182	81859	154584
102450	153605	134570
119630	92285	178710
136700	113900	140025
125212	171104	94309
68525	27850	294250
95124	106320	189181
97250	69825	223550
136050	87123	167452
81525	0	309100
154341	95181	141103
138060	37120	215445
27500	51425	311700
191075	83475	116075
136800	122350	131475
122375	80550	187700
125658	64133	200834
135475	107675	147475
261800	81450	47375
143925	118400	128300
85735	194010	110880
80020	60640	249965
69300	97575	223750
165277	85758	139590
87194	70094	233337
127815	164856	97954
159155	61980	169490
256026	49465	85134
237774	70455	82396
137075	116400	137150
28350	14470	347805
82420	142528	165677
126150	103400	161075
41750	189750	159125
123650	68600	198375
110693	174418	105514
104025	82300	204300
188735	83555	118335
101300	33925	255400
117875	95000	177750
108268	174389	107968
92190	161705	136730
183350	77850	129425
262306	80286	48033
181850	156775	52000
47400	45700	297525
228539	68508	93578
48750	99500	242375
168750	86675	135200
129548	48076	213001
124675	84350	181600
61900	104300	224425
215592	27975	147058
95875	8400	286350
65875	109950	214800
203575	78300	108750
151463	125907	113255
224490	56242	109893
146980	80885	162760
134930	137390	118305
237825	80500	72300
109775	70400	210450
128166	155786	106673
130701	181348	78576
129539	105438	155648
178205	48735	163685
139375	66600	184650
99025	31200	260400
146422	22614	221589
144305	109280	137040
69559	90368	230698
212985	99360	78280
193818	64000	132807
290100	10250	90275
170285	59820	160520
144400	4400	241825
150545	77152	162928
92394	74788	223443
99375	59050	232200
83335	180295	126995
163250	85750	141625
83831	172956	133838
188500	76325	125800
92308	122508	175809
99125	82500	209000
112010	105120	173495
91170	36040	263415
90876	182569	117180
158712	122751	109162
140625	0	250000
82697	133197	174731
152125	153750	84750
311325	54100	25200
106387	102236	182002
102766	130191	157668
198215	82166	110244
139620	98020	152985
94450	79825	216350
279375	50000	61250
178125	0	212500
322975	25500	42150
201774	44499	144352
182050	18375	190200
149866	46256	194503
185700	49850	155075
215600	79180	95845
175375	103375	111875
121000	88300	181325
109982	69632	211011
138850	133025	118750
137225	57050	196350
146518	92897	151210
204040	106765	79820
88760	104193	197672
63265	92684	234676
25000	250625	115000
138865	111380	140380
140750	118425	131450
170595	94940	125090
93864	81101	215660
189139	46813	154673
154715	91590	144320
51910	50310	288405
127774	101055	161796
45950	96650	248025
204014	109917	76694
92550	48700	249375
262000	65050	63575
123991	100408	166226
181540	115990	93095
99000	153000	138625
96455	104980	189190
177600	61800	151225
122210	109745	158670
78575	110750	201300
108116	140064	142445
20750	6875	363000
60100	45050	285475
71653	182025	136947
138575	94600	157450
267500	8750	114375
170670	72255	147700
180380	20510	189735
154000	42950	193675
60201	196173	134251
59391	168014	163220
134750	83625	172250
90486	104554	195585
101035	38865	250725
135650	89925	165050
222532	82669	85424
51850	11225	327550
125135	93350	172140
122050	86475	182100
100509	151733	138383
100100	123900	166625
152050	103500	135075
139351	96457	154817
174875	53925	161825
132675	106525	151425
163904	154903	71818
155942	114420	120263
243650	79050	67925
139935	81095	169595
174850	108075	107700
120013	172101	98511
174000	46125	170500
119075	50200	221350
90076	140726	159823
209046	14646	166933
129228	59577	201820
72150	60000	258475
115200	103650	171775
23425	24225	342975
104180	106810	179635
144950	112650	133025
152228	116204	122193
115350	82925	192350
153400	156050	81175
94961	201794	93870
176150	75000	139475
98475	152100	140050
116280	93040	181305
103604	22673	264348
105934	141509	143182
173288	49888	167449
70925	54000	265700
84014	104211	202400
64875	85250	240500
193463	86007	111155
53489	83909	253227
204250	60900	125475
219150	54825	116650
204667	29414	156544
84075	100700	205850
93400	118775	178450
251461	40236	98928
76517	146874	167234
117550	37375	235700
117350	120250	153025
63825	80700	246100
179525	111375	99725
148122	100827	141676
99300	187425	103900
131855	79550	179220
72215	162060	156350
138750	5625	246250
165350	88525	136750
55120	148345	187160
149250	50950	190425
68550	36575	285500
75625	56700	258300
97529	77254	215842
72790	166040	151795
124200	218700	47725
195686	74191	120748
143625	92225	154775
160100	83175	147350
105650	164000	120975
102300	207000	81325
62500	0	328125
145250	175500	69875
144602	91012	155011
36000	37800	316825
147425	73700	169500
124625	138475	127525
170300	77825	142500
109031	185816	95778
141205	94405	155015
157850	143325	89450
72962	153912	163751
125592	136926	128107
162640	94854	133131
109029	41257	240339
89315	140415	160895
107441	160048	123136
103497	108131	178997
111555	153612	125458
149548	89728	151349
135175	52450	203000
136875	63750	190000
133876	114587	142162
142375	217500	30750
142984	99384	148257
101956	122881	165788
113400	108950	168275
136195	20265	234165
88300	183375	118950
202375	59375	128875
146553	79261	164811
115625	83750	191250
123903	128328	138394
250875	77250	62500
93633	122341	174651
107125	90600	192900
95575	165600	129450
146150	23000	221475
140750	80000	169875
211844	68154	110627
140058	124451	126116
163600	64050	162975
55600	200375	134650
133795	151178	105652
73500	175725	141400
120110	148430	122085
83190	80640	226795
81495	139420	169710
127572	113563	149490
133679	29452	227494
172974	61238	156413
107600	99400	183625
130287	145926	114412
165077	98204	127344
106700	127850	156075
126630	86805	177190
147475	125305	117845
127900	104475	158250
102582	148604	139439
138050	109525	143050
146525	139025	105075
149554	88671	152400
48675	13225	328725
124975	96150	169500
80750	79375	230500
232550	32025	126050
126350	129600	134675
149950	187400	53275
221775	28200	140650
25463	18638	346524
84016	198350	108259
128497	83637	178491
173950	111600	105075
168307	46066	176252
111735	84920	193970
124125	27575	238925
104285	43373	242967
166555	131660	92410
149222	82997	158406
83050	70450	237125
176100	109175	105350
116000	121450	153175
153415	38130	199080
111032	180556	99037
134775	116300	139550
196050	41500	153075
208715	86065	95845
147950	99600	143075
111789	138694	140142
82500	33375	274750
101621	155408	133596
219190	58405	113030
113521	105974	171130
267924	49758	72943
268125	44500	78000
140825	100150	149650
132170	168420	90035
152699	61488	176438
154525	144475	91625
110000	146424	134201
153775	117650	119200
238250	16575	135800
97506	81792	211327
136125	111320	143180
84715	139515	166395
104475	176200	109950
155562	113692	121371
208250	75250	107125
176450	184525	29650
77955	30715	281955
144000	93125	153500
125050	133407	132168
170442	38055	182128
116700	133400	140525
154850	92425	143350
111850	68550	210225
102335	65150	223140
128779	99998	161848
71725	131175	187725
159625	95750	135250
131161	116626	142838
115500	41875	233250
138051	161078	91496
108819	68362	213444
85250	11375	294000
93979	144747	151899
319875	2050	68700
114395	63095	213135
153638	58866	178121
195972	61596	133057
113800	221425	55400
146200	165125	79300
146390	139710	104525
102750	149125	138750
124550	22750	243325
142560	98895	149170
205591	71466	113568
134450	136525	119650
119943	55368	215314
90000	130000	170625
132650	103425	154550
216050	94050	80525
179300	101650	109675
250450	42255	97920
134550	45200	210875
221258	62689	106678
106575	104600	179450
191209	154635	44781
198130	113420	79075
127475	102875	160275
105291	161763	123571
149848	119973	120804
144975	150625	95025
120309	126816	143500
161275	51750	177600
184494	44848	161283
121610	75160	193855
67465	111895	211265
46970	162120	181535
126570	100790	163265
69750	77550	243325
95071	128463	167091
148500	112625	129500
94400	113100	183125
182700	63150	144775
137580	192590	60455
102150	121550	166925
230550	72500	87575
183750	101775	105100
45125	85250	260250
108321	118752	163552
185269	88995	116361
216953	87849	85823
66000	53300	271325
108910	115895	165820
210481	90546	89598
168288	130712	91625
250000	66250	74375
125445	120370	144810
74000	74625	242000
121250	138775	130600
98970	130943	160712
232665	66490	91470
131951	71061	187613
177140	103570	109915
119500	61125	210000
122065	194710	73850
124873	134148	131604
163393	70620	156612
144898	70969	174758
145375	96600	148650
112275	118700	159650
189431	32192	169002
50000	16000	324625
143051	41376	206198
105290	44230	241105
167150	31725	191750
83750	45500	261375
110719	171533	108373
168375	95000	127250
148251	59646	182728
133900	125825	130900
169373	127884	93368
97875	93750	199000
102250	63550	224825
61375	29100	300150
123447	115202	151976
105500	207500	77625
184725	71950	133950
128882	141667	120076
211428	31179	148018
72425	215150	103050
143915	110495	136215
171036	135372	84217
313400	37500	39725
105875	129700	155050
58187	57062	275376
80124	144990	165511
130275	179150	81200
190800	27375	172450
79252	226708	84665
120700	146250	123675
97644	69294	223687
309926	21500	59199
125000	46875	218750
103675	94250	192700
140565	26280	223780
134120	159260	97245
123125	154875	112625
100486	114927	175212
61645	69090	259890
196130	92385	102110
86733	180663	123229
258350	65850	66425
82100	176625	131900
138090	120223	132312
38025	218025	134575
88254	91626	210745
85225	48450	256950
97225	235325	58075
148750	54050	187825
59375	18750	312500
106275	69725	214625
217920	72551	100154
152900	112200	125525
64757	120032	205836
78800	124325	187500
49300	17925	323400
49211	32800	308614
165730	119561	105334
185400	91375	113850
83145	205815	101665
141375	90000	159250
115725	67250	207650
130899	102163	157563
116803	121188	152634
147318	57879	185428
116625	161150	112850
177365	94490	118770
92275	80650	217700
101988	149116	139521
186910	82880	120835
114085	116632	159908
82406	176130	132089
154975	111450	124200
119900	158500	112225
259375	0	131250
95250	114650	180725
113299	110795	166531
263475	74675	52475
54550	66575	269500
137050	91750	161825
81600	53625	255400
80050	96000	214575
82390	155240	152995
64268	73901	252456
138712	131694	120219
134948	103776	151901
