#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
52500	67625	270500
117275	102500	170850
149325	63800	177500
99669	83544	207412
193690	77968	118967
80243	162358	148024
143195	98920	148510
236425	103450	50750
172544	80406	137675
126650	134900	129075
0	35000	355625
78130	140305	172190
22800	35325	332500
139545	105920	145160
305386	30303	54936
160778	85756	144091
86775	181025	122825
71454	16454	302717
192000	70675	127950
82450	221050	87125
125824	118955	145846
81256	126618	182751
156288	43962	190375
174300	106600	109725
144200	146650	99775
162425	44650	183550
208525	68975	113125
70025	205625	114975
70250	94375	226000
126100	125450	139075
51300	50950	288375
102651	137461	150513
87500	61775	241350
108375	122375	159875
136542	132014	122069
102305	83040	205280
176025	109625	104975
73510	136214	180901
203675	90200	96750
70000	117525	203100
82497	90261	217867
119125	65750	205750
144755	130180	115690
54970	168745	166910
130144	88250	172231
79975	189950	120700
139646	89285	161694
240975	10725	138925
104551	57416	228658
114704	106854	169067
96425	189175	105025
177350	61000	152275
99575	117100	173950
95219	136463	158943
196742	78816	115067
27125	111000	252500
8100	161250	221275
101250	68000	221375
104951	106026	179648
103775	110700	176150
153500	18000	219125
97750	206150	86725
87500	86375	216750
98175	101950	190500
75350	97850	217425
159762	66312	164551
113085	53280	224260
101046	99092	190487
111380	126520	152725
79021	140895	170709
48050	54675	287900
98060	58035	234530
201870	63420	125335
117075	99650	173900
104675	84225	201725
161370	119310	109945
151908	49199	189518
212900	28600	149125
182125	68125	140375
114075	34400	242150
212275	91775	86575
80708	117286	192631
143990	92505	154130
157650	111425	121550
207750	29850	153025
68229	52973	269423
92518	172051	126056
77172	137507	175946
141469	68607	180549
157025	111000	122600
74211	172601	143813
247636	32356	110633
59818	88192	242615
112050	211175	67400
41742	146956	201927
125275	70000	195350
125650	164175	100800
164150	105500	120975
170625	104750	115250
114907	162927	112791
100950	138775	150900
117567	156492	116566
107295	59170	224160
133440	99755	157430
70267	81267	239091
95525	120550	174550
161561	83348	145716
97790	110284	182551
77735	67525	245365
171925	89175	129525
169025	158300	63300
120618	109268	160739
95931	86522	208172
60800	80700	249125
93625	140500	156500
134026	37233	219366
163675	131350	95600
78024	15024	297577
183202	54400	153023
152475	87930	150220
110025	76775	203825
160350	110450	119825
153025	106950	130650
228400	74225	88000
110942	142284	137399
160354	65854	164417
154416	120446	115763
130806	121580	138239
79025	83650	227950
95461	71418	223746
117283	31788	241554
140998	99541	150086
130666	135400	124559
84617	25167	280841
83840	70285	236500
56600	82625	251400
236001	25512	129112
156275	53550	180800
168853	71752	150020
93525	65825	231275
100325	168775	121525
129083	81759	179783
242025	57300	91300
214050	31500	145075
136880	84560	169185
75068	106089	209468
68800	13925	307900
88245	142370	160010
101060	98260	191305
120145	89067	181413
55860	27870	306895
182075	96075	112475
100900	93700	196025
58750	44825	287050
123625	143900	123100
246700	56150	87775
102047	116122	172456
107689	53596	229340
181088	112453	97084
227850	85425	77350
161890	103069	125666
95425	167300	127900
54425	121850	214350
189650	98875	102100
97575	147750	145300
142650	162200	85775
90823	107545	192257
110100	94200	186325
111550	157475	121600
134775	71300	184550
52975	109500	228150
104540	130965	155120
70833	206618	113174
85272	100047	205306
124474	74801	191350
105380	35830	249415
177811	114669	98145
78860	75880	235885
185375	86850	118400
176625	84625	129375
214900	104575	71150
269200	70700	50725
123160	114845	152620
93750	77600	219275
93750	0	296875
91402	83408	215815
146250	119250	125125
117076	109854	163695
142225	117950	130450
132600	114355	143670
128132	83509	178984
88225	174975	127425
121572	148397	120656
198045	97285	95295
84900	36000	269725
129155	103480	157990
86250	84500	219875
64000	93775	232850
163928	98511	128186
248200	45075	97350
114500	87825	188300
120790	94624	175211
151392	100828	138405
87665	83090	219870
80750	5600	304275
188150	110950	91525
196020	47140	147465
143375	17000	230250
178280	52139	160206
5925	52400	332300
151575	142875	96175
82925	195000	112700
85950	106400	198275
130865	182135	77625
140945	119300	130380
198217	85416	106992
117500	151875	121250
87703	63180	239742
135950	110650	144025
53990	23990	312645
134450	177600	78575
241225	45275	104125
73482	146061	171082
9150	24750	356725
183267	78002	129356
96700	133825	160100
144375	122500	123750
104275	128475	157875
124718	134316	131591
98469	111973	180183
293765	42305	54555
106500	191025	93100
60375	148425	181825
112320	111060	167245
107347	139839	143439
96385	81660	212580
95845	142150	152630
140212	122989	127424
74425	124500	191700
190825	105075	94725
197827	77145	115653
108706	128482	153437
117000	81650	191975
88500	111250	190875
118725	37225	234675
78750	0	311875
80604	32656	277365
62892	71278	256455
87981	125264	177380
135600	99550	155475
55096	107679	227850
161040	90313	139272
211699	46056	132870
146050	126525	118050
156948	101329	132348
268145	55240	67240
138989	106321	145315
162050	149200	79375
185250	30875	174500
145668	147980	96977
109400	132400	148825
64925	63900	261800
92400	162000	136225
131854	70304	188467
209000	2550	179075
126475	96850	167300
116915	152420	121290
143700	134175	112750
163975	90100	136550
78784	151209	160632
148359	109389	132877
256300	62350	71975
142535	112460	135630
76000	72500	242125
129954	152986	107685
168025	0	222600
341550	5950	43125
114075	156925	119625
69089	58839	262697
116835	69005	204785
80000	5000	305625
99575	79325	211725
94256	144595	151774
164023	77974	148628
107138	72913	210574
94950	130850	164825
112116	169998	108511
98393	95685	196547
155075	101700	133850
37800	26800	326025
144881	128991	116753
177500	79975	133150
178450	66550	145625
148837	106424	135364
176325	51675	162625
125450	168575	96600
107500	67500	215625
105895	134695	150035
133457	65298	191870
134850	115150	140625
148129	66240	176256
143700	89625	157300
177100	45575	167950
39275	96300	255050
176775	76250	137600
169700	52175	168750
91600	109750	189275
114050	115000	161575
109935	74925	205765
97150	85800	207675
82382	225699	82544
57000	192425	141200
149585	51870	189170
160030	70985	159610
129425	111300	149900
90898	118923	180804
299613	45342	45670
139845	69395	181385
54882	24814	310929
33750	58750	298125
145879	141423	103323
73459	98598	218568
69540	115320	205765
54265	36920	299440
147600	138800	104225
101835	92845	195945
178134	52028	160463
204575	56675	129375
147486	84645	158494
93975	55700	240950
130500	103950	156175
148656	113490	128479
200875	70700	119050
147558	52979	190088
115550	51600	223475
78925	109375	202325
157868	106218	126539
164175	52400	174050
18725	80550	291350
122155	141480	126990
176400	107350	106875
134300	96675	159650
141400	74900	174325
85500	178250	126875
41375	62300	286950
36834	33959	319832
131000	127050	132575
70000	3500	317125
230975	49650	110000
287063	16043	87519
96075	42000	252550
131766	69596	189263
122500	125950	142175
201612	78585	110428
114546	138186	137893
80877	32076	277672
65925	62550	262150
87230	164905	138490
117124	91813	181688
128163	92581	169881
206175	51600	132850
131995	81005	177625
129182	77734	183709
166150	73725	150750
100910	97685	192030
138475	105500	146650
86274	70149	234202
186590	75130	128905
68090	86005	236530
90125	94225	206275
84075	123825	182725
219325	88600	82700
240225	81100	69300
136381	129368	124876
102825	117050	170750
121284	85484	183857
181625	60575	148425
94825	92600	203200
134100	27675	228850
87412	57237	245976
71800	168025	150800
166320	94220	130085
69439	135733	185453
272650	62750	55225
152325	23375	214925
71125	63250	256250
122486	95644	172495
40900	57150	292575
120161	47811	222653
91986	94533	204106
123250	52875	214500
140359	86604	163662
34950	56825	298850
145754	45904	198967
124265	85730	180630
126450	212300	51875
67100	23275	300250
146650	66735	177240
174650	0	215975
110500	115000	165125
286900	36950	66775
92172	78458	219995
130981	147452	112192
114425	110000	166200
121600	121925	147100
131698	124576	134351
119793	92261	178571
48125	83125	259375
134075	116575	139975
110049	151788	128788
127125	93750	169750
178930	97740	113955
113525	30540	246560
141625	95625	153375
125475	61400	203750
36750	71500	282375
100566	123495	166564
74269	165870	150486
141028	121069	128528
70375	106500	213750
162090	64070	164465
81975	96600	212050
196665	43014	150946
115050	141275	134300
42500	76975	271150
98385	79128	213112
92500	27300	270825
169004	88704	132917
144570	126965	119090
87050	15400	288175
97500	66875	226250
129603	96664	164358
132800	79035	178790
104620	107250	178755
232500	47500	110625
92575	62700	235350
173775	51800	165050
80656	96781	213188
96530	113965	180130
133590	136420	120615
80510	172060	138055
97500	226750	66375
65675	4950	320000
88695	105115	196815
262500	19100	109025
137850	95125	157650
149185	104380	137060
65025	63450	262150
241875	11000	137750
104778	87521	198326
164500	123125	103000
92994	41520	256111
109500	56875	224250
74360	74285	241980
225066	55412	110147
188650	77350	124625
109789	91026	189810
67150	42600	280875
64560	61005	265060
74700	57600	258325
111861	78132	200632
148255	132660	109710
118694	101528	170403
60267	269474	60884
132900	140850	116875
112584	125839	152202
153924	65572	171129
161432	75828	153365
245125	40500	105000
47975	249000	93650
134625	89200	166800
35285	130340	225000
48792	96741	245092
166575	139250	84800
65225	83000	242400
118625	157375	114625
207365	87405	95855
175600	113450	101575
132344	78069	180212
71725	46050	272850
142879	54004	193742
68805	156850	164970
81422	141372	167831
133085	41649	215891
130188	111778	148659
88750	30000	271875
112955	93994	183676
162975	53550	174100
125000	0	265625
115000	28750	246875
111036	71288	208301
135244	47046	208335
113100	186550	90975
131875	48150	210600
73782	148158	168685
147155	118785	124685
176233	93506	120886
110785	139260	140580
144897	92422	153306
157732	55191	177702
68581	111831	210213
69799	116274	204552
199475	77625	113525
104050	19500	267075
146380	124690	119555
49875	2000	338750
108072	58069	224484
135375	50000	205250
10500	53025	327100
198150	132100	60375
52429	51954	286242
177500	77225	135900
246238	40209	104178
130820	129920	129885
52352	51105	287168
280450	55050	55125
64921	75452	250252
131420	83695	175510
231500	62625	96500
77234	118204	195187
235475	70150	85000
159549	51699	179377
146200	94950	149475
90095	175425	125105
87650	87875	215100
119350	87025	184250
79303	165301	146021
241750	39225	109650
95455	66190	228980
67712	108744	214169
89784	49284	251557
111230	95580	183815
126892	111566	152167
88828	104078	197719
162400	73875	154350
113890	41515	235220
118875	145750	126000
78489	54430	257706
117219	68160	205246
145570	119760	125295
133421	81346	175858
49082	35054	306489
111455	72030	207140
107000	65875	217750
72063	93697	224865
122183	110566	157876
145000	162500	83125
100640	182170	107815
119935	92805	177885
91625	64200	234800
76213	85218	229194
190650	45450	154525
131300	121650	137675
122293	124111	144221
52400	76650	261575
103946	44776	241903
109525	16050	265050
130300	17650	242675
54930	127995	207700
15625	0	375000
103882	98744	187999
140750	104900	144975
186467	72976	131182
63175	70975	256475
97350	96330	196945
169375	66735	154515
174190	84180	132255
91000	77500	222125
96750	169825	124050
155400	88450	146775
112742	104904	172979
57258	34008	299359
148484	79140	163001
156000	78075	156550
123468	134369	132788
118891	141616	130118
123750	128500	138375
99550	115150	175925
167050	96600	126975
148875	111425	130325
170815	127734	92076
134425	101625	154575
37825	22175	330625
139910	110860	139855
83890	80265	226470
240300	55875	94450
122750	107100	160775
120215	122190	148220
28020	137470	225135
116650	136725	137250
169832	90186	130607
105900	93300	191425
78795	126345	185485
68839	62362	259424
125400	87450	177775
82950	195950	111725
116987	39829	233809
32170	19710	338745
123684	69033	197908
124725	115725	150175
67586	237012	86027
115332	105882	169411
89440	47088	254097
91725	77300	221600
109795	59440	221390
15625	8750	366250
115389	29654	245582
73965	65965	250695
134446	67515	188664
103376	82926	204323
172200	100250	118175
150470	75675	164480
143419	98360	148846
155804	111904	122917
122692	58990	208943
104450	139225	146950
159025	106738	124862
138094	105797	146734
83825	104200	202600
53531	63925	273169
169550	26600	194475
126289	86064	178272
69700	35700	285225
145090	42090	203445
126011	112720	151894
157288	111331	122006
212009	61683	116933
173208	86121	131296
42500	0	348125
84560	47727	258338
67650	73325	249650
102850	161000	126775
202640	73225	114760
73425	121675	195525
146000	86100	158525
84264	83964	222397
169715	58325	162585
74849	179739	136037
117394	125100	148131
83000	74750	232875
119970	56085	214570
62200	73370	255055
137335	136320	116970
80215	36290	274120
178442	129099	83084
108450	137125	145050
113525	40375	236725
193125	44125	153375
130804	78388	181433
103633	206655	80337
176133	93108	121384
120075	34100	236450
221375	108550	60700
154718	78764	157143
158930	122500	109195
164700	123000	102925
172788	103251	114586
45100	62360	283165
56176	71406	263043
105000	96225	189400
138750	38000	213875
136100	144125	110400
189925	36875	163825
119965	95855	174805
221910	54176	114539
133275	104650	152700
80625	68075	241925
126850	47700	216075
135243	118291	137091
111874	94458	184293
127550	129700	133375
133775	119450	137400
141290	150456	98879
57286	156232	177107
110625	78750	201250
215275	61175	114175
90355	155040	145230
158100	79350	153175
78750	146250	165625
168550	29925	192150
153420	31070	206135
118100	91950	180575
81250	108500	200875
35900	162400	192325
153608	111246	125771
122645	87815	180165
41575	197600	151450
107195	97205	186225
134750	67925	187950
130652	62852	197121
127550	96400	166675
169900	75200	145525
107200	57375	226050
168825	111200	110600
111600	116000	163025
160625	61875	168125
106241	146516	137868
118133	91884	180608
127525	102675	160425
192455	95110	103060
95250	74375	221000
122725	136000	131900
127450	101525	161650
182635	116895	91095
114625	176000	100000
184055	54290	152280
112407	106716	171502
197275	45000	148350
138843	139361	112421
209675	95400	85550
116035	28460	246130
128140	97305	165180
77442	153540	159643
124460	97488	168677
122131	113923	154571
84675	116250	189700
104875	73800	211950
96575	109600	184450
59575	72300	258750
143857	107627	139141
144375	87875	158375
142800	75625	172200
92200	80425	218000
124843	116687	149095
88000	103825	198800
128935	67820	193870
104900	96000	189725
92275	42375	255975
91150	155175	144300
83525	102000	205100
130188	67031	193406
149740	99390	141495
128250	8050	254325
192775	59825	138025
150875	129400	110350
173085	101840	115700
190450	85750	114425
128794	46224	215607
124655	100080	165890
77700	57025	255900
142910	69670	178045
118285	152140	120200
304619	33507	52499
194550	54650	141425
63900	102450	224275
252694	58517	79414
80325	160350	149950
84831	42322	263472
131155	110480	148990
74151	57930	258544
51655	106260	232710
182747	21851	186027
50710	217325	122590
220452	55970	114203
114922	90789	184914
80950	20100	289575
125418	59368	205839
142467	96134	152024
128999	25099	236527
28375	52975	309275
94125	166925	129575
65450	32100	293075
152836	112938	124851
107620	58470	224535
155733	84978	149914
141281	129389	119955
121550	135600	133475
84825	121400	184400
160194	23369	207062
150250	112100	128275
123111	121967	145547
83065	191260	116300
95860	106010	188755
96000	67350	227275
34075	211000	145550
101670	175338	113617
170000	11875	208750
173570	92895	124160
178404	53786	158435
234616	67738	88271
174286	54404	161935
126000	66850	197775
167349	148950	74326
88032	64557	238036
159714	88914	141997
152554	99112	138959
74353	137591	178681
82975	129950	177700
135625	163175	91825
21750	82800	286075
105200	125875	159550
99600	180500	110525
87345	96460	206820
113175	90000	187450
170950	81050	138625
69925	27300	293400
111391	112794	166440
35800	35700	319125
128910	76165	185550
138075	97550	155000
285760	38120	66745
118915	46740	224970
134635	63310	192680
204325	35050	151250
73100	42825	274700
14375	45600	330650
107670	81120	201835
152245	71825	166555
202375	83900	104350
127625	61250	201750
91329	97869	201427
120440	76590	193595
185480	44035	161110
122275	204500	63850
148848	44337	197440
97325	115015	178285
204075	94050	92500
93425	110000	187200
217125	69850	103650
211304	55255	124066
90266	128118	172241
227075	31050	132500
233750	33750	123125
140198	82713	167714
85859	118100	186666
66700	61725	262200
138650	33000	218975
50000	0	340625
103850	81125	205650
197180	95090	98355
238750	72300	79575
101975	75000	213650
167950	115275	107400
206250	106250	78125
158549	84343	147733
143138	102381	145106
166681	49922	174022
76750	188231	125644
84300	151800	154525
97687	67179	225759
132465	128585	129575
100656	128544	161425
128065	102990	159570
107750	95900	186975
137975	96925	155725
104368	53068	233189
82400	45650	262575
144950	138275	107400
277500	26250	86875
108465	87035	195125
79225	26250	285150
144548	54706	191371
123478	112754	154393
87459	44892	258274
275500	20125	95000
168770	32769	189086
133550	89100	167975
50875	0	339750
259125	33000	98500
115725	53900	221000
102606	125408	162611
166625	41350	182650
150300	84300	156025
74594	108084	207947
70270	179295	141060
210350	94175	86100
166526	30087	194012
69325	60900	260400
52450	34500	303675
119975	105000	165650
93810	156930	139885
242125	47250	101250
137125	59250	194250
116050	91875	182700
93050	80995	216580
148875	85500	156250
120877	147573	122175
170178	109028	111419
161112	74994	154519
208641	74593	107391
121194	85894	183537
73300	31500	285825
119350	46075	225200
55325	42200	293100
150100	98425	142100
71175	13950	305500
208525	93975	88125
118548	35948	236129
93628	118549	178448
123225	99850	167550
120950	82425	187250
196602	27688	166335
81345	123495	185785
41800	36725	312100
78811	184036	127778
50691	98591	241343
96100	111150	183375
74500	81550	234575
115175	131300	144150
121075	106350	163200
118200	67250	205175
187500	0	203125
110150	22025	258450
81985	111165	197475
145731	98937	145957
195330	80260	115035
110605	94426	185594
70780	142780	177065
63606	69440	257579
97643	30618	262364
218438	84978	87209
138910	122016	129699
167217	106404	117004
77663	49588	263374
100425	72100	218100
152341	79485	158799
92485	85795	212345
130610	127380	132635
113715	69105	207805
121875	42000	226750
199788	37679	153158
105475	96450	188700
46850	140050	203725
181325	61950	147350
97325	136100	157200
150550	83000	157075
140000	9500	241125
30275	50475	309875
120425	82500	187700
129950	158075	102600
90325	84000	216300
185075	117590	87960
120556	143797	126272
38312	93051	259262
71875	0	318750
164720	85260	140645
50645	109890	230090
180950	105400	104275
94700	114150	181775
82040	230214	78371
173135	82270	135220
93105	123360	174160
49000	71825	269800
31154	12792	346679
99975	82812	207838
120408	110661	159556
70625	94375	225625
88930	153930	147765
107825	111850	170950
270850	11650	108125
126604	94606	169415
152425	118800	119400
81400	122400	186825
44475	69900	276250
185674	38280	166671
173520	78290	138815
130995	52950	206680
238188	34038	118399
110257	83482	196886
88679	136648	165298
78300	89775	222550
233600	18050	138975
90900	63400	236325
15700	3300	371625
129649	49374	211602
77125	164700	148800
129825	98875	161925
49125	21950	319550
92000	69750	228875
136565	73580	180480
73750	213475	103400
123450	108650	158525
205050	48025	137550
174775	93975	121875
125979	44829	219817
98912	52152	239561
115225	120650	154750
173954	141760	74911
97487	110212	182926
172800	121675	96150
90185	156535	143905
176200	36900	177525
120119	94569	175937
126315	90810	173500
99450	80750	210425
99501	151251	139873
148769	108504	133352
128425	66925	195275
12750	104125	273750
90575	105150	194900
74700	169350	146575
127341	160938	102346
128395	90296	171934
130330	128295	132000
162917	88179	139529
118396	96859	175370
90260	199920	100445
131595	117215	141815
102750	110750	177125
61695	105720	223210
113944	145000	131681
102300	105550	182775
128490	106090	156045
90295	126883	173447
146191	106131	138303
139100	78475	173050
105950	184325	100350
91808	144536	154281
197834	84617	108174
194882	80498	115245
82875	150700	157050
200950	66725	122950
112243	147078	131304
142855	101320	146450
185648	122268	82709
113247	47964	229414
203915	78512	108198
70513	79956	240156
61162	107774	221689
71700	136200	182725
128450	137766	124409
49650	189850	151125
18800	47850	323975
57475	9650	323500
113375	61875	215375
57419	46459	286747
218087	91737	80801
288650	52275	49700
21275	120775	248575
190125	60375	140125
184075	57750	148800
108819	110769	171037
66220	102035	222370
45725	16450	328450
126225	91200	173200
114625	135375	140625
230920	99990	59715
83350	82800	224475
133477	95501	161647
69800	77200	243625
217200	91050	82375
63925	58075	268625
197360	94260	99005
102055	92860	195710
76025	198200	116400
163465	90180	136980
108800	60000	221825
85496	161223	143906
108063	124268	158294
37740	74905	277980
119025	79950	191650
187050	145200	58375
127265	94230	169130
53825	246450	90350
170157	48347	172121
111130	115972	163523
117775	181475	91375
92217	139706	158702
87475	169275	133875
20625	15800	354200
83697	117372	189556
156095	41415	193115
113740	83190	193695
98150	112275	180200
91250	95625	203750
118355	142290	129980
153321	94126	143178
103164	105498	181963
94525	153625	142475
83815	147480	159330
133660	84390	172575
112725	104400	173500
117550	131520	141555
91800	114225	184600
288495	29590	72540
131995	125102	133528
120649	121288	148688
80275	61025	249325
103100	111800	175725
50000	81250	259375
203904	68079	118642
151105	67970	171550
131348	101154	158123
249525	83650	57450
147277	60900	182448
156000	21050	213575
72984	41114	276527
131925	77200	181500
181057	97834	111734
221750	85750	83125
57750	33125	299750
98025	44920	247680
79434	218674	92517
115475	88000	187150
102928	116628	171069
65275	54300	271050
83550	184800	122275
86705	61580	242340
157750	96250	136625
96450	74700	219475
154196	77771	158658
251032	59984	79609
44850	14475	331300
207150	76705	106770
165405	54880	170340
64484	207987	118154
131500	84475	174650
146680	103761	140184
162500	40625	187500
161625	80400	148600
139100	80425	171100
101215	78183	211227
218750	119375	52500
258500	46950	85175
119600	110425	160600
147575	88250	154800
102919	125619	162087
58750	157675	174200
111395	84500	194730
107514	145589	137522
135775	84150	170700
173166	84642	132817
166200	90700	133725
182480	113710	94435
47450	44975	298200
95000	134000	161625
157502	106051	127072
113234	84852	192539
128885	84408	177332
290000	20625	80000
119932	102141	168552
136722	99686	154217
96525	88600	205500
123350	136550	130725
205600	75500	109525
195875	92250	102500
44852	52181	293592
83000	120625	187000
96875	16800	276950
98490	114170	177965
65750	21900	302975
114150	106525	169950
123616	93102	173907
76084	107865	206676
