#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
218856	88552	83217
111375	107450	171800
160800	111600	118225
153571	111099	125955
140625	0	250000
114537	129266	146822
148830	105740	136055
138610	50855	201160
81333	97775	211517
200050	76000	114575
115750	73675	201200
77760	157155	155710
105750	123750	161125
158300	91075	141250
85530	228825	76270
82780	122595	185250
126181	161056	103388
142389	138897	109339
87352	60899	242374
146575	159075	84975
47639	109222	233764
81135	142605	166885
81201	72676	236748
180225	61875	148525
16750	8100	365775
142420	84445	163760
87445	159760	143420
85250	162250	143125
76175	105225	209225
125175	26825	238625
207067	94242	89316
112875	102150	175600
22062	24912	343651
92104	160807	137714
115275	140100	135250
128875	127725	134025
109450	103275	177900
132575	114850	143200
118050	142775	129800
151740	64227	174658
132175	113650	144800
74540	90515	225570
131701	152219	106705
127735	104020	158870
116882	119117	154626
132050	123536	135039
71350	39550	279725
180257	108915	101453
224075	54225	112325
96850	130650	163125
182050	54300	154275
114503	113469	162653
79392	201406	109827
94275	151125	145225
122525	149675	118425
177425	83050	130150
149286	96217	145122
271550	56925	62150
145887	65487	179251
150100	158900	81625
133875	102300	154450
142196	69114	179315
121975	128400	140250
144105	89745	156775
223265	77384	89976
59168	78643	252814
176825	82500	131300
92976	143256	154393
121484	98350	170791
61500	147000	182125
138682	143847	108096
142810	43335	204480
119078	70569	200978
103871	90952	195802
171925	92400	126300
99063	99336	192226
82020	145570	163035
156575	92900	141150
125600	141725	123300
68075	103100	219450
76446	72366	241813
72426	174728	143471
150050	152100	88475
62960	66510	261155
201610	55520	133495
147250	130175	113200
172690	93678	124257
122200	101795	166630
45019	46097	299509
104310	120710	165605
122574	113463	154588
33950	5625	351050
172150	52850	165625
44200	71825	274600
126420	112360	151845
142800	73775	174050
76425	47525	266675
101800	79850	208975
117525	64300	208800
63980	173150	153495
116189	119226	155210
130184	132826	127615
108198	76768	205659
57010	81460	252155
97490	123374	169761
20000	0	370625
129190	161554	99881
146400	82775	161450
53725	107375	229525
193950	118750	77925
144250	92770	153605
157484	71702	161439
142653	94386	153586
196100	41250	153275
76385	85655	228585
99666	180904	110055
119720	112270	158635
95225	96900	198500
120405	21350	248870
222325	12000	156300
143867	66679	180079
111330	131160	148135
136175	94600	159850
122633	124296	143696
125580	120805	144240
103975	90250	196400
146175	107675	136775
169575	76200	144850
171850	112400	106375
177125	75600	137900
197200	52825	140600
125625	134625	130375
92645	181120	116860
92220	112395	186010
92125	102100	196400
117233	87983	185409
101162	83072	206391
70491	99729	220405
70550	205200	114875
84884	141108	164633
68337	57549	264739
129008	80528	181089
74166	64758	251701
116500	95200	178925
101740	107330	181555
194325	64350	131950
222325	68775	99525
114875	126575	149175
55875	94275	240475
191779	15454	183392
195522	80384	114719
187610	118020	84995
124060	118160	148405
116986	86194	187445
132283	127348	130994
104327	115193	171105
33530	76347	280748
75279	82563	232783
106050	78775	205800
149400	98775	142450
138375	139500	112750
145605	94540	150480
127970	78915	183740
95400	129225	166000
69630	74569	246426
70795	122140	197690
197200	14800	178625
103131	72156	215338
191301	87096	112228
57600	114000	219025
41250	16000	333375
106400	115350	168875
153305	107865	129455
268675	39000	82950
93850	109800	186975
84250	95000	211375
173498	58698	158429
98550	87775	204300
141486	67011	182128
106150	114975	169500
133000	60750	196875
141765	121865	126995
163025	109150	118450
49610	9610	331405
153050	125775	111800
73850	164600	152175
130200	67075	193350
82276	82426	225923
185313	119213	86099
2500	115000	273125
134569	118244	137812
136500	99500	154625
161550	117700	111375
62683	59958	267984
123728	75636	191261
52990	26435	311200
103225	111750	175650
46875	0	343750
50625	64375	275625
139125	53875	197625
101300	162275	127050
37775	26525	326325
164450	23125	203050
42150	47775	300700
96310	107210	187105
113384	65709	211532
192975	52450	145200
122828	119203	148594
78425	116875	195325
231750	63975	94900
79499	155313	155813
42925	14350	333350
189100	101300	100225
151250	152225	87150
136875	122625	131125
45890	60965	283770
167055	26345	197225
209039	80754	100832
93325	154425	142875
130150	93375	167100
95272	174234	121119
39295	87930	263400
95300	36400	258925
111425	91925	187275
195705	45240	149680
114660	125095	150870
172774	105554	112297
143950	106200	140475
172350	25200	193075
179125	102000	109500
174700	68500	147425
84725	72450	233450
50375	192675	147575
71250	105000	214375
44850	163950	181825
85275	123500	181850
120075	146700	123850
170650	110576	109399
59323	29448	301854
123025	142900	124700
101907	116607	172111
121380	32960	236285
132650	102285	155690
29200	177325	184100
73563	85375	231687
139525	94725	156375
134650	131400	124575
63125	89700	237800
101425	96875	192325
55115	170140	165370
62750	93500	234375
200606	66056	123963
112750	80325	197550
90525	152350	147750
112125	22250	256250
112500	120000	158125
78225	137525	174875
63945	118780	207900
117425	113725	159475
147579	98387	144659
138067	84140	168418
140440	47690	202495
241950	37750	110925
100800	68650	221175
147138	52688	190799
85075	163975	141575
26875	25000	338750
181925	111500	97200
120875	101450	168300
148976	101156	140493
160210	41420	188995
74900	119300	196425
128312	78080	184233
143258	102858	144509
148945	93890	147790
127125	72000	191500
133050	117790	139785
264175	54050	72400
69200	136800	184625
117875	111950	160800
106640	132160	151825
141326	79143	170156
45875	26975	317775
169830	24334	196461
70061	169576	150988
98724	148388	143513
117253	90286	183086
93750	0	296875
48738	55619	286268
92225	18700	279700
68535	75790	246300
125625	28125	236875
160275	72400	157950
113250	174500	102875
63600	7000	320025
139550	115100	135975
57200	146550	186875
140219	136344	114062
86958	88888	214779
128434	67927	194264
84200	100875	205550
132550	109600	148475
77700	47300	265625
54500	193325	142800
73882	49434	267309
121273	100616	168736
113250	91875	185500
148068	25468	217089
155500	99925	135200
193887	64571	132167
79789	129604	181232
91196	69542	229887
114012	64569	212044
53675	36650	300300
118370	132870	139385
103250	84500	202875
43477	11112	336036
115900	119150	155575
89176	114776	186673
119285	116330	155010
107550	195100	87975
110674	155463	124488
90650	58500	241475
50200	135050	205375
113522	36139	240964
35700	144375	210550
81250	92500	216875
121340	115340	153945
84465	75715	230445
91954	167127	131544
167256	26331	197038
131750	120450	138425
146347	71544	172734
212125	60000	118500
121025	122150	147450
90295	94545	205785
88972	187472	114181
257250	39750	93625
65657	102592	222376
71025	75175	244425
108250	99500	182875
107725	77000	205900
93374	114845	182406
40775	61100	288750
148157	106344	136124
185127	61872	143626
128375	145000	117250
111225	68000	211400
159650	14850	216125
109697	108097	172831
139435	82485	168705
174050	54300	162275
123425	187125	80075
47882	141582	201161
103575	107625	179425
138075	93075	159475
144659	104503	141463
126875	167425	96325
160927	103675	126023
89860	74100	226665
86746	102590	201289
197415	67905	125305
146650	117775	126200
101450	122250	166925
32475	200275	157875
76375	70825	243425
104675	50000	235950
49725	123450	217450
36250	136900	217475
76719	62280	251626
133750	101875	155000
160350	130800	99475
13250	26600	350775
84982	95586	210057
108711	79051	202863
165114	78197	147314
187981	21322	181322
143363	83309	163953
181075	93075	116475
114900	54575	221150
198917	80633	111075
87850	149900	152875
146125	111625	132875
81599	199852	109174
110089	110909	169627
144825	68410	177390
233380	38080	119165
104625	69000	217000
116075	139100	135450
88434	26892	275299
47862	134440	208323
146300	108900	135425
94552	35535	260538
93077	60127	237421
109385	113667	167573
120300	67200	203125
117535	137705	135385
81744	9694	299187
147196	113876	129553
83526	96255	210844
77375	253000	60250
159592	86562	144471
75700	17523	297402
102500	74550	213575
95350	175875	119400
182450	102140	106035
68875	123300	198450
100206	90828	199591
64775	69960	255890
146822	67914	175889
56850	59400	274375
128335	79820	182470
48550	113775	228300
104650	87300	198675
99555	124135	166935
171143	99726	119756
119403	181614	89608
19324	45549	325752
57364	135698	197563
139250	96000	155375
107845	83675	199105
115454	76553	198618
117241	92192	181192
175575	66975	148075
149180	95545	145900
123050	133700	133875
131966	142931	115728
173250	75700	141675
123150	120065	147410
64375	103250	223000
126030	91380	173215
168750	56250	165625
128960	97264	164401
173350	129725	87550
190400	99400	100825
100124	119226	171275
98185	99870	192570
66900	83400	240325
219750	48250	122625
143277	86752	160596
178870	110465	101290
94263	82971	213391
144744	95400	150481
70825	37225	282575
123130	138130	129365
89915	154450	146260
169250	79200	142175
132555	97360	160710
93789	145292	151544
82555	113555	194515
