#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
180417	68814	141394
149200	75975	165450
132938	63772	193915
133875	66625	190125
221875	95625	73125
149300	62100	179225
90950	63700	235975
34844	57169	298612
120050	131725	138850
177600	56250	156775
152090	89640	148895
152000	149250	89375
48665	120830	221130
72400	109500	208725
107350	175200	108075
116108	133227	141290
132210	130349	128066
30700	14525	345400
156200	81540	152885
115528	96254	178843
202250	72750	115625
116261	82206	192158
199550	137575	53500
117050	104350	169225
100195	98420	192010
179455	101895	109275
94161	172696	123768
118491	87291	184843
106330	117340	166955
183425	129700	77500
80200	139900	170525
134890	143790	111945
118234	144466	127925
172980	80205	137440
135925	120550	134150
174725	11850	204050
124024	99534	167067
110400	42500	237725
121503	71740	197382
158525	163950	68150
120898	92373	177354
90075	82950	217600
209710	81445	99470
112552	83402	194671
82375	171875	136375
189450	101900	99275
109475	95145	186005
59675	243000	87950
146405	87355	156865
136821	58602	195202
148950	150675	91000
199129	39934	151562
183790	82154	124681
210306	88227	92092
130425	150034	110166
212762	51148	126715
62165	108515	219945
79725	65125	245775
108938	108913	172774
228250	42000	120375
92890	160340	137395
136453	114336	139836
113469	137973	139183
116000	141525	133100
103300	69025	218300
144090	87187	159348
157967	83454	149204
119306	123681	147638
198955	63880	127790
65360	111160	214105
247025	62975	80625
72864	101546	216215
112450	189450	88725
249625	28475	112525
115198	104819	170608
119100	111400	160125
60750	132375	197500
89895	124233	176497
162125	40000	188500
104800	118200	167625
155580	108465	126580
127325	132050	131250
146875	36000	207750
90751	159916	139958
73325	73525	243775
157350	94875	138400
141005	135335	114285
164325	115125	111175
165387	94868	130370
108375	146850	135400
287750	23125	79750
155375	59700	175550
110285	93880	186460
98500	114800	177325
178887	81744	129994
103400	50400	236825
209050	87700	93875
95341	126859	168425
92430	93570	204625
156675	130325	103625
103325	78800	208500
76268	202514	111843
115060	100370	175195
134659	112878	143088
155100	142450	93075
111775	142484	136366
166250	77500	146875
133928	117349	139348
121405	51752	217468
63420	53245	273960
226516	64642	99467
130038	85488	175099
42150	24400	324075
100386	158969	131270
166230	84890	139505
132000	33000	225625
158250	72500	159875
134150	29300	227175
180350	90350	119925
83947	190764	115914
128159	88873	173593
179900	77600	133125
51725	234175	104725
157585	122390	110650
95550	110175	184900
211993	50214	128418
147000	111200	132425
109966	118292	162367
142325	96500	151800
115100	141875	133650
117011	36970	236644
169167	69154	152304
71225	168350	151050
169147	92602	128876
173750	52375	164500
256793	42992	90840
100975	98350	191300
53050	183525	154050
82599	165088	142938
147609	93700	149316
88500	38000	264125
157752	109352	123521
171075	36300	183250
83700	42300	264625
25500	26050	339075
190464	98889	101272
154375	100500	135750
140662	68480	181483
119575	80350	190700
99275	70150	221200
162575	152525	75525
48675	80475	261475
147275	124600	118750
195000	8125	187500
21500	158700	210425
131100	189600	69925
177825	59400	153400
144851	145257	100517
115275	182750	92600
128075	39850	222700
189225	56550	144850
134872	68047	187706
149178	119586	121861
91925	63700	235000
201400	28450	160775
147775	146950	95900
211600	47200	131825
132200	94975	163450
66635	159425	164565
105695	29670	255260
82168	95533	212924
118030	138765	133830
117793	78996	193836
40250	28525	321850
99745	112025	178855
96675	65100	228850
87150	188150	115325
122025	139775	128825
125025	50830	214770
88050	102450	200125
139819	119185	131621
75700	111250	203675
94225	139125	157275
119962	89868	180795
103850	22400	264375
43750	25000	321875
73125	155375	162125
49350	251500	89775
62530	57180	270915
185617	47486	157522
136000	76500	178125
92194	18908	279523
80919	212270	97436
199875	0	190750
77868	178188	134569
138570	104970	147085
197400	68375	124850
254160	63102	73363
149195	91805	149625
107212	98269	185144
107169	89394	194062
92325	136700	161600
98687	27264	264674
157620	85885	147120
152950	82250	155425
133655	71075	185895
104625	60975	225025
84339	38986	267300
109455	116310	164860
93055	69855	227715
147900	41250	201475
107179	102398	181048
130527	110321	149777
228485	77390	84750
164555	111960	114110
135920	99035	155670
45425	35375	309825
160250	101750	128625
57175	38100	295350
166283	126086	98256
137275	86100	167250
260900	23060	106665
129700	115275	145650
62050	21000	307575
213475	109350	67800
252850	79375	58400
120150	83475	187000
109057	55434	226134
129394	81125	180106
121066	123156	146403
157752	112586	120287
170700	54450	165475
40090	46775	303760
148888	112461	129276
128275	136375	125975
91675	126075	172875
120146	120914	149565
222175	76400	92050
219750	106375	64500
66984	148408	175233
64730	82555	243340
132991	134180	123454
42975	113300	234350
151711	112736	126178
193675	112740	84210
130250	136825	123550
136125	111650	142850
145713	133528	111384
137200	89600	163825
106133	19883	264609
142199	86664	161762
114725	107000	168900
131820	78170	180635
142576	65914	182135
154250	116625	119750
131866	89491	169268
187335	97330	105960
182698	94368	113559
127000	135425	128200
227500	45000	118125
169625	119800	101200
94772	121308	174545
50690	46340	293595
96325	115000	179300
175365	25440	189820
97785	44375	248465
144762	89132	156731
212350	91260	87015
207106	74887	108632
122530	121860	146235
132039	128922	129664
75300	98825	216500
95275	139100	156250
86650	55275	248700
100225	156600	133800
102176	45634	242815
99634	71422	219569
115382	126609	148634
94751	95998	199876
90125	57000	243500
124870	113495	152260
70035	39835	280755
198700	35400	156525
195600	118775	76250
150792	51992	187841
147293	72362	170970
58915	31040	300670
119480	85361	185784
104326	121187	165112
62500	78125	250000
138393	72476	179756
122169	129483	138973
71704	213336	105585
104425	104325	181875
170042	106286	114297
50325	19725	320575
151900	101000	137725
145633	100368	144624
95700	87275	207650
256725	91400	42500
85086	108608	196931
92875	43500	254250
72175	91700	226750
174985	65433	150207
140477	85063	165085
98280	69540	222805
109150	126275	155200
186725	97400	106500
97275	98400	194950
45650	115175	229800
68950	238375	83300
112455	131684	146486
194739	49460	146426
110468	100968	179189
164625	16800	209200
33510	81360	275755
115710	76012	198903
125845	96780	168000
125500	40800	224325
105250	143425	141950
163600	72400	154625
52125	89700	248800
100256	115182	175187
125900	106750	157975
139975	154350	96300
87000	77250	226375
121125	88525	180975
63300	194725	132600
94746	163974	131905
144625	141500	104500
113705	89723	187197
99884	115709	175032
106507	160361	123757
64400	172875	153350
105185	76110	209330
56250	78125	256250
59696	42088	288841
158082	119073	113470
130774	67574	192277
139352	96177	155096
133575	119450	137600
148690	77890	164045
131200	100450	158975
161046	75192	154387
208000	18000	164625
106325	75375	208925
132155	84400	174070
13750	10875	366000
65250	27023	298352
173520	57996	159109
158997	73802	157826
102948	153304	134373
115450	41525	233650
76275	82950	231400
161015	109060	120550
53955	295940	40730
105350	88600	196675
41250	41250	308125
69475	136450	184700
164025	62900	163700
189450	70825	130350
94250	89000	207375
96090	122305	172230
110822	97776	182027
73100	81350	236175
70750	225000	94875
87194	111264	192167
149757	119112	121756
181625	81250	127750
208150	88750	93725
142242	92604	155779
96000	112625	182000
74814	37098	278713
265075	12575	112975
71350	128975	190300
171700	98025	120900
269875	43550	77200
48125	0	342500
111840	75000	203785
126025	71650	192950
122150	160825	107650
217957	96221	76447
136925	34200	219500
158851	84538	147236
115950	108950	165725
113050	103925	173650
196550	82700	111375
26276	54576	309773
120725	132500	137400
105975	48725	235925
126745	100365	163515
234620	84035	71970
100255	26455	263915
104425	151150	135050
153689	71618	165318
109726	77588	203311
194525	82490	113610
194425	52500	143700
124120	48390	218115
76250	70700	243675
44232	101062	245331
60642	139709	190274
139930	111870	138825
141550	60150	188925
145374	134078	111173
165765	91861	132999
192025	62825	135775
82202	195071	113352
97000	106250	187375
84540	83340	222745
130775	117600	142250
71900	121725	197000
118827	172721	99077
126211	117186	147228
79107	53067	258451
217280	62490	110855
114060	153186	123379
168525	110075	112025
61317	46206	283102
100875	208175	81575
202900	45200	142525
148775	87600	154250
66525	178600	145500
137250	98375	155000
48268	26866	315491
112382	99652	178591
98500	93200	198925
102285	104005	184335
76770	167760	146095
125132	132082	133411
73936	57876	258813
88195	47670	254760
85275	110750	194600
163750	108500	118375
190100	61100	139425
192585	89720	108320
191550	91725	107350
93750	0	296875
130693	111093	148839
149675	116175	124775
101600	110925	178100
123907	46438	220280
45856	123467	221302
170100	126250	94275
113616	131851	145158
146950	27875	215800
195250	31875	163500
212447	46782	131396
127125	184700	78800
97399	150532	142694
89100	55025	246500
67406	68407	254812
141936	148206	100483
122500	81250	186875
194000	80125	116500
153348	77121	160156
207200	43125	140300
87045	156435	147145
79975	150450	160200
33750	190000	166875
208650	87200	94775
67954	175012	147659
215670	60102	114853
157675	98600	134350
76295	76265	238065
186050	8950	195625
104331	117492	168802
56375	106350	227900
54810	49960	285855
40200	19000	331425
84467	142536	163622
232457	84250	73918
85300	69536	235789
115850	13650	261125
85525	26575	278525
31563	235863	123199
230700	81900	78025
184155	79034	127436
107625	116325	166675
119150	41925	229550
171464	80065	139096
51875	145100	193650
175810	59730	155085
142201	108740	139684
88100	203450	99075
158375	77800	154450
161055	82555	147015
125473	77592	187560
89546	189239	111840
177850	109298	103477
196334	60141	134150
115125	78800	196700
205159	69188	116278
82500	67500	240625
98794	84978	206853
153318	78314	158993
114225	73215	203185
42630	32730	315265
217250	95625	77750
53635	244960	92030
124525	79400	186700
252550	80075	58000
78500	54375	257750
127170	38240	225215
116575	17625	256425
144325	95000	151300
100940	108225	181460
155883	107254	127488
106350	70800	213475
118175	46200	226250
75875	54000	260750
196900	40900	152825
126815	86330	177480
70625	192500	127500
51000	88000	251625
125000	61250	204375
106291	107187	177147
246338	18656	125631
180451	95875	114299
159136	120378	111111
27900	28650	334075
107700	101250	181675
215100	57100	118425
42425	282925	65275
142696	100965	146964
192050	99625	98950
122675	39000	228950
157175	91350	142100
171450	103730	115445
93750	23750	273125
80621	92790	217214
74375	103200	213050
139555	126010	125060
154727	102099	133799
187527	63002	140096
160968	77516	152141
192925	59175	138525
109855	122533	158237
122912	154352	113361
126426	49476	214723
125985	61195	203445
114740	98240	177645
103525	89900	197200
139900	64050	186675
95432	156334	138859
121705	85005	183915
62100	112350	216175
173800	134175	82650
299425	27900	63300
122494	131212	136919
42258	240098	108269
80550	60000	250075
129750	112400	148475
163114	63160	164351
87625	103500	199500
109325	147100	134200
148120	96240	146265
55645	97900	237080
150750	102500	137375
97190	216105	77330
183990	124555	82080
78155	110993	201477
125450	112775	152400
37300	25975	327350
124940	81805	183880
166187	70827	153611
19950	140000	230675
142843	95205	152577
128783	115187	146655
14301	90726	285598
39375	111250	240000
114400	87425	188800
107433	91847	191345
135250	144275	111100
83653	89954	217018
172675	83000	134950
73765	151671	165189
41328	282847	66450
120460	120485	149680
159648	67398	163579
132625	142400	115600
111550	101725	177350
29350	103925	257350
178550	80900	131175
92580	59130	238915
61900	218100	110625
103970	185023	101632
91355	89250	210020
133912	97241	159472
176344	102106	112175
13800	58750	318075
184425	53250	152950
164634	91165	134826
136250	103175	151200
148450	145450	96725
105000	127400	158225
184800	15300	190525
137675	131450	121500
99325	99450	191850
118585	193660	78380
99425	164400	126800
92208	145404	153013
138683	59252	192690
208550	53450	128625
103849	49724	237052
79350	81600	229675
209060	74640	106925
175500	92000	123125
151500	97525	141600
203565	66570	120490
117275	144350	129000
154098	123415	113112
160625	53450	176550
127975	47700	214950
68375	68000	254250
133360	87395	169870
136318	117123	137184
4125	900	385600
91175	74850	224600
163213	90294	137118
139170	60150	191305
145184	155233	90208
99225	141950	149450
143800	78915	167910
182428	61150	147047
126475	10500	253650
190450	57750	142425
240625	91225	58775
150950	131625	108050
150982	119165	120478
113244	81842	195539
28850	119715	242060
160345	51500	178780
145875	71425	173325
139415	76125	175085
259494	45435	85696
181888	38088	170649
109625	137500	143500
126200	109200	155225
153275	98275	139075
107000	14375	269250
81238	119138	190249
200725	89325	100575
76500	165800	148325
208840	25560	156225
120014	118722	151889
118974	105158	166493
99550	57300	233775
138010	101920	150695
127795	101440	161390
137930	120310	132385
125450	103550	161625
174162	84519	131944
94360	95010	201255
87625	112500	190500
49125	95000	246500
70936	127846	191843
106518	110208	173899
112000	107250	171375
94740	79720	216165
100142	126742	163741
159125	118275	113225
169200	128350	93075
125432	90407	174786
135701	108408	146516
96074	158252	136299
123575	112450	154600
86810	117495	186320
102100	144775	143750
122475	87850	180300
88038	68465	234122
168795	61875	159955
148021	114097	128507
193275	98700	98650
74642	83767	232216
156300	116650	117675
154925	51950	183750
143937	78994	167694
84925	175125	130575
94096	137970	158559
182750	84325	123550
106110	139260	145255
123489	140872	126264
28538	247015	115072
125526	96118	168981
91010	106835	192780
112900	142675	135050
107040	122649	160936
109045	76270	205310
139900	100000	150725
150275	46075	194275
75346	89586	225693
255250	96950	38425
63525	200075	127025
98625	59375	232625
108406	95442	186777
160000	66000	164625
42110	114396	234119
191378	75328	123919
265000	48325	77300
135275	20800	234550
84000	15000	291625
136302	90002	164321
170771	93977	125877
147980	125610	117035
131215	116580	142830
180840	37050	172735
55001	38551	297073
107629	118658	164338
160225	90100	140300
95425	63625	231575
133606	85522	171497
152975	133850	103800
121452	119397	149776
150700	78575	161350
76576	177923	136126
124050	77525	189050
199800	56500	134325
173250	69875	147500
98824	90074	201727
56541	132696	201388
134826	166251	89548
106864	82066	201695
167425	89550	133650
110500	139475	140650
115895	71020	203710
114600	18700	257325
171929	103674	115022
97730	95985	196910
145800	111525	133300
160361	94036	136228
86950	63900	239775
82365	197165	111095
87858	72356	230411
128568	96263	165794
217340	31790	141495
106800	33325	250500
202950	77500	110175
257400	47150	86075
46875	0	343750
55800	113000	221825
122850	92850	174925
186025	5725	198875
211415	102705	76505
170500	53900	166225
69450	71825	249350
242675	34450	113500
116376	93128	181121
138505	114805	137315
181952	76039	132634
175126	127176	88323
164036	92176	134413
175275	50550	164800
9225	0	381400
98690	44915	247020
39100	23400	328125
135625	105200	149800
145250	97275	148100
225975	57940	106710
130400	105400	154825
131880	103390	155355
194500	14250	181875
97910	177160	115555
224975	66600	99050
88753	150416	151456
134297	131316	125012
95920	121950	172755
141625	177975	71025
166785	91920	131920
76150	93300	221175
87025	94800	208800
193217	78210	119198
102000	99000	189625
58750	52500	279375
154534	61084	175007
104045	113057	173523
288750	22500	79375
158280	33835	198510
204844	81553	104228
57400	56175	277050
102375	81900	206350
79980	216705	93940
105000	105000	180625
124700	65600	200325
232400	65475	92750
49095	71270	270260
92455	94055	204115
105400	116775	168450
150650	137227	102748
159242	153805	77578
119375	86875	184375
118689	96773	175163
93281	93556	203788
137125	137450	116050
84568	124036	182021
144884	61572	184169
208627	34516	147482
74033	34208	282384
98066	129118	163441
136120	101663	152842
128075	93150	169400
176715	86390	127520
54255	149310	187060
57645	63110	269870
80437	49166	261022
237846	60350	92429
174487	123520	92618
167400	52150	171075
120788	107336	162501
52250	28900	309475
95211	155236	140178
159479	90144	141002
195555	102515	92555
159725	86850	144050
100550	204875	85200
134990	60178	195457
144986	80536	165103
185003	108427	97195
204125	59750	126750
48980	83080	258565
103500	100700	186425
78950	32150	279525
112865	117190	160570
121925	51500	217200
60450	38150	292025
318750	15000	56875
217700	62550	110375
78550	213500	98575
83674	173974	132977
162575	21000	207050
85181	103481	201963
187777	87085	115763
229035	78915	82675
118087	150957	121581
124733	80913	184979
89552	204318	96755
66890	238670	85065
173570	92152	124903
121795	44910	223920
211112	65544	113969
116138	161297	113190
124751	86551	179323
179365	68325	142935
173291	65137	152197
161175	24450	205000
147750	66820	176055
100625	71250	218750
158125	13750	218750
118675	140500	131450
74750	181350	134525
110438	70588	209599
84019	77294	229312
89566	100091	200968
194425	110775	85425
144075	107973	138577
106800	81550	202275
121417	80590	188618
155535	87198	147892
82875	63650	244100
53550	233500	103575
224175	43250	123200
81800	22850	285975
112075	159225	119325
172625	118800	99200
154375	129525	106725
145000	68750	176875
246016	29601	115008
107018	178938	104669
124000	97000	169625
187599	102804	100222
140360	80285	169980
103275	64225	223125
114125	45150	231350
133795	103765	153065
180093	62589	147943
57740	47365	285520
92800	40875	256950
174475	95300	120850
62925	54275	273425
125811	158036	106778
52247	279364	59014
214825	50950	124850
134200	116000	140425
88000	90825	211800
122975	163600	104050
202891	50286	137448
83575	127050	180000
219460	93115	78050
21600	179544	189481
84175	112050	194400
160265	106300	124060
117974	85530	187121
74550	10000	306075
114750	155775	120100
88699	165519	136407
209731	50356	130538
208850	53350	128425
198800	67500	124325
72275	65950	252400
97410	87846	205369
137712	144363	108550
253550	34900	102175
124850	114380	151395
198500	70750	121375
202400	66500	121725
122525	131800	136300
201270	65590	123765
80650	227650	82325
139150	143150	108325
148018	81732	160875
101875	75150	213600
52775	272700	65150
118230	29710	242685
264350	5400	120875
185625	27500	177500
146950	51800	191875
99050	145475	146100
86534	92610	211481
131750	115950	142925
129722	112672	148231
84125	108600	197900
159150	97650	133825
126537	131139	132949
160925	103825	125875
56000	21000	313625
40625	0	350000
260625	73125	56875
61785	142532	186308
90061	85787	214777
84365	61620	244640
161075	38450	191100
94320	88335	207970
131350	69500	189775
157593	103216	129816
205180	67390	118055
37800	115575	237250
117441	156104	117080
150100	115125	125400
68900	146725	175000
50100	34950	305575
143600	109490	137535
99950	203525	87150
167500	123125	100000
91450	106325	192850
34375	0	356250
212850	74350	103425
189520	54225	146880
125476	107995	157154
117075	50750	222800
84825	120200	185600
149375	49500	191750
130625	143380	116620
175525	73375	141725
79950	100500	210175
134340	127270	129015
79100	72750	238775
123750	156825	110050
114975	71920	203730
151810	64015	174800
154370	118045	118210
262300	55250	73075
208600	81175	100850
143575	104400	142650
206231	55726	128668
112200	107960	170465
59375	199325	131925
211584	75253	103788
196580	17871	176174
135625	97600	157400
48800	129825	212000
147150	125200	118275
118975	85575	186075
115100	74525	201000
195750	49150	145725
271495	33870	85260
185735	92930	111960
203525	94125	92975
223325	78550	88750
72050	45025	273550
88870	139560	162195
123320	89020	178285
159475	111550	119600
114190	82200	194235
104398	89728	196499
85075	161175	144375
196711	78141	115773
97503	78609	214513
190615	104095	95915
87459	82540	220626
197630	63460	129535
109550	122525	158550
89920	75570	225135
77467	72177	240981
108775	125450	156400
74900	106550	209175
121179	85704	183742
160325	129475	100825
73846	106095	210684
113319	99872	177434
116700	123375	150550
184026	83674	122925
88380	74780	227465
85025	205825	99775
119875	61750	209000
243425	56300	90900
120500	106500	163625
224255	77095	89275
133938	145868	110819
113050	161000	116575
128698	202874	59053
93480	55260	241885
122905	84765	182955
156558	87498	146569
31250	0	359375
216952	67058	106615
104400	131600	154625
109100	132150	149375
136800	85750	168075
91998	74648	223979
132250	115925	142450
107150	64000	219475
136664	110514	143447
108386	53510	228729
149700	139350	101575
204775	47550	138300
178325	115800	96500
162675	104850	123100
135250	130150	125225
182500	18600	189525
63598	81904	245123
51424	13943	325258
177950	66000	146675
166324	77049	147252
96069	75128	219428
91650	85150	213825
158140	87205	145280
100675	83100	206850
124216	97166	169243
138075	38625	213925
121425	130925	138275
79075	48875	262675
130267	116770	143588
57005	35485	298135
146239	61365	183021
127825	99800	163000
76825	189850	123950
135775	95900	158950
97050	88800	204775
40775	50675	299175
188248	102930	99447
153873	92223	144529
116600	0	274025
224275	48125	118225
54625	63250	272750
98225	90075	202325
121525	112025	157075
148700	123400	118525
103451	133203	153971
41180	220055	129390
113050	118975	158600
140317	91686	158622
154425	94900	141300
139070	68190	183365
153350	89950	147325
218075	45250	127300
53604	175954	161067
39254	42416	308955
161932	119557	109136
160608	93546	136471
160784	131173	98668
62125	116225	212275
251390	64055	75180
208675	61425	120525
118662	153144	118819
162649	115288	112688
143625	99375	147625
156050	134820	99755
75175	72875	242575
220620	38695	131310
143600	113700	133325
44025	91600	255000
101075	137755	151795
73299	61694	255632
56256	96693	237676
96150	122100	172375
131920	96540	162165
92500	116250	181875
159072	55471	176082
139151	151987	99487
189450	14400	186775
115050	101100	174475
167097	135222	88306
180000	100625	110000
179890	123492	87243
197525	133375	59725
268955	38410	83260
122141	104480	164004
238045	36265	116315
92050	67900	230675
105800	136225	148600
128575	156725	105325
93850	162425	134350
207177	34308	149140
85125	112900	192600
181037	41187	168401
177550	97200	115875
150950	95000	144675
147860	118510	124255
207499	98663	84463
73391	34433	282801
153725	96875	140025
96368	155558	138699
169420	86895	134310
75060	55640	259925
106325	102925	181375
96250	169750	124625
155696	100853	134076
179400	98025	113200
162853	90436	137336
40350	48100	302175
166405	73105	151115
95025	188300	107300
90755	63980	235890
11625	35250	343750
116168	137951	136506
116200	114675	159750
128550	154400	107675
138566	70501	181558
76875	113125	200625
62125	21225	307275
175565	62855	152205
143595	104185	142845
124425	87425	178775
185199	75102	130324
181344	70741	138540
89079	57621	243925
103400	76800	210425
100600	146675	143350
225325	109025	56275
219111	107833	63681
78200	152475	159950
238875	79000	72750
171758	111904	106963
142652	103202	144771
93184	104590	192851
156270	67280	167075
107270	102680	180675
42000	290975	57650
62725	106725	221175
207600	4500	178525
104550	206225	79850
168455	91500	130670
65325	111750	213550
157388	80469	152768
107618	93816	189191
140700	91725	158200
134054	77142	179429
100479	99048	191098
87725	135850	167050
160632	105443	124550
115850	156825	117950
177080	75470	138075
112620	155115	122890
53000	82625	255000
87520	217265	85840
97815	174240	118570
55515	40830	294280
88750	47500	254375
182832	63372	144421
229875	29400	131350
92660	93835	204130
105684	150759	134182
46875	0	343750
111652	115206	163767
190225	123200	77200
185575	40150	164900
145625	102014	142986
180750	90300	119575
79980	64475	246170
136225	69350	185050
106656	126762	157207
16875	43125	330625
112783	66818	211024
97875	84700	208050
133400	92500	164725
141950	127475	121200
124834	107536	158255
188250	58250	144125
132922	89147	168556
168960	82185	139480
96015	102674	191936
151374	111108	128143
60562	59712	270351
150561	109497	130567
99477	123376	167772
87800	227400	75425
59950	41925	288750
166475	112575	111575
158000	102750	129875
141020	78840	170765
129275	106325	155025
145321	117116	128188
165475	79850	145300
92250	144600	153775
114420	59565	216640
107167	116267	167191
42325	143575	204725
222160	61470	106995
131000	109700	149925
124921	85096	180608
130531	72704	187390
183775	125350	81500
79484	38808	272333
141677	156747	92201
208625	100125	81875
173700	58895	158030
67725	123750	199150
153685	128600	108340
73972	146972	169681
113204	88321	189100
33443	18885	338297
57100	61650	271875
62050	44700	283875
197100	89650	103875
150000	68625	172000
15000	27625	348000
129225	66960	194440
82425	168525	139675
117614	172438	100573
103155	112030	175440
194570	76540	119515
123417	124922	142286
125625	131250	133750
162575	119925	108125
81653	97082	211890
170048	81762	138815
93300	55800	241525
85392	29853	275380
133890	143938	112797
129847	83882	176896
68232	81626	240767
88900	61100	240625
169325	117050	104250
105441	75546	209638
60250	94272	236103
145565	152532	92528
224561	60336	105728
97150	63750	229725
74397	109396	206832
195375	99000	96250
201875	26250	162500
218325	48275	124025
20750	311400	58475
188375	60525	141725
89350	149000	152275
165475	102100	123050
178545	65600	146480
107000	123750	159875
259375	80000	51250
113976	106508	170141
134000	59650	196975
156825	41700	192100
236225	24725	129675
141400	129775	119450
138980	102120	149525
140250	75723	174652
155836	134175	100614
104889	95864	189872
119050	135350	136225
