T1,T2,T3
0.50208,0.33088,0.16704
0.35966464,0.16762368,0.47271168
0.81735936,0.10486272,0.07777792
0.64018176,0.25830912,0.10150912
0.6239872,0.1795584,0.1964544
0.24224,0.273472,0.484288
0.329856,0.575936,0.094208
0.5183232,0.4375936,0.0440832
0.573696,0.086016,0.340288
0.304448,0.657024,0.038528
0.35780352,0.38253056,0.25966592
0.572992,0.2777856,0.1492224
0.53346304,0.25736448,0.20917248
0.50048,0.080768,0.418752
0.381632,0.22176,0.396608
0.63264,0.07168,0.29568
0.819136,0.0176,0.163264
0.42760448,0.28174848,0.29064704
0.722944,0.151808,0.125248
0.2661888,0.4213888,0.3124224
0.4851712,0.2317056,0.2831232
0.54496,0.41472,0.04032
0.328768,0.414464,0.256768
0.26755072,0.55087104,0.18157824
0.4192,0.3888,0.192
0.213568,0.450944,0.335488
0.78020608,0.08560896,0.13418496
0.80384,0.12192,0.07424
0.632704,0.27968,0.087616
0.542144,0.2336,0.224256
0.6744192,0.1475072,0.1780736
0.473088,0.307968,0.218944
0.27744,0.591744,0.130816
0.4433024,0.3271168,0.2295808
0.2448,0.332608,0.422592
0.756736,0.01792,0.225344
0.55232,0.43424,0.01344
0.720448,0.122176,0.157376
0.4832,0.27232,0.24448
0.9536,0.0448,0.0016
0.10540544,0.61318144,0.28141312
0.2716544,0.1861376,0.542208
0.49445632,0.33222656,0.17331712
0.286272,0.52864,0.185088
0.6098176,0.2350208,0.1551616
0.554624,0.218432,0.226944
0.223488,0.577984,0.198528
0.2352384,0.1764224,0.5883392
0.54011392,0.09058304,0.36930304
0.250688,0.086912,0.6624
0.350464,0.310592,0.338944
0.4717184,0.2659328,0.2623488
0.287808,0.241792,0.4704
0.33184,0.563712,0.104448
0.38624,0.340288,0.273472
0.10003712,0.44453376,0.45542912
0.35193088,0.20449792,0.4435712
0.374976,0.333184,0.29184
0.35008,0.528704,0.121216
0.66336,0.065664,0.270976
0.61528064,0.05890304,0.32581632
0.92174592,0.05512704,0.02312704
0.884288,0.088832,0.02688
0.3952,0.4128,0.192
0.4310272,0.4551936,0.1137792
0.370688,0.260736,0.368576
0.37632,0.039488,0.584192
0.61792,0.10176,0.28032
0.55597568,0.26428416,0.17974016
0.452032,0.431104,0.116864
0.9952,0.0048,0.0
0.2186368,0.5807744,0.2005888
0.648704,0.212864,0.138432
0.82496,0.02784,0.1472
0.479168,0.175552,0.34528
0.50912,0.313472,0.177408
0.4384,0.16,0.4016
0.817216,0.144768,0.038016
0.700864,0.242304,0.056832
0.247424,0.140544,0.612032
0.248,0.736,0.016
0.53299968,0.15945216,0.30754816
0.3360256,0.2763392,0.3876352
0.23859968,0.31729664,0.44410368
0.34241024,0.30644224,0.35114752
0.5965568,0.1649664,0.2384768
0.74211328,0.07719936,0.18068736
0.4488576,0.1857792,0.3653632
0.657984,0.172992,0.169024
0.3254144,0.2674432,0.4071424
0.438592,0.446016,0.115392
0.677888,0.11808,0.204032
0.57445376,0.07758592,0.34796032
0.247552,0.613888,0.13856
0.38575616,0.31789312,0.29635072
0.3465216,0.3403904,0.313088
0.37536,0.478336,0.146304
0.653376,0.270592,0.076032
0.196928,0.676608,0.126464
0.813952,0.14112,0.044928
0.717824,0.019008,0.263168
0.181504,0.399168,0.419328
0.3858816,0.4671488,0.1469696
0.29422592,0.32123392,0.38454016
0.199936,0.670464,0.1296
0.366272,0.364224,0.269504
0.88910592,0.04975104,0.06114304
0.61856,0.24896,0.13248
0.79296,0.10816,0.09888
0.771264,0.211136,0.0176
0.4213888,0.2677248,0.3108864
0.3803776,0.1503488,0.4692736
0.39855872,0.29118464,0.31025664
0.355776,0.065088,0.579136
0.26802176,0.47070976,0.26126848
0.178624,0.725248,0.096128
0.66336,0.11584,0.2208
0.971456,0.0064,0.022144
0.300608,0.64768,0.051712
0.836224,0.105728,0.058048
0.7952,0.1808,0.024
0.2048,0.66208,0.13312
0.575296,0.241152,0.183552
0.363264,0.275456,0.36128
0.493248,0.222208,0.284544
0.3443712,0.2540032,0.4016256
0.232192,0.461632,0.306176
0.67582208,0.17552896,0.14864896
0.350144,0.277696,0.37216
0.19119104,0.59993088,0.20887808
0.442496,0.36224,0.195264
0.249152,0.548736,0.202112
0.807296,0.14432,0.048384
0.36159744,0.43657216,0.2018304
0.773696,0.00896,0.217344
0.401152,0.298112,0.300736
0.6614272,0.1709696,0.1676032
0.605184,0.12512,0.269696
0.383296,0.346624,0.27008
0.539712,0.351488,0.1088
0.4531968,0.2496384,0.2971648
0.70685952,0.22459904,0.06854144
0.14752,0.72672,0.12576
0.886528,0.022784,0.090688
0.76,0.1152,0.1248
0.3127424,0.2595328,0.4277248
0.11986176,0.37399552,0.50614272
0.4187776,0.2831872,0.2980352
0.5864832,0.1977344,0.2157824
