#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
344875	9750	36000
187500	203125	0
125000	265625	0
170250	197375	23000
146250	230000	14375
181250	159375	50000
250082	10032	130511
301525	3300	85800
126900	59250	204475
250000	56250	84375
348675	19025	22925
200600	62975	127050
225000	78125	87500
264440	33880	92305
390625	0	0
136175	80750	173700
238800	93075	58750
38125	350500	2000
190000	30000	170625
264050	75625	50950
140625	250000	0
196750	193875	0
288750	90000	11875
169845	23240	197540
183575	98600	108450
232500	118125	40000
162350	44850	183425
390625	0	0
169295	42813	178517
121638	248899	20088
141750	53550	195325
161233	99496	129896
169250	76250	145125
81600	101000	208025
159375	152250	79000
216650	46050	127925
126625	191250	72750
123150	122175	145300
218075	160650	11900
189375	110200	91050
56050	31200	303375
202225	15000	173400
141875	68925	179825
288325	9900	92400
92250	0	298375
225250	28275	137100
296300	37800	56525
174700	84375	131550
152006	116838	121781
26500	83000	281125
390625	0	0
132500	18750	239375
259400	50050	81175
167500	157875	65250
209375	98450	82800
390625	0	0
215625	61450	113550
161688	153699	75238
224375	96950	69300
268450	675	121500
191924	133658	65043
116700	163875	110050
154144	78244	158237
38225	258350	94050
164375	172500	53750
72200	310925	7500
273840	23280	93505
180185	107470	102970
169090	141120	80415
129300	183225	78100
123225	118475	148925
269125	121500	0
150225	40400	200000
88825	67400	234400
120275	169650	100700
153275	135000	102350
390625	0	0
141250	118750	130625
300500	5000	85125
377475	7200	5950
153200	145475	91950
226250	35000	129375
190688	33831	166106
121250	43750	225625
260625	86250	43750
62500	157500	170625
203125	121500	66000
299375	86250	5000
182750	155125	52750
146850	142075	101700
157500	61794	171331
317050	40800	32775
126550	250425	13650
122250	11750	256625
114375	65625	210625
203075	96250	91300
150800	141700	98125
54875	90325	245425
74290	21390	294945
79450	296175	15000
326475	43400	20750
390625	0	0
119375	72500	198750
317500	60000	13125
3125	33000	354500
96000	240250	54375
235175	73650	81800
149750	149625	91250
156919	97444	136262
390625	0	0
90700	57750	242175
99375	100000	191250
225750	52325	112550
215875	135900	38850
187050	108275	95300
161500	163750	65375
89625	75000	226000
50650	148500	191475
383625	1000	6000
375000	2925	12700
301225	15000	74400
111625	144000	135000
78750	90000	221875
388125	2500	0
103125	190500	97000
197250	57775	135600
313375	71000	6250
390625	0	0
224000	68000	98625
167675	96700	126250
202850	77350	110425
77500	313125	0
188750	94175	107700
200300	47400	142925
260950	73450	56225
260425	87500	42700
205200	105625	79800
125500	265125	0
359375	31250	0
315825	36150	38650
215625	147500	27500
211928	51722	126975
157500	154925	78200
194925	76100	119600
355600	18275	16750
157500	147125	86000
231875	95000	63750
202392	76854	111379
266241	52092	72292
146500	83850	160275
390625	0	0
233400	71000	86225
75000	206125	109500
161350	79650	149625
151148	146426	93051
78120	170185	142320
373075	7200	10350
110362	197451	82812
159375	150250	81000
214125	144500	32000
234450	118050	38125
179225	120550	90850
73125	315000	2500
163875	181250	45500
89500	275600	25525
296875	0	93750
76375	116650	197600
105125	139700	145800
201875	78750	110000
229750	10125	150750
127185	212045	51395
255715	93880	41030
327500	7375	55750
378125	7500	5000
221348	154829	14448
220575	58925	111125
182301	91822	116502
187150	78050	125425
87875	100000	202750
247350	73600	69675
226300	87700	76625
141350	166775	82500
160625	27375	202625
78125	287500	25000
312500	53125	25000
104875	12150	273600
203775	52500	134350
79800	206425	104400
194800	170100	25725
205225	137550	47850
155300	92875	142450
246875	80400	63350
355625	1250	33750
109375	281250	0
287375	47250	56000
338875	40500	11250
331475	1550	57600
65625	117500	207500
184225	193200	13200
14750	75000	300875
126450	14175	250000
186176	136548	67901
334275	50050	6300
227125	70650	92850
359375	0	31250
144910	173766	71949
251850	113575	25200
23000	251875	115750
85205	54335	251085
390625	0	0
304731	38988	46906
315000	15625	60000
198875	106250	85500
104000	34800	251825
390625	0	0
257125	97500	36000
25000	96000	269625
74375	258850	57400
226250	79375	85000
244375	146250	0
246750	73950	69925
338125	52500	0
164600	169150	56875
296275	58200	36150
15000	228375	147250
276875	53750	60000
281750	22025	86850
81875	53550	255200
87400	108300	194925
370625	20000	0
153475	133825	103325
120250	215325	55050
31875	280000	78750
158279	125848	106498
246625	46875	97125
154085	9960	226580
148125	168625	73875
142800	101450	146375
375000	10675	4950
72885	223290	94450
358125	0	32500
117369	101244	172012
146525	97650	146450
390625	0	0
323630	36431	30564
175850	29350	185425
88975	277200	24450
99465	264930	26230
343750	15625	31250
193150	107800	89675
0	390625	0
206250	91250	93125
145625	43750	201250
360625	16875	13125
248750	31875	110000
221720	84440	84465
77650	29025	283950
153425	73150	164050
237625	61875	91125
296875	0	93750
246875	96900	46850
281250	109375	0
126250	169250	95125
124188	210138	56299
310625	5400	74600
251675	61500	77450
140625	62050	187950
53475	337150	0
227275	30000	133350
390625	0	0
127083	144388	119154
187875	65750	137000
185500	152625	52500
214819	89578	86228
200727	135356	54542
89100	218825	82700
308400	20800	61425
176095	105240	109290
116550	54075	220000
106770	67674	216181
322500	35475	32650
243150	77800	69675
269025	25850	95750
213146	94977	82502
145895	184020	60710
99500	148250	142875
361075	24150	5400
343750	46875	0
121475	100950	168200
183750	138600	68275
179645	84040	126940
189550	54000	147075
229550	71100	89975
281250	48125	61250
175857	46939	167829
154226	206057	30342
352750	0	37875
173750	161250	55625
130425	21550	238650
160000	160000	70625
234375	0	156250
333775	52800	4050
202500	95000	93125
126595	201390	62640
281250	39375	70000
230142	103257	57226
159750	29200	201675
101200	156800	132625
60725	230400	99500
166719	62203	161703
222700	155850	12075
390625	0	0
110325	95000	185300
375000	15425	200
108125	204475	78025
299250	52825	38550
300625	90000	0
165050	86975	138600
240000	83125	67500
227125	161500	2000
171875	31250	187500
308125	82500	0
375000	0	15625
312875	51250	26500
129125	53375	208125
176625	84650	129350
146900	36200	207525
127979	152814	109832
214100	109025	67500
43750	67425	279450
145000	170625	75000
311425	39600	39600
187000	115475	88150
225250	104975	60400
238375	0	152250
132618	173981	84026
219925	170700	0
168750	25000	196875
261325	96375	32925
390625	0	0
91750	298375	500
383125	7500	0
329725	18700	42200
232125	71500	87000
210000	40000	140625
264375	78750	47500
390625	0	0
184500	102125	104000
189375	160000	41250
101125	245000	44500
290625	100000	0
77925	96925	215775
222225	168400	0
222123	54958	113544
45000	95625	250000
221875	131250	37500
240000	67500	83125
208475	151800	30350
207500	33525	149600
307375	81000	2250
187125	134650	68850
245580	34585	110460
268625	38750	83250
314178	39411	37036
190500	157625	42500
246875	56250	87500
136875	84375	169375
201600	108300	80725
195000	188125	7500
171500	159000	60125
50425	267886	72314
206875	41750	142000
0	11250	379375
188375	90000	112250
94960	208770	86895
294975	45050	50600
390625	0	0
195059	123284	72282
249569	97722	43334
169700	128025	92900
9375	381250	0
120625	105000	165000
301929	74198	14498
164830	150055	75740
390625	0	0
16275	113600	260750
193750	112500	84375
312500	0	78125
214950	92600	83075
208685	92184	89756
166075	120000	104550
320625	70000	0
194100	90000	106525
308125	41250	41250
258575	6650	125400
387275	1050	2300
385000	5625	0
218925	99000	72700
105000	41875	243750
386250	4375	0
375000	15625	0
376250	14375	0
248125	0	142500
27500	218750	144375
228465	116815	45345
390625	0	0
286150	17500	86975
148525	128800	113300
238375	93450	58800
201875	102500	86250
185375	67250	138000
136185	25520	228920
285055	37960	67610
271522	21722	97381
212820	46965	130840
390625	0	0
147800	171125	71700
68750	103125	218750
254651	70312	65662
85700	292450	12475
257950	53550	79125
98275	86100	206250
312500	78125	0
309375	31250	50000
157148	137279	96198
345600	11400	33625
122500	105225	162900
100600	278925	11100
283095	64160	43370
91400	70125	229100
210275	91500	88850
122975	163325	104325
267025	72975	50625
241900	6825	141900
218085	125595	46945
247050	75850	67725
215375	165000	10250
200056	115761	74808
121225	264600	4800
75300	190925	124400
390625	0	0
145625	120000	125000
352900	7575	30150
321875	43750	25000
198050	102500	90075
175900	61300	153425
182650	118500	89475
230904	53198	106523
253125	108100	29400
167975	140150	82500
304293	63916	22416
281075	50400	59150
192625	136750	61250
170915	43905	175805
130625	19950	240050
238025	150800	1800
204910	77445	108270
359375	2200	29050
268512	1812	120301
123550	65075	202000
370625	20000	0
159150	192600	38875
117205	200805	72615
17500	27500	345625
72975	218375	99275
223125	60000	107500
310975	46575	33075
159875	95725	135025
163282	144173	83170
306350	58800	25475
198750	78750	113125
115625	250750	24250
296875	86875	6875
274250	87000	29375
250275	77350	63000
152375	159500	78750
197200	138800	54625
217500	150000	23125
281250	109375	0
307000	34375	49250
259585	51970	79070
120425	123425	146775
295225	70200	25200
331625	43200	15800
390625	0	0
58950	35100	296575
236250	47500	106875
130500	15750	244375
266050	53700	70875
169875	187500	33250
163136	121968	105521
193125	183750	13750
67500	229075	94050
129825	0	260800
296875	0	93750
203750	70000	116875
135625	180600	74400
175200	60450	154975
205320	184960	345
57900	292825	39900
84400	194825	111400
211375	28125	151125
50200	338550	1875
390625	0	0
156250	174000	60375
281620	87510	21495
117025	126675	146925
323550	28925	38150
57025	220800	112800
115475	235775	39375
0	234375	156250
