T1,T2,T3
0.2772,0.2941,0.4287
0.1986,0.3923,0.4091
0.2606,0.5573,0.1821
0.4816,0.4172,0.1012
0.3752,0.4812,0.1436
0.383,0.1845,0.4325
0.4585,0.2171,0.3244
0.384,0.242,0.374
0.572,0.2128,0.2152
0.3162,0.2562,0.4276
0.283,0.314,0.403
0.3006,0.3851,0.3143
0.3002,0.5058,0.194
0.2584,0.5646,0.177
0.2492,0.5315,0.2193
0.3165,0.3628,0.3207
0.3264,0.4092,0.2644
0.344,0.42,0.236
0.5332,0.2408,0.226
0.3652,0.3138,0.321
0.4348,0.2404,0.3248
0.4746,0.2258,0.2996
0.5436,0.1896,0.2668
0.3383,0.3068,0.3549
0.2488,0.372,0.3792
0.279,0.3956,0.3254
0.2688,0.4446,0.2866
0.2412,0.4594,0.2994
0.2472,0.4836,0.2692
0.3192,0.4128,0.268
0.338,0.429,0.233
0.457,0.3144,0.2286
0.4892,0.2658,0.245
0.4638,0.2794,0.2568
0.4272,0.2709,0.3019
0.4744,0.2314,0.2942
0.6406,0.1782,0.1812
0.452,0.408,0.14
0.669,0.163,0.168
0.471,0.273,0.256
0.6104,0.1208,0.2688
0.526,0.2084,0.2656
0.408,0.1792,0.4128
0.4368,0.2872,0.276
0.778,0.174,0.048
0.5204000000000001,0.37160000000000004,0.10800000000000001
0.4338,0.3936,0.1726
0.4236,0.2848,0.2916
0.4128,0.3346,0.2526
0.5976,0.1872,0.2152
0.4723,0.2318,0.2959
0.5412,0.1954,0.2634
0.696,0.142,0.162
0.7232000000000001,0.12240000000000001,0.15440000000000004
0.4662,0.267,0.2668
0.5048,0.2896,0.2056
0.3866,0.4402,0.1732
0.3724,0.4808,0.1468
0.5432,0.2472,0.2096
0.3946,0.2796,0.3258
0.3842,0.319,0.2968
0.408,0.346,0.246
0.3198,0.4134,0.2668
0.301,0.4629,0.2361
0.2916,0.47,0.2384
0.1901,0.5753,0.2346
0.1958,0.5526,0.2516
0.2231,0.4861,0.2908
0.3534,0.3868,0.2598
0.308,0.3416,0.3504
0.3912,0.2638,0.345
0.3276,0.3656,0.3068
0.2918,0.386,0.3222
0.209,0.2866,0.5044
0.30500000000000005,0.44580000000000003,0.24920000000000003
0.343,0.438,0.219
0.3896,0.4088,0.2016
0.2958,0.4661,0.2381
0.2962,0.3892,0.3146
0.3246,0.3554,0.32
0.3678,0.3212,0.311
0.3374,0.3836,0.279
0.249,0.4572,0.2938
