T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,prop_residual,residual_squared,count_residual
"(0.0, 0.1)","(0.0, 0.1)","(0.9, 1.0)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.0, 0.1)","(0.8, 0.9)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.1, 0.2)","(0.8, 0.9)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.1, 0.2)","(0.7, 0.8)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.2, 0.3)","(0.7, 0.8)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.2, 0.3)","(0.6, 0.7)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.3, 0.4)","(0.6, 0.7)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.3, 0.4)","(0.5, 0.6)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.4, 0.5)","(0.5, 0.6)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.4, 0.5)","(0.4, 0.5)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.5, 0.6)","(0.4, 0.5)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.5, 0.6)","(0.3, 0.4)",2,0,0.002,0.0,0.002,4e-06,2
"(0.0, 0.1)","(0.6, 0.7)","(0.3, 0.4)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.6, 0.7)","(0.2, 0.3)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.7, 0.8)","(0.2, 0.3)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.7, 0.8)","(0.1, 0.2)",0,1,0.0,0.001,-0.001,1e-06,-1
"(0.0, 0.1)","(0.8, 0.9)","(0.1, 0.2)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.8, 0.9)","(0.0, 0.1)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.9, 1.0)","(0.0, 0.1)",0,0,0.0,0.0,0.0,0.0,0
"(0.1, 0.2)","(0.0, 0.1)","(0.8, 0.9)",0,0,0.0,0.0,0.0,0.0,0
"(0.1, 0.2)","(0.0, 0.1)","(0.7, 0.8)",0,2,0.0,0.002,-0.002,4e-06,-2
"(0.1, 0.2)","(0.1, 0.2)","(0.7, 0.8)",0,0,0.0,0.0,0.0,0.0,0
"(0.1, 0.2)","(0.1, 0.2)","(0.6, 0.7)",0,3,0.0,0.003,-0.003,9e-06,-3
"(0.1, 0.2)","(0.2, 0.3)","(0.6, 0.7)",0,0,0.0,0.0,0.0,0.0,0
"(0.1, 0.2)","(0.2, 0.3)","(0.5, 0.6)",3,2,0.003,0.002,0.001,1e-06,1
"(0.1, 0.2)","(0.3, 0.4)","(0.5, 0.6)",1,1,0.001,0.001,0.0,0.0,0
"(0.1, 0.2)","(0.3, 0.4)","(0.4, 0.5)",2,2,0.002,0.002,0.0,0.0,0
"(0.1, 0.2)","(0.4, 0.5)","(0.4, 0.5)",5,1,0.005,0.001,0.004,1.6e-05,4
"(0.1, 0.2)","(0.4, 0.5)","(0.3, 0.4)",9,9,0.009,0.009,0.0,0.0,0
"(0.1, 0.2)","(0.5, 0.6)","(0.3, 0.4)",8,2,0.008,0.002,0.006,3.6e-05,6
"(0.1, 0.2)","(0.5, 0.6)","(0.2, 0.3)",10,6,0.01,0.006,0.004,1.6e-05,4
"(0.1, 0.2)","(0.6, 0.7)","(0.2, 0.3)",5,3,0.005,0.003,0.002,4e-06,2
"(0.1, 0.2)","(0.6, 0.7)","(0.1, 0.2)",5,2,0.005,0.002,0.003,9e-06,3
"(0.1, 0.2)","(0.7, 0.8)","(0.1, 0.2)",2,0,0.002,0.0,0.002,4e-06,2
"(0.1, 0.2)","(0.7, 0.8)","(0.0, 0.1)",0,1,0.0,0.001,-0.001,1e-06,-1
"(0.1, 0.2)","(0.8, 0.9)","(0.0, 0.1)",0,0,0.0,0.0,0.0,0.0,0
"(0.2, 0.3)","(0.0, 0.1)","(0.7, 0.8)",0,0,0.0,0.0,0.0,0.0,0
"(0.2, 0.3)","(0.0, 0.1)","(0.6, 0.7)",0,0,0.0,0.0,0.0,0.0,0
"(0.2, 0.3)","(0.1, 0.2)","(0.6, 0.7)",2,4,0.002,0.004,-0.002,4e-06,-2
"(0.2, 0.3)","(0.1, 0.2)","(0.5, 0.6)",4,4,0.004,0.004,0.0,0.0,0
"(0.2, 0.3)","(0.2, 0.3)","(0.5, 0.6)",19,13,0.019,0.013,0.006,3.6e-05,6
"(0.2, 0.3)","(0.2, 0.3)","(0.4, 0.5)",45,31,0.045,0.031,0.013999999999999999,0.00019599999999999997,14
"(0.2, 0.3)","(0.3, 0.4)","(0.4, 0.5)",33,16,0.033,0.016,0.017,0.00028900000000000003,17
"(0.2, 0.3)","(0.3, 0.4)","(0.3, 0.4)",103,37,0.103,0.037,0.066,0.0043560000000000005,66
"(0.2, 0.3)","(0.4, 0.5)","(0.3, 0.4)",51,28,0.051,0.028,0.022999999999999996,0.0005289999999999998,23
"(0.2, 0.3)","(0.4, 0.5)","(0.2, 0.3)",93,37,0.093,0.037,0.056,0.0031360000000000003,56
"(0.2, 0.3)","(0.5, 0.6)","(0.2, 0.3)",18,17,0.018,0.017,0.0009999999999999974,9.999999999999949e-07,1
"(0.2, 0.3)","(0.5, 0.6)","(0.1, 0.2)",6,15,0.006,0.015,-0.009,8.099999999999999e-05,-9
"(0.2, 0.3)","(0.6, 0.7)","(0.1, 0.2)",4,4,0.004,0.004,0.0,0.0,0
