triangle_id,T1_bounds,T2_bounds,T3_bounds,count_data,count_model,residual,residual_squared,prop_data,prop_model,prop_residual
0,"(0.0, 0.05)","(0.0, 0.05)","(0.95, 1.0)",0,0,0,0,0.0,0.0,0.0
1,"(0.0, 0.05)","(0.0, 0.05)","(0.9, 0.95)",0,0,0,0,0.0,0.0,0.0
2,"(0.0, 0.05)","(0.05, 0.1)","(0.9, 0.95)",0,0,0,0,0.0,0.0,0.0
3,"(0.0, 0.05)","(0.05, 0.1)","(0.85, 0.9)",0,0,0,0,0.0,0.0,0.0
4,"(0.0, 0.05)","(0.1, 0.15)","(0.85, 0.9)",0,0,0,0,0.0,0.0,0.0
5,"(0.0, 0.05)","(0.1, 0.15)","(0.8, 0.85)",0,0,0,0,0.0,0.0,0.0
6,"(0.0, 0.05)","(0.15, 0.2)","(0.8, 0.85)",0,0,0,0,0.0,0.0,0.0
7,"(0.0, 0.05)","(0.15, 0.2)","(0.75, 0.8)",0,0,0,0,0.0,0.0,0.0
8,"(0.0, 0.05)","(0.2, 0.25)","(0.75, 0.8)",0,0,0,0,0.0,0.0,0.0
9,"(0.0, 0.05)","(0.2, 0.25)","(0.7, 0.75)",0,0,0,0,0.0,0.0,0.0
10,"(0.0, 0.05)","(0.25, 0.3)","(0.7, 0.75)",0,0,0,0,0.0,0.0,0.0
11,"(0.0, 0.05)","(0.25, 0.3)","(0.65, 0.7)",0,0,0,0,0.0,0.0,0.0
12,"(0.0, 0.05)","(0.3, 0.35)","(0.65, 0.7)",0,0,0,0,0.0,0.0,0.0
13,"(0.0, 0.05)","(0.3, 0.35)","(0.6, 0.65)",0,0,0,0,0.0,0.0,0.0
14,"(0.0, 0.05)","(0.35, 0.4)","(0.6, 0.65)",0,0,0,0,0.0,0.0,0.0
15,"(0.0, 0.05)","(0.35, 0.4)","(0.55, 0.6)",0,0,0,0,0.0,0.0,0.0
16,"(0.0, 0.05)","(0.4, 0.45)","(0.55, 0.6)",0,0,0,0,0.0,0.0,0.0
