T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,prop_residual,residual_squared,count_residual
"(0.0, 0.1)","(0.0, 0.1)","(0.9, 1.0)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.0, 0.1)","(0.8, 0.9)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.1, 0.2)","(0.8, 0.9)",0,1,0.0,0.0002,-0.0002,4e-08,-1
"(0.0, 0.1)","(0.1, 0.2)","(0.7, 0.8)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.2, 0.3)","(0.7, 0.8)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.2, 0.3)","(0.6, 0.7)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.3, 0.4)","(0.6, 0.7)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.3, 0.4)","(0.5, 0.6)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.4, 0.5)","(0.5, 0.6)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.4, 0.5)","(0.4, 0.5)",2,0,0.0004,0.0,0.0004,1.6e-07,2
"(0.0, 0.1)","(0.5, 0.6)","(0.4, 0.5)",0,3,0.0,0.0006,-0.0006,3.5999999999999994e-07,-3
"(0.0, 0.1)","(0.5, 0.6)","(0.3, 0.4)",6,2,0.0012,0.0004,0.0007999999999999999,6.399999999999999e-07,4
"(0.0, 0.1)","(0.6, 0.7)","(0.3, 0.4)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.6, 0.7)","(0.2, 0.3)",0,1,0.0,0.0002,-0.0002,4e-08,-1
"(0.0, 0.1)","(0.7, 0.8)","(0.2, 0.3)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.7, 0.8)","(0.1, 0.2)",0,2,0.0,0.0004,-0.0004,1.6e-07,-2
"(0.0, 0.1)","(0.8, 0.9)","(0.1, 0.2)",0,0,0.0,0.0,0.0,0.0,0
"(0.0, 0.1)","(0.8, 0.9)","(0.0, 0.1)",5,0,0.001,0.0,0.001,1e-06,5
"(0.0, 0.1)","(0.9, 1.0)","(0.0, 0.1)",0,0,0.0,0.0,0.0,0.0,0
"(0.1, 0.2)","(0.0, 0.1)","(0.8, 0.9)",0,0,0.0,0.0,0.0,0.0,0
"(0.1, 0.2)","(0.0, 0.1)","(0.7, 0.8)",0,2,0.0,0.0004,-0.0004,1.6e-07,-2
"(0.1, 0.2)","(0.1, 0.2)","(0.7, 0.8)",0,3,0.0,0.0006,-0.0006,3.5999999999999994e-07,-3
"(0.1, 0.2)","(0.1, 0.2)","(0.6, 0.7)",7,7,0.0014,0.0014,0.0,0.0,0
"(0.1, 0.2)","(0.2, 0.3)","(0.6, 0.7)",2,0,0.0004,0.0,0.0004,1.6e-07,2
"(0.1, 0.2)","(0.2, 0.3)","(0.5, 0.6)",17,7,0.0034,0.0014,0.002,4e-06,10
"(0.1, 0.2)","(0.3, 0.4)","(0.5, 0.6)",5,9,0.001,0.0018,-0.0007999999999999999,6.399999999999999e-07,-4
"(0.1, 0.2)","(0.3, 0.4)","(0.4, 0.5)",21,21,0.0042,0.0042,0.0,0.0,0
"(0.1, 0.2)","(0.4, 0.5)","(0.4, 0.5)",24,8,0.0048,0.0016,0.0031999999999999997,1.0239999999999999e-05,16
"(0.1, 0.2)","(0.4, 0.5)","(0.3, 0.4)",40,33,0.008,0.0066,0.0014000000000000002,1.9600000000000007e-06,7
"(0.1, 0.2)","(0.5, 0.6)","(0.3, 0.4)",29,8,0.0058,0.0016,0.0042,1.7639999999999997e-05,21
"(0.1, 0.2)","(0.5, 0.6)","(0.2, 0.3)",51,22,0.0102,0.0044,0.0058000000000000005,3.364e-05,29
"(0.1, 0.2)","(0.6, 0.7)","(0.2, 0.3)",26,16,0.0052,0.0032,0.0019999999999999996,3.999999999999998e-06,10
"(0.1, 0.2)","(0.6, 0.7)","(0.1, 0.2)",39,21,0.0078,0.0042,0.0036,1.296e-05,18
"(0.1, 0.2)","(0.7, 0.8)","(0.1, 0.2)",10,4,0.002,0.0008,0.0012000000000000001,1.4400000000000002e-06,6
"(0.1, 0.2)","(0.7, 0.8)","(0.0, 0.1)",14,1,0.0028,0.0002,0.0026,6.76e-06,13
"(0.1, 0.2)","(0.8, 0.9)","(0.0, 0.1)",2,0,0.0004,0.0,0.0004,1.6e-07,2
"(0.2, 0.3)","(0.0, 0.1)","(0.7, 0.8)",0,2,0.0,0.0004,-0.0004,1.6e-07,-2
"(0.2, 0.3)","(0.0, 0.1)","(0.6, 0.7)",3,7,0.0006,0.0014,-0.0008,6.4e-07,-4
"(0.2, 0.3)","(0.1, 0.2)","(0.6, 0.7)",9,13,0.0018,0.0026,-0.0007999999999999999,6.399999999999999e-07,-4
"(0.2, 0.3)","(0.1, 0.2)","(0.5, 0.6)",26,31,0.0052,0.0062,-0.001,1e-06,-5
"(0.2, 0.3)","(0.2, 0.3)","(0.5, 0.6)",90,67,0.018,0.0134,0.004599999999999998,2.1159999999999984e-05,23
"(0.2, 0.3)","(0.2, 0.3)","(0.4, 0.5)",191,163,0.0382,0.0326,0.005600000000000001,3.136000000000001e-05,28
"(0.2, 0.3)","(0.3, 0.4)","(0.4, 0.5)",210,94,0.042,0.0188,0.023200000000000002,0.00053824,116
"(0.2, 0.3)","(0.3, 0.4)","(0.3, 0.4)",517,190,0.1034,0.038,0.06540000000000001,0.004277160000000002,327
"(0.2, 0.3)","(0.4, 0.5)","(0.3, 0.4)",240,133,0.048,0.0266,0.021400000000000002,0.0004579600000000001,107
"(0.2, 0.3)","(0.4, 0.5)","(0.2, 0.3)",396,156,0.0792,0.0312,0.04800000000000001,0.002304000000000001,240
