#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
222405	57951	110269
192227	161089	37309
330791	26442	33392
200720	90215	99690
137275	240600	12750
189680	110827	90118
321250	16250	53125
84809	236178	69638
157644	107909	125072
213342	31642	145641
106275	90900	193450
259650	6600	124375
260400	108975	21250
227125	81850	81650
193750	75000	121875
353298	32976	4351
343750	39375	7500
129225	212500	48900
165261	48686	176678
174200	98150	118275
188000	103000	99625
241350	126200	23075
102225	167850	120550
135625	88500	166500
111025	117400	162200
314725	37950	37950
174417	66072	150136
70150	69250	251225
176789	88720	125116
274840	86550	29235
164680	103680	122265
80400	201995	108230
210323	104726	75576
295550	52655	42420
390625	0	0
148175	141700	100750
243175	97350	50100
180411	113868	96346
152465	145062	93098
278750	88025	23850
219075	103500	68050
190357	106184	94084
186075	118100	86450
151950	115650	123025
187879	92554	110192
274375	105000	11250
320275	45600	24750
122575	97600	170450
178400	178925	33300
266911	59437	64277
92613	205374	92638
204775	154350	31500
139725	162400	88500
179654	109954	101017
176700	116275	97650
92583	99764	198278
329025	49200	12400
0	156250	234375
236575	4950	149100
204600	94100	91925
105850	126525	158250
143160	137605	109860
189546	62196	138883
263125	40800	86700
155630	147655	87340
113325	73500	203800
221224	61575	107826
89093	268816	32716
76175	268950	45500
6467	219192	164966
346675	21450	22500
104287	234794	51544
210413	81656	98556
300415	24710	65500
199150	91950	99525
169125	72575	148925
195625	97500	97500
266150	74300	50175
71500	261625	57500
219195	106415	65015
311700	63525	15400
164925	136625	89075
165731	109328	115566
193728	19527	177370
302073	45604	42948
345625	0	45000
111550	180825	98250
101380	85660	203585
251155	74110	65360
96008	103059	191558
191200	14000	185425
209590	128130	52905
238625	54000	98000
222325	150950	17350
237300	70300	83025
9625	66900	314100
189002	107351	94272
269675	20150	100800
209125	80250	101250
147350	142475	100800
120179	182949	87497
243221	82815	64589
222475	68465	99685
121500	55125	214000
94375	261250	35000
169495	139740	81390
164006	131132	95487
298989	51968	39668
82825	37400	270400
239950	75425	75250
270625	48000	72000
118000	123500	149125
234315	118155	38155
127425	25600	237600
147857	125870	116898
210625	57500	122500
117597	203828	69200
190060	89320	111245
255365	76670	58590
219840	37280	133505
110550	143875	136200
156625	153825	80175
239388	67840	83397
48445	175560	166620
175962	52819	161844
267625	14850	108150
114400	231250	44975
70500	78000	242125
165725	101150	123750
152000	91000	147625
204400	124550	61675
195600	193775	1250
333825	7400	49400
225221	85935	79469
119960	75789	194876
84805	157860	147960
140100	114554	135971
237435	100070	53120
205450	50625	134550
202644	119537	68444
318275	34150	38200
77998	122875	189752
185000	153125	52500
101514	29364	259747
142618	202416	45591
119050	161950	109625
266750	90000	33875
127508	177719	85398
142365	163080	85180
138200	97075	155350
192375	61600	136650
176350	95875	118400
102195	104506	183924
159393	78196	153036
155645	124825	110155
290690	60030	39905
306375	800	83450
254890	67330	68405
226280	71330	93015
151539	99643	139443
253800	64829	71996
221625	44600	124400
181775	60100	148750
125627	160796	104202
186588	101998	102039
368875	2750	19000
197325	61150	132150
130011	94536	166078
229175	97850	63600
120000	89025	181600
88625	177500	124500
238464	62268	89893
166535	135774	88316
390625	0	0
78884	211104	100637
166110	151255	73260
127025	76625	186975
101025	38850	250750
180380	109080	101165
193125	130000	67500
63625	283750	43250
158370	113626	118629
227525	98000	65100
145220	120320	125085
93050	37500	260075
98025	149600	143000
96270	160520	133835
315625	60675	14325
160765	161080	68780
68770	125635	196220
50875	223100	116650
119659	145083	125883
125375	113300	151950
282400	45900	62325
172100	203525	15000
150545	112806	127274
238625	116375	35625
127173	164626	98826
148475	95050	147100
191425	66600	132600
141500	64700	184425
390625	0	0
159525	157650	73450
191300	92850	106475
315950	46750	27925
70790	188620	131215
178125	100000	112500
115657	166186	108782
390625	0	0
385625	625	4375
94600	222340	73685
106250	233000	51375
162760	36720	191145
173270	62612	154743
103975	158025	128625
77047	242556	71022
144075	104050	142500
52500	204150	133975
46875	21000	322750
183566	99492	107567
218815	69480	102330
124250	136375	130000
69200	68900	252525
217735	126420	46470
202555	63705	124365
198125	28100	164400
227500	110000	53125
210850	123275	56500
217575	111250	61800
53750	104400	232475
211995	132567	46063
238645	82550	69430
173900	57275	159450
98500	128750	163375
262446	50402	77777
156250	65625	168750
208025	124950	57650
136429	182892	71304
276500	83125	31000
270725	63700	56200
254475	59950	76200
260795	78830	51000
85650	66975	238000
190349	60088	140188
74300	287425	28900
131540	103130	155955
190900	164100	35625
153125	173250	64250
228185	147645	14795
117625	215500	57500
163957	161874	64794
255225	41975	93425
181188	115574	93863
176175	79845	134605
198115	110530	81980
164150	70050	156425
152214	100764	137647
165278	142691	82656
253336	65421	71868
343750	46875	0
131895	78890	179840
243225	92775	54625
192305	150960	47360
64324	95352	230949
110832	202393	77400
131375	140750	118500
92425	163125	135075
157775	121475	111375
147625	171575	71425
260625	72850	57150
157250	116615	116760
372675	10850	7100
254073	115126	21426
153075	119550	118000
120000	203275	67350
112625	130150	147850
245950	75926	68749
231175	81500	77950
83125	73125	234375
257458	49408	83759
202475	104850	83300
240756	89788	60081
67100	64476	259049
390625	0	0
83370	164810	142445
278550	55810	56265
337250	28875	24500
96430	199965	94230
238700	80125	71800
215635	42760	132230
304693	67966	17966
152396	175252	62977
173562	56078	160985
308250	33575	48800
262925	62050	65650
111250	192500	86875
251610	34445	104570
141650	147100	101875
149550	189825	51250
179355	118635	92635
365125	9000	16500
206815	137205	46605
141426	84235	164964
144485	123380	122760
240000	132300	18325
100371	174996	115258
178960	155145	56520
277725	60000	52900
158310	173445	58870
179609	68483	142533
155125	67290	168210
130700	103300	156625
326575	40625	23425
122375	111750	156500
320791	43392	26442
175497	112789	102339
217736	70361	102528
116691	126692	147242
132555	138685	119385
142355	99990	148280
181875	191250	17500
294050	44350	52225
122378	178648	89599
179925	114775	95925
272025	68600	50000
302215	35030	53380
167114	132072	91439
137150	204475	49000
61875	37650	291100
85230	163102	142293
120245	184390	85990
29500	261775	99350
259025	89550	42050
169100	55150	166375
22500	127725	240400
146769	121155	122701
236276	82388	71961
125420	177887	87318
265727	87074	37824
143731	162351	84543
287575	81900	21150
375250	12500	2875
115125	243225	32275
135625	134250	120750
103585	184080	102960
57645	280225	52755
127875	60000	202750
145550	138450	106625
221455	162010	7160
73990	201805	114830
378850	7775	4000
152494	119082	119049
240950	60975	88700
167600	123425	99600
144400	102775	143450
170485	150966	69174
168350	65850	156425
195595	83190	111840
306545	34990	49090
268625	16800	105200
186875	115625	88125
208825	98950	82850
68941	98890	222794
205888	110725	74012
218585	94220	77820
138125	155725	96775
46875	0	343750
348125	37500	5000
125800	87935	176890
315075	23775	51775
106850	228775	55000
70950	181675	138000
44175	320825	25625
131415	95685	163525
193050	118497	79078
171875	87500	131250
104395	69810	216420
390625	0	0
242550	53100	94975
247163	72006	71456
194365	64455	131805
187760	163040	39825
205100	95075	90450
187427	37980	165218
147650	83950	159025
144325	123300	123000
101062	99018	190545
150150	84000	156475
334075	39300	17250
282502	46325	61798
328125	62500	0
159447	115626	115552
129900	124125	136600
188125	104875	97625
87737	234851	68037
187700	195100	7825
290000	47750	52875
306875	47150	36600
208337	90044	92244
315075	16150	59400
295975	70300	24350
139032	168517	83076
41596	171244	177785
242125	60450	88050
161183	67358	162084
253825	26150	110650
159400	127330	103895
218765	128670	43190
176015	129105	85505
236551	79832	74242
82775	253837	54013
123226	140116	127283
221124	65420	104081
172050	122375	96200
260075	57250	73300
231637	82719	76269
153375	39750	197500
273125	78500	39000
216481	107180	66964
187465	96580	106580
61062	301745	27818
111170	95245	184210
230690	50270	109665
142525	133825	114275
228545	76840	85240
157343	111116	122166
190075	95000	105550
86925	33750	269950
151575	101975	137075
113400	106650	170575
220900	76575	93150
140192	101216	149217
78131	111692	200802
287175	51490	51960
148050	147650	94925
75715	261570	53340
260327	42224	88074
164175	122050	104400
281080	43185	66360
343750	0	46875
141040	104805	144780
138125	182000	70500
90975	284650	15000
128677	112381	149567
68353	263735	58537
152005	139020	99600
263416	89592	37617
278325	101875	10425
136350	136725	117550
189310	43145	158170
241500	41650	107475
123025	96000	171600
383375	5500	1750
59475	139125	192025
165075	115675	109875
139735	138866	112024
258112	31502	101011
130100	180500	80025
149205	108420	133000
347225	10100	33300
102800	177025	110800
45650	178300	166675
180650	86060	123915
242741	90338	57546
224050	71700	94875
312950	10400	67275
185600	94775	110250
85375	56700	248550
267525	68950	54150
191625	145050	53950
170775	100100	119750
162500	99000	129125
326875	31800	31950
98125	139100	153400
128900	166475	95250
276775	89250	24600
271759	61608	57258
308500	49500	32625
165625	86250	138750
95260	209455	85910
323475	49275	17875
296875	24000	69750
215275	63950	111400
165330	162555	62740
216550	106875	67200
145392	141379	103854
140589	29268	220768
182193	135820	72612
309650	54975	26000
84100	180900	125625
138860	89883	161882
290575	28550	71500
112500	115625	162500
120245	101070	169310
204300	64750	121575
273800	62850	53975
199075	117825	73725
187332	148084	55209
252250	64375	74000
167375	70250	153000
276000	40125	74500
