#topo1 ((O,P3),P2,P1);
#topo2 ((O,P2),P3,P1);
#topo3 ((O,P1),P3,P2);
topo1	topo2	topo3
221500	78750	90375
113075	145900	131650
346250	26875	17500
112425	184875	93325
155900	69000	165725
202675	95640	92310
313675	39575	37375
107675	207400	75550
23250	329775	37600
93530	164490	132605
195975	98040	96610
176375	83950	130300
159118	203266	28241
166607	109562	114456
291400	69300	29925
175100	154025	61500
194797	105008	90820
156981	124318	109326
279789	62328	48508
92735	194660	103230
179562	77658	133405
169475	188100	33050
209456	81875	99294
107125	182500	101000
140825	70675	179125
149515	139990	101120
192037	135758	62830
244341	67092	79192
228375	59125	103125
233625	75600	81400
125140	91070	174415
180080	110960	99585
220849	117215	52561
160498	108373	121754
149200	76425	165000
127675	75200	187750
95325	61550	233750
118362	112147	160116
192160	123260	75205
203125	156600	30900
199379	34083	157163
210122	79777	100726
171628	99477	119520
94150	155550	140925
292744	89678	8203
103161	129996	157468
250672	88711	51242
127020	161865	101740
107425	191800	91400
105300	139784	145541
139496	111003	140126
211525	98300	80800
102558	188346	99721
94374	64989	231262
151859	149577	89189
100885	151560	138180
198125	142500	50000
176520	30041	184064
265888	65534	59203
296875	0	93750
113975	62850	213800
210295	97950	82380
237250	60183	93192
69450	213750	107425
160715	135190	94720
221575	59900	109150
98397	131030	161198
230650	83350	76625
158439	124682	107504
157030	108105	125490
185533	87480	117612
167846	113676	109103
247210	52155	91260
204920	56340	129365
75925	73550	241150
175100	132725	82800
171695	142235	76695
25200	71875	293550
132756	66153	191716
146519	160028	84078
359425	15600	15600
252875	112750	25000
152255	98780	139590
363700	11250	15675
380000	0	10625
93925	173000	123700
205648	84718	100259
159215	99840	131570
90400	128225	172000
147046	141041	102538
147795	119475	123355
190325	66975	133325
306200	35050	49375
194700	91375	104550
210373	65652	114600
194711	102782	93132
162800	116225	111600
152053	123779	114793
229330	111885	49410
336628	29136	24861
359900	17375	13350
139700	129150	121775
113852	199394	77379
202283	126413	61929
182483	109844	98298
129014	189662	71949
83072	44751	262802
216149	114688	59788
213775	77075	99775
216750	74500	99375
148106	167847	74672
267170	69520	53935
274575	69300	46750
240000	90675	59950
234895	65820	89910
75392	213131	102102
138243	142658	109724
198125	114800	77700
172825	103140	114660
192605	111110	86910
106615	80465	203545
245650	39550	105425
162341	112242	116042
148250	119000	123375
164088	112306	114231
297730	57585	35310
123275	185825	81525
245175	121625	23825
288520	48770	53335
147642	157547	85436
178995	175240	36390
144125	136500	110000
219225	90750	80650
214575	94450	81600
97250	66000	227375
254761	89332	46532
144300	115750	130575
135964	121272	133389
232550	11525	146550
117649	114538	158438
221970	49595	119060
236355	91380	62890
45570	277835	67220
156000	78750	155875
97059	110822	182744
194375	74475	121775
212725	40950	136950
181650	106600	102375
191250	116250	83125
209838	86067	94720
137584	126227	126814
113325	137450	139850
198110	59771	132744
86800	173525	130300
205625	75625	109375
263575	41325	85725
206766	75502	108357
140200	214325	36100
208270	89020	93335
71875	238900	79850
235905	46440	108280
306475	64350	19800
375000	10625	5000
97341	242154	51130
86166	250992	53467
169578	98211	122836
247875	66750	76000
234375	6250	150000
179050	103025	108550
141025	168250	81350
111385	200912	78328
207775	84375	98475
117385	174720	98520
166750	55125	168750
37340	100670	252615
83500	190875	116250
144775	98600	147250
144400	139825	106400
245544	107537	37544
217330	46755	126540
49825	126825	213975
341550	43225	5850
166998	118392	105235
136325	172350	81950
333250	11375	46000
83283	192386	114956
351325	15200	24100
175625	186250	28750
176165	111275	103185
222950	97875	69800
94195	181290	115140
97475	102150	191000
133600	23475	233550
294618	25441	70566
46725	229250	114650
240065	72910	77650
117460	131810	141355
124482	170226	95917
252927	49673	88025
136674	193389	60562
124495	203860	62270
182175	34650	173800
239797	75414	75414
132575	135900	122150
212715	115330	62580
165525	98850	126250
217725	161700	11200
211275	95930	83420
143950	112070	134605
188570	94190	107865
236025	74825	79775
130750	77875	182000
183278	99978	107369
289129	88323	13173
118375	130500	141750
271348	54576	64701
187422	38063	165140
206425	85850	98350
169648	58390	162587
169829	89172	131624
83713	227245	79667
163506	37861	189258
224379	102498	63748
254300	83575	52750
142255	195510	52860
185933	104636	100056
98524	67549	224552
212451	122312	55862
116125	166300	108200
164070	166080	60475
85250	99900	205475
125345	92140	173140
76188	166649	147788
228657	72927	89041
142323	113906	134396
89106	195988	105531
294125	33500	63000
275400	93400	21825
217075	103825	69725
147050	149970	93605
112600	117575	160450
119250	113200	158175
204301	80622	105702
132640	91790	166195
254100	54775	81750
129100	47850	213675
69225	275175	46225
214930	79335	96360
