"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,7887,3513,0.384,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",16,0,1.000,22.181,0.000,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",21,0,1.000,29.112,0.000,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",1,0,1.000,1.386,0.239,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",20,0,1.000,27.726,0.000,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",9,0,1.000,12.477,0.000,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",37,2,0.897,38.288,0.000,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",3,0,1.000,4.159,0.041,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",17,4,0.619,8.662,0.003,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,2,-1.000,2.773,0.096,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",10,0,1.000,13.863,0.000,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",31,1,0.938,35.462,0.000,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",86,7,0.849,,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",184,11,0.887,,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",131,13,0.819,,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",339,75,0.638,,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",98,53,0.298,13.617,0.000,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",205,133,0.213,15.455,0.000,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",4,0,1.000,5.545,0.019,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",5,0,1.000,6.931,0.008,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",143,5,0.932,,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",279,22,0.854,,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",602,124,0.658,,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",991,406,0.419,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",584,368,0.227,49.438,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",3,0,1.000,4.159,0.041,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",11,3,0.571,4.860,0.027,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",63,16,0.595,29.902,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",206,35,0.710,,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",641,232,0.468,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",971,579,0.253,,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",2,0,1.000,2.773,0.096,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",13,3,0.625,6.738,0.009,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",123,35,0.557,51.926,0.000,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",177,43,0.609,,0.000,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",374,292,0.123,10.122,0.001,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",7,0,1.000,9.704,0.002,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",17,1,0.889,17.229,0.000,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",48,27,0.280,5.959,0.015,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",55,34,0.236,5.002,0.025,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",4,5,-0.111,0.111,0.739,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",34,1,0.943,39.438,0.000,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",30,34,-0.062,0.250,0.617,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",13,0,1.000,18.022,0.000,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",15,2,0.765,11.252,0.001,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
