triangle_id,T1_bounds,T2_bounds,T3_bounds,count_data,count_model,residual,residual_squared,prop_data,prop_model,prop_residual
0,"(0.0, 0.1)","(0.0, 0.1)","(0.9, 1.0)",0,0,0,0,0.0,0.0,0.0
1,"(0.0, 0.1)","(0.0, 0.1)","(0.8, 0.9)",0,0,0,0,0.0,0.0,0.0
2,"(0.0, 0.1)","(0.1, 0.2)","(0.8, 0.9)",0,1,-1,1,0.0,8.651267410675664e-05,-8.651267410675664e-05
3,"(0.0, 0.1)","(0.1, 0.2)","(0.7, 0.8)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
4,"(0.0, 0.1)","(0.2, 0.3)","(0.7, 0.8)",0,0,0,0,0.0,0.0,0.0
5,"(0.0, 0.1)","(0.2, 0.3)","(0.6, 0.7)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
6,"(0.0, 0.1)","(0.3, 0.4)","(0.6, 0.7)",3,2,1,1,0.000265416261169601,0.00017302534821351327,9.239091295608774e-05
7,"(0.0, 0.1)","(0.3, 0.4)","(0.5, 0.6)",0,0,0,0,0.0,0.0,0.0
8,"(0.0, 0.1)","(0.4, 0.5)","(0.5, 0.6)",0,0,0,0,0.0,0.0,0.0
9,"(0.0, 0.1)","(0.4, 0.5)","(0.4, 0.5)",4,0,4,16,0.0003538883482261347,0.0,0.0003538883482261347
10,"(0.0, 0.1)","(0.5, 0.6)","(0.4, 0.5)",1,5,-4,16,8.847208705653367e-05,0.0004325633705337832,-0.0003440912834772495
11,"(0.0, 0.1)","(0.5, 0.6)","(0.3, 0.4)",9,8,1,1,0.0007962487835088029,0.0006921013928540531,0.00010414739065474983
12,"(0.0, 0.1)","(0.6, 0.7)","(0.3, 0.4)",0,0,0,0,0.0,0.0,0.0
13,"(0.0, 0.1)","(0.6, 0.7)","(0.2, 0.3)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
14,"(0.0, 0.1)","(0.7, 0.8)","(0.2, 0.3)",0,0,0,0,0.0,0.0,0.0
15,"(0.0, 0.1)","(0.7, 0.8)","(0.1, 0.2)",2,3,-1,1,0.00017694417411306734,0.0002595380223202699,-8.259384820720255e-05
16,"(0.0, 0.1)","(0.8, 0.9)","(0.1, 0.2)",0,0,0,0,0.0,0.0,0.0
17,"(0.0, 0.1)","(0.8, 0.9)","(0.0, 0.1)",7,0,7,49,0.0006193046093957357,0.0,0.0006193046093957357
18,"(0.0, 0.1)","(0.9, 1.0)","(0.0, 0.1)",0,0,0,0,0.0,0.0,0.0
19,"(0.1, 0.2)","(0.0, 0.1)","(0.8, 0.9)",0,0,0,0,0.0,0.0,0.0
20,"(0.1, 0.2)","(0.0, 0.1)","(0.7, 0.8)",0,7,-7,49,0.0,0.0006055887187472965,-0.0006055887187472965
21,"(0.1, 0.2)","(0.1, 0.2)","(0.7, 0.8)",0,3,-3,9,0.0,0.0002595380223202699,-0.0002595380223202699
22,"(0.1, 0.2)","(0.1, 0.2)","(0.6, 0.7)",9,15,-6,36,0.0007962487835088029,0.0012976901116013497,-0.0005014413280925468
23,"(0.1, 0.2)","(0.2, 0.3)","(0.6, 0.7)",5,1,4,16,0.0004423604352826683,8.651267410675664e-05,0.00035584776117591164
24,"(0.1, 0.2)","(0.2, 0.3)","(0.5, 0.6)",37,18,19,361,0.0032734672210917456,0.0015572281339216196,0.001716239087170126
25,"(0.1, 0.2)","(0.3, 0.4)","(0.5, 0.6)",15,18,-3,9,0.001327081305848005,0.0015572281339216196,-0.00023014682807361454
26,"(0.1, 0.2)","(0.3, 0.4)","(0.4, 0.5)",46,55,-9,81,0.004069716004600548,0.004758197075871615,-0.0006884810712710666
27,"(0.1, 0.2)","(0.4, 0.5)","(0.4, 0.5)",50,28,22,484,0.004423604352826683,0.002422354874989186,0.002001249477837497
28,"(0.1, 0.2)","(0.4, 0.5)","(0.3, 0.4)",98,84,14,196,0.008670264531540298,0.007267064624967558,0.0014031999065727404
29,"(0.1, 0.2)","(0.5, 0.6)","(0.3, 0.4)",63,23,40,1600,0.005573741484561621,0.0019897915044554027,0.0035839499801062183
30,"(0.1, 0.2)","(0.5, 0.6)","(0.2, 0.3)",118,57,61,3721,0.010439706272670973,0.004931222424085129,0.005508483848585844
31,"(0.1, 0.2)","(0.6, 0.7)","(0.2, 0.3)",60,35,25,625,0.00530832522339202,0.0030279435937364822,0.002280381629655538
32,"(0.1, 0.2)","(0.6, 0.7)","(0.1, 0.2)",87,45,42,1764,0.007697071573918429,0.003893070334804049,0.00380400123911438
33,"(0.1, 0.2)","(0.7, 0.8)","(0.1, 0.2)",25,10,15,225,0.0022118021764133415,0.0008651267410675664,0.0013466754353457751
34,"(0.1, 0.2)","(0.7, 0.8)","(0.0, 0.1)",27,1,26,676,0.002388746350526409,8.651267410675664e-05,0.0023022336764196524
35,"(0.1, 0.2)","(0.8, 0.9)","(0.0, 0.1)",5,0,5,25,0.0004423604352826683,0.0,0.0004423604352826683
36,"(0.2, 0.3)","(0.0, 0.1)","(0.7, 0.8)",0,4,-4,16,0.0,0.00034605069642702654,-0.00034605069642702654
37,"(0.2, 0.3)","(0.0, 0.1)","(0.6, 0.7)",3,8,-5,25,0.000265416261169601,0.0006921013928540531,-0.0004266851316844521
38,"(0.2, 0.3)","(0.1, 0.2)","(0.6, 0.7)",16,28,-12,144,0.0014155533929045387,0.002422354874989186,-0.0010068014820846473
39,"(0.2, 0.3)","(0.1, 0.2)","(0.5, 0.6)",51,62,-11,121,0.004512076439883217,0.005363785794618912,-0.0008517093547356948
40,"(0.2, 0.3)","(0.2, 0.3)","(0.5, 0.6)",184,140,44,1936,0.016278864018402193,0.012111774374945929,0.0041670896434562645
41,"(0.2, 0.3)","(0.2, 0.3)","(0.4, 0.5)",468,350,118,13924,0.04140493674245775,0.030279435937364825,0.011125500805092926
42,"(0.2, 0.3)","(0.3, 0.4)","(0.4, 0.5)",492,235,257,66049,0.043528266831814565,0.02033047841508781,0.023197788416726754
43,"(0.2, 0.3)","(0.3, 0.4)","(0.3, 0.4)",1136,442,694,481636,0.10050429089622225,0.038238601955186434,0.06226568894103581
44,"(0.2, 0.3)","(0.4, 0.5)","(0.3, 0.4)",575,279,296,87616,0.05087145005750686,0.0241370360757851,0.026734413981721758
45,"(0.2, 0.3)","(0.4, 0.5)","(0.2, 0.3)",914,384,530,280900,0.08086348756967177,0.033220866856994546,0.04764262071267722
46,"(0.2, 0.3)","(0.5, 0.6)","(0.2, 0.3)",300,241,59,3481,0.0265416261169601,0.020849554459728352,0.005692071657231748
47,"(0.2, 0.3)","(0.5, 0.6)","(0.1, 0.2)",123,159,-36,1296,0.010882066707953641,0.013755515182974305,-0.002873448475020664
48,"(0.2, 0.3)","(0.6, 0.7)","(0.1, 0.2)",49,54,-5,25,0.004335132265770149,0.004671684401764859,-0.0003365521359947098
49,"(0.2, 0.3)","(0.6, 0.7)","(0.0, 0.1)",8,15,-7,49,0.0007077766964522694,0.0012976901116013497,-0.0005899134151490803
50,"(0.2, 0.3)","(0.7, 0.8)","(0.0, 0.1)",4,3,1,1,0.0003538883482261347,0.0002595380223202699,9.435032590586478e-05
51,"(0.3, 0.4)","(0.0, 0.1)","(0.6, 0.7)",1,1,0,0,8.847208705653367e-05,8.651267410675664e-05,1.959412949777034e-06
52,"(0.3, 0.4)","(0.0, 0.1)","(0.5, 0.6)",2,4,-2,4,0.00017694417411306734,0.00034605069642702654,-0.0001691065223139592
53,"(0.3, 0.4)","(0.1, 0.2)","(0.5, 0.6)",16,49,-33,1089,0.0014155533929045387,0.004239121031231075,-0.0028235676383265365
54,"(0.3, 0.4)","(0.1, 0.2)","(0.4, 0.5)",35,142,-107,11449,0.0030965230469786782,0.012284799723159443,-0.009188276676180765
55,"(0.3, 0.4)","(0.2, 0.3)","(0.4, 0.5)",261,541,-280,78400,0.023091214721755286,0.046803356691755345,-0.02371214197000006
56,"(0.3, 0.4)","(0.2, 0.3)","(0.3, 0.4)",699,976,-277,76729,0.06184198885251703,0.08443636992819448,-0.022594381075677447
57,"(0.3, 0.4)","(0.3, 0.4)","(0.3, 0.4)",1867,1059,808,652864,0.16517738653454836,0.09161692187905528,0.07356046465549308
58,"(0.3, 0.4)","(0.3, 0.4)","(0.2, 0.3)",1045,748,297,88209,0.09245333097407768,0.06471148023185397,0.02774185074222371
59,"(0.3, 0.4)","(0.4, 0.5)","(0.2, 0.3)",822,413,409,167281,0.07272405556047067,0.035729734406090494,0.03699432115438017
60,"(0.3, 0.4)","(0.4, 0.5)","(0.1, 0.2)",99,134,-35,1225,0.008758736618596833,0.01159269833030539,-0.002833961711708556
61,"(0.3, 0.4)","(0.5, 0.6)","(0.1, 0.2)",60,42,18,324,0.00530832522339202,0.003633532312483779,0.0016747929109082412
62,"(0.3, 0.4)","(0.5, 0.6)","(0.0, 0.1)",10,6,4,16,0.0008847208705653366,0.0005190760446405398,0.0003656448259247968
63,"(0.3, 0.4)","(0.6, 0.7)","(0.0, 0.1)",0,3,-3,9,0.0,0.0002595380223202699,-0.0002595380223202699
64,"(0.4, 0.5)","(0.0, 0.1)","(0.5, 0.6)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
65,"(0.4, 0.5)","(0.0, 0.1)","(0.4, 0.5)",0,7,-7,49,0.0,0.0006055887187472965,-0.0006055887187472965
66,"(0.4, 0.5)","(0.1, 0.2)","(0.4, 0.5)",2,96,-94,8836,0.00017694417411306734,0.008305216714248637,-0.008128272540135569
67,"(0.4, 0.5)","(0.1, 0.2)","(0.3, 0.4)",25,162,-137,18769,0.0022118021764133415,0.014015053205294576,-0.011803251028881235
68,"(0.4, 0.5)","(0.2, 0.3)","(0.3, 0.4)",273,708,-435,189225,0.02415287976643369,0.0612509732675837,-0.03709809350115001
69,"(0.4, 0.5)","(0.2, 0.3)","(0.2, 0.3)",411,784,-373,139129,0.03636202778023533,0.0678259364996972,-0.03146390871946187
70,"(0.4, 0.5)","(0.3, 0.4)","(0.2, 0.3)",362,619,-257,66049,0.032026895514465185,0.05355134527208236,-0.02152444975761717
71,"(0.4, 0.5)","(0.3, 0.4)","(0.1, 0.2)",49,171,-122,14884,0.004335132265770149,0.014793667272255385,-0.010458535006485236
72,"(0.4, 0.5)","(0.4, 0.5)","(0.1, 0.2)",27,54,-27,729,0.002388746350526409,0.004671684401764859,-0.00228293805123845
73,"(0.4, 0.5)","(0.4, 0.5)","(0.0, 0.1)",3,6,-3,9,0.000265416261169601,0.0005190760446405398,-0.0002536597834709388
74,"(0.4, 0.5)","(0.5, 0.6)","(0.0, 0.1)",0,0,0,0,0.0,0.0,0.0
75,"(0.5, 0.6)","(0.0, 0.1)","(0.4, 0.5)",0,6,-6,36,0.0,0.0005190760446405398,-0.0005190760446405398
76,"(0.5, 0.6)","(0.0, 0.1)","(0.3, 0.4)",0,7,-7,49,0.0,0.0006055887187472965,-0.0006055887187472965
77,"(0.5, 0.6)","(0.1, 0.2)","(0.3, 0.4)",8,112,-104,10816,0.0007077766964522694,0.009689419499956744,-0.008981642803504475
78,"(0.5, 0.6)","(0.1, 0.2)","(0.2, 0.3)",32,283,-251,63001,0.0028311067858090774,0.02448308677221213,-0.02165197998640305
79,"(0.5, 0.6)","(0.2, 0.3)","(0.2, 0.3)",128,502,-374,139876,0.01132442714323631,0.043429362401591835,-0.032104935258355526
80,"(0.5, 0.6)","(0.2, 0.3)","(0.1, 0.2)",41,222,-181,32761,0.0036273555693178802,0.019205813651699974,-0.015578458082382094
81,"(0.5, 0.6)","(0.3, 0.4)","(0.1, 0.2)",14,95,-81,6561,0.0012386092187914714,0.008218704040141881,-0.0069800948213504105
82,"(0.5, 0.6)","(0.3, 0.4)","(0.0, 0.1)",0,18,-18,324,0.0,0.0015572281339216196,-0.0015572281339216196
83,"(0.5, 0.6)","(0.4, 0.5)","(0.0, 0.1)",0,4,-4,16,0.0,0.00034605069642702654,-0.00034605069642702654
84,"(0.6, 0.7)","(0.0, 0.1)","(0.3, 0.4)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
85,"(0.6, 0.7)","(0.0, 0.1)","(0.2, 0.3)",0,2,-2,4,0.0,0.00017302534821351327,-0.00017302534821351327
86,"(0.6, 0.7)","(0.1, 0.2)","(0.2, 0.3)",3,133,-130,16900,0.000265416261169601,0.011506185656198632,-0.011240769395029031
87,"(0.6, 0.7)","(0.1, 0.2)","(0.1, 0.2)",7,167,-160,25600,0.0006193046093957357,0.014447616575828359,-0.013828311966432623
88,"(0.6, 0.7)","(0.2, 0.3)","(0.1, 0.2)",7,150,-143,20449,0.0006193046093957357,0.012976901116013496,-0.01235759650661776
89,"(0.6, 0.7)","(0.2, 0.3)","(0.0, 0.1)",0,23,-23,529,0.0,0.0019897915044554027,-0.0019897915044554027
90,"(0.6, 0.7)","(0.3, 0.4)","(0.0, 0.1)",0,8,-8,64,0.0,0.0006921013928540531,-0.0006921013928540531
91,"(0.7, 0.8)","(0.0, 0.1)","(0.2, 0.3)",0,12,-12,144,0.0,0.0010381520892810796,-0.0010381520892810796
92,"(0.7, 0.8)","(0.0, 0.1)","(0.1, 0.2)",0,48,-48,2304,0.0,0.004152608357124318,-0.004152608357124318
93,"(0.7, 0.8)","(0.1, 0.2)","(0.1, 0.2)",0,87,-87,7569,0.0,0.007526602647287828,-0.007526602647287828
94,"(0.7, 0.8)","(0.1, 0.2)","(0.0, 0.1)",0,40,-40,1600,0.0,0.0034605069642702655,-0.0034605069642702655
95,"(0.7, 0.8)","(0.2, 0.3)","(0.0, 0.1)",0,5,-5,25,0.0,0.0004325633705337832,-0.0004325633705337832
96,"(0.8, 0.9)","(0.0, 0.1)","(0.1, 0.2)",0,4,-4,16,0.0,0.00034605069642702654,-0.00034605069642702654
97,"(0.8, 0.9)","(0.0, 0.1)","(0.0, 0.1)",0,38,-38,1444,0.0,0.003287481616056752,-0.003287481616056752
98,"(0.8, 0.9)","(0.1, 0.2)","(0.0, 0.1)",0,35,-35,1225,0.0,0.0030279435937364822,-0.0030279435937364822
99,"(0.9, 1.0)","(0.0, 0.1)","(0.0, 0.1)",0,0,0,0,0.0,0.0,0.0
