"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,3723,6174,-0.248,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,6,-1.000,8.318,0.004,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,1,-1.000,1.386,0.239,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",2,3,-0.200,0.201,0.654,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",1,0,1.000,1.386,0.239,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",2,4,-0.333,0.680,0.410,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,1,-1.000,1.386,0.239,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,2,-1.000,2.773,0.096,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,7,-1.000,9.704,0.002,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",1,17,-0.889,17.229,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",6,63,-0.826,54.884,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",10,35,-0.556,14.710,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",29,93,-0.525,35.313,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",11,31,-0.476,9.921,0.002,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",62,80,-0.127,2.288,0.130,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",1,1,0.000,-0.000,1.000,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",0,3,-1.000,4.159,0.041,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",6,27,-0.636,14.455,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",25,102,-0.606,50.074,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",102,338,-0.536,,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",357,774,-0.369,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",396,609,-0.212,45.487,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",0,0,,,,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",0,1,-1.000,1.386,0.239,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",14,24,-0.263,2.663,0.103,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",29,68,-0.402,16.133,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",277,623,-0.384,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",649,1020,-0.222,,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,0,,,,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",14,29,-0.349,5.344,0.021,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",28,50,-0.282,6.290,0.012,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",247,390,-0.224,32.377,0.000,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,2,-1.000,2.773,0.096,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",9,10,-0.053,0.053,0.819,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",27,36,-0.143,1.290,0.256,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",0,1,-1.000,1.386,0.239,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",3,10,-0.538,3.977,0.046,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
