"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,4985,6599,-0.139,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,4,-1.000,5.545,0.019,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",1,3,-0.500,1.046,0.306,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",3,0,1.000,4.159,0.041,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",13,3,0.625,6.738,0.009,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,0,,,,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,4,-1.000,5.545,0.019,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",6,8,-0.143,0.287,0.592,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",19,25,-0.136,0.821,0.365,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",33,36,-0.043,0.130,0.718,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",76,69,0.048,0.338,0.561,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",28,42,-0.200,2.819,0.093,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",88,82,0.035,0.212,0.645,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,0,,,,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",2,4,-0.333,0.680,0.410,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",10,5,0.333,1.699,0.192,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",20,53,-0.452,15.473,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",169,251,-0.195,16.113,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",509,820,-0.234,73.456,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",410,554,-0.149,21.591,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",8,0,1.000,11.090,0.001,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",18,2,0.800,14.723,0.000,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",5,40,-0.778,30.988,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",12,43,-0.564,18.541,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",290,646,-0.380,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",868,1321,-0.207,,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,0,,,,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,1,-1.000,1.386,0.239,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",6,23,-0.586,10.633,0.001,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",46,54,-0.080,0.641,0.423,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",415,471,-0.063,3.542,0.060,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,1,-1.000,1.386,0.239,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",7,33,-0.650,18.354,0.000,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",53,50,0.029,0.087,0.768,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",2,0,1.000,2.773,0.096,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",4,0,1.000,5.545,0.019,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",9,20,-0.379,4.279,0.039,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,2,-1.000,2.773,0.096,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
