T1,T2,T3
"(0,(3,(1,2)));","(0,(1,(2,3)));","(0,(2,(1,3)));"
0.302,0.352,0.346
0.271,0.217,0.512
0.253,0.368,0.378
0.314,0.417,0.269
0.352,0.334,0.314
0.337,0.204,0.458
0.302,0.358,0.341
0.181,0.52,0.299
0.324,0.367,0.31
0.199,0.567,0.234
0.422,0.359,0.22
0.355,0.373,0.272
0.32,0.096,0.584
0.233,0.217,0.55
0.348,0.37,0.283
0.392,0.292,0.316
0.307,0.363,0.331
0.469,0.217,0.314
0.311,0.316,0.372
0.358,0.309,0.333
0.383,0.316,0.301
0.2,0.575,0.225
0.271,0.367,0.362
0.394,0.308,0.298
0.293,0.371,0.336
0.248,0.334,0.418
0.29,0.4,0.31
0.396,0.393,0.211
0.252,0.502,0.246
0.255,0.344,0.401
0.277,0.379,0.344
0.28,0.436,0.284
0.448,0.188,0.365
0.256,0.411,0.333
0.272,0.488,0.24
0.325,0.397,0.278
0.308,0.424,0.267
0.325,0.382,0.293
0.438,0.241,0.321
0.303,0.42,0.277
0.12,0.57,0.31
0.316,0.287,0.397
0.597,0.26,0.143
0.262,0.466,0.272
0.286,0.482,0.232
0.361,0.424,0.216
0.289,0.37,0.341
0.237,0.529,0.234
0.292,0.333,0.376
0.214,0.519,0.267
0.361,0.266,0.373
0.39,0.201,0.41
0.25,0.422,0.328
0.304,0.322,0.374
0.287,0.411,0.302
0.292,0.253,0.455
0.278,0.414,0.308
0.291,0.318,0.391
0.346,0.331,0.323
0.439,0.283,0.278
0.287,0.461,0.252
0.318,0.37,0.312
0.371,0.424,0.205
0.452,0.302,0.246
0.255,0.516,0.229
0.334,0.355,0.31
0.335,0.375,0.29
0.345,0.346,0.309
0.474,0.314,0.212
0.222,0.514,0.264
0.23,0.544,0.226
0.252,0.431,0.318
0.335,0.45,0.216
0.302,0.307,0.391
0.202,0.37,0.428
0.451,0.292,0.257
0.231,0.406,0.363
0.257,0.392,0.352
0.301,0.324,0.375
0.296,0.375,0.329
0.35,0.426,0.224
0.438,0.312,0.25
0.213,0.548,0.239
0.156,0.417,0.426
0.348,0.326,0.326
0.278,0.431,0.291
0.27,0.317,0.413
0.347,0.509,0.144
0.297,0.441,0.263
0.591,0.23,0.178
0.267,0.377,0.356
0.307,0.277,0.416
0.297,0.405,0.298
0.329,0.419,0.252
0.18,0.539,0.281
0.257,0.365,0.378
0.395,0.287,0.318
0.308,0.335,0.357
0.407,0.321,0.271
0.313,0.34,0.346
0.263,0.426,0.312
0.223,0.451,0.326
0.194,0.52,0.287
0.325,0.409,0.266
0.359,0.366,0.276
0.379,0.302,0.319
0.59,0.274,0.135
0.413,0.303,0.284
0.328,0.339,0.333
0.296,0.281,0.423
0.369,0.406,0.225
0.559,0.269,0.171
0.371,0.358,0.271
0.19,0.417,0.393
0.196,0.619,0.185
0.326,0.27,0.404
0.27,0.412,0.318
0.286,0.591,0.123
0.39,0.262,0.348
0.325,0.407,0.268
0.186,0.444,0.37
0.397,0.297,0.306
0.273,0.44,0.286
0.331,0.319,0.35
0.245,0.286,0.469
0.325,0.376,0.3
0.449,0.298,0.253
0.235,0.499,0.266
0.542,0.242,0.216
0.313,0.389,0.298
0.363,0.308,0.33
0.285,0.431,0.284
0.299,0.35,0.35
0.287,0.265,0.448
0.314,0.325,0.361
0.323,0.302,0.375
0.249,0.485,0.266
0.569,0.196,0.235
0.499,0.228,0.272
0.336,0.372,0.291
0.227,0.421,0.353
0.301,0.414,0.285
0.252,0.344,0.405
0.503,0.236,0.261
0.395,0.211,0.394
0.281,0.328,0.391
0.413,0.289,0.298
0.397,0.292,0.311
0.241,0.323,0.436
0.363,0.286,0.35
0.282,0.388,0.33
0.377,0.2,0.423
0.394,0.343,0.264
0.297,0.411,0.292
0.262,0.372,0.366
0.333,0.288,0.378
0.256,0.478,0.266
0.331,0.441,0.229
0.386,0.307,0.307
0.322,0.341,0.337
0.3,0.356,0.345
0.316,0.271,0.412
0.323,0.355,0.322
0.311,0.385,0.304
0.304,0.361,0.334
0.295,0.396,0.309
0.231,0.381,0.388
0.377,0.345,0.278
0.382,0.279,0.339
0.269,0.396,0.335
0.423,0.271,0.306
0.312,0.395,0.292
0.326,0.211,0.463
0.337,0.29,0.373
0.296,0.385,0.32
0.262,0.503,0.235
0.294,0.285,0.42
0.324,0.453,0.223
0.297,0.339,0.364
0.257,0.426,0.317
0.324,0.278,0.398
0.274,0.541,0.186
0.321,0.388,0.29
0.239,0.342,0.419
0.378,0.15,0.472
0.253,0.354,0.393
0.308,0.401,0.291
0.284,0.442,0.273
0.354,0.339,0.307
0.188,0.481,0.331
0.259,0.334,0.407
0.284,0.391,0.325
0.329,0.36,0.312
0.275,0.298,0.427
0.478,0.323,0.199
0.373,0.31,0.317
0.298,0.455,0.247
0.379,0.303,0.318
0.265,0.408,0.326
0.323,0.328,0.348
0.162,0.426,0.412
0.487,0.27,0.243
0.25,0.488,0.262
0.224,0.291,0.485
0.254,0.263,0.483
0.492,0.25,0.258
0.332,0.35,0.318
0.345,0.317,0.338
0.345,0.354,0.301
0.458,0.301,0.241
0.256,0.365,0.379
0.31,0.32,0.37
0.272,0.22,0.507
0.495,0.296,0.208
0.328,0.475,0.197
0.449,0.254,0.297
0.258,0.398,0.344
0.29,0.322,0.388
0.333,0.451,0.216
0.31,0.427,0.263
0.371,0.226,0.403
0.272,0.325,0.403
0.332,0.339,0.328
0.27,0.336,0.393
0.172,0.592,0.236
0.367,0.314,0.319
0.233,0.465,0.303
0.303,0.402,0.295
0.356,0.157,0.487
0.3,0.304,0.396
0.29,0.416,0.294
0.292,0.399,0.309
0.296,0.385,0.319
0.328,0.454,0.217
0.424,0.308,0.268
0.246,0.468,0.286
0.284,0.393,0.324
0.352,0.325,0.323
0.31,0.324,0.366
0.186,0.208,0.606
0.414,0.336,0.25
0.298,0.323,0.379
0.4,0.254,0.346
0.258,0.324,0.418
0.331,0.353,0.316
0.298,0.378,0.324
0.319,0.361,0.32
0.426,0.246,0.328
0.322,0.416,0.263
0.246,0.368,0.386
0.302,0.472,0.226
0.253,0.512,0.235
0.458,0.284,0.258
0.293,0.427,0.28
0.244,0.413,0.343
0.316,0.352,0.333
0.355,0.392,0.253
0.36,0.375,0.265
0.228,0.542,0.231
0.334,0.371,0.295
0.187,0.468,0.345
0.268,0.334,0.398
0.28,0.404,0.315
0.436,0.273,0.291
0.438,0.327,0.234
0.318,0.502,0.179
0.464,0.34,0.195
0.26,0.484,0.256
0.283,0.428,0.289
0.285,0.38,0.334
0.274,0.337,0.389
0.319,0.379,0.303
0.369,0.308,0.323
0.172,0.319,0.509
0.304,0.361,0.335
0.148,0.296,0.556
0.274,0.419,0.307
0.373,0.311,0.316
0.375,0.241,0.384
0.372,0.272,0.356
0.329,0.402,0.269
0.242,0.383,0.375
0.31,0.33,0.361
0.34,0.34,0.321
0.495,0.265,0.24
0.263,0.414,0.323
0.331,0.361,0.309
0.227,0.326,0.448
0.408,0.281,0.311
0.42,0.283,0.298
0.358,0.397,0.245
0.248,0.351,0.401
0.246,0.245,0.509
0.328,0.447,0.224
0.288,0.442,0.271
0.364,0.376,0.26
0.23,0.307,0.463
0.335,0.23,0.435
0.266,0.411,0.323
0.27,0.332,0.398
0.48,0.331,0.189
0.34,0.38,0.28
0.296,0.355,0.349
0.212,0.34,0.448
0.318,0.372,0.311
0.369,0.248,0.383
0.309,0.336,0.355
0.456,0.268,0.276
0.388,0.3,0.311
0.358,0.365,0.278
0.484,0.238,0.278
0.312,0.383,0.304
0.299,0.301,0.4
0.242,0.436,0.322
0.369,0.329,0.302
0.33,0.2,0.47
0.297,0.379,0.324
0.544,0.243,0.213
0.387,0.308,0.305
0.349,0.332,0.319
0.19,0.658,0.152
0.208,0.426,0.365
0.275,0.513,0.212
0.352,0.301,0.347
0.358,0.404,0.238
0.328,0.362,0.31
0.243,0.44,0.317
0.329,0.284,0.388
0.376,0.419,0.205
0.248,0.38,0.371
0.303,0.313,0.384
0.298,0.388,0.314
0.418,0.241,0.341
0.298,0.35,0.351
0.191,0.633,0.176
0.329,0.299,0.372
0.268,0.376,0.357
0.224,0.644,0.132
0.311,0.334,0.354
0.354,0.433,0.213
0.331,0.33,0.339
0.263,0.442,0.295
0.285,0.29,0.425
0.307,0.367,0.326
0.38,0.291,0.329
0.288,0.321,0.392
0.36,0.408,0.231
0.363,0.414,0.224
0.323,0.442,0.236
0.571,0.174,0.255
0.434,0.259,0.306
0.352,0.376,0.272
0.21,0.56,0.23
0.326,0.33,0.344
