triangle_id,T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,residual,residual_squared,prop_residual
0,"(0.0, 0.1)","(0.0, 0.1)","(0.9, 1.0)",0,0,0.0,0.0,0,0,0.0
1,"(0.0, 0.1)","(0.0, 0.1)","(0.8, 0.9)",0,0,0.0,0.0,0,0,0.0
2,"(0.0, 0.1)","(0.1, 0.2)","(0.8, 0.9)",0,1,0.0,0.0001,-1,1,-0.0001
3,"(0.0, 0.1)","(0.1, 0.2)","(0.7, 0.8)",0,2,0.0,0.0002,-2,4,-0.0002
4,"(0.0, 0.1)","(0.2, 0.3)","(0.7, 0.8)",0,0,0.0,0.0,0,0,0.0
5,"(0.0, 0.1)","(0.2, 0.3)","(0.6, 0.7)",0,2,0.0,0.0002,-2,4,-0.0002
6,"(0.0, 0.1)","(0.3, 0.4)","(0.6, 0.7)",3,2,0.0003,0.0002,1,1,9.999999999999996e-05
7,"(0.0, 0.1)","(0.3, 0.4)","(0.5, 0.6)",0,0,0.0,0.0,0,0,0.0
8,"(0.0, 0.1)","(0.4, 0.5)","(0.5, 0.6)",0,0,0.0,0.0,0,0,0.0
9,"(0.0, 0.1)","(0.4, 0.5)","(0.4, 0.5)",4,0,0.0004,0.0,4,16,0.0004
10,"(0.0, 0.1)","(0.5, 0.6)","(0.4, 0.5)",1,3,0.0001,0.0003,-2,4,-0.00019999999999999998
11,"(0.0, 0.1)","(0.5, 0.6)","(0.3, 0.4)",8,7,0.0008,0.0007,1,1,0.00010000000000000005
12,"(0.0, 0.1)","(0.6, 0.7)","(0.3, 0.4)",0,0,0.0,0.0,0,0,0.0
13,"(0.0, 0.1)","(0.6, 0.7)","(0.2, 0.3)",0,2,0.0,0.0002,-2,4,-0.0002
14,"(0.0, 0.1)","(0.7, 0.8)","(0.2, 0.3)",0,0,0.0,0.0,0,0,0.0
15,"(0.0, 0.1)","(0.7, 0.8)","(0.1, 0.2)",2,3,0.0002,0.0003,-1,1,-9.999999999999996e-05
16,"(0.0, 0.1)","(0.8, 0.9)","(0.1, 0.2)",0,0,0.0,0.0,0,0,0.0
17,"(0.0, 0.1)","(0.8, 0.9)","(0.0, 0.1)",6,0,0.0006,0.0,6,36,0.0006
18,"(0.0, 0.1)","(0.9, 1.0)","(0.0, 0.1)",0,0,0.0,0.0,0,0,0.0
19,"(0.1, 0.2)","(0.0, 0.1)","(0.8, 0.9)",0,0,0.0,0.0,0,0,0.0
20,"(0.1, 0.2)","(0.0, 0.1)","(0.7, 0.8)",0,5,0.0,0.0005,-5,25,-0.0005
21,"(0.1, 0.2)","(0.1, 0.2)","(0.7, 0.8)",0,3,0.0,0.0003,-3,9,-0.0003
22,"(0.1, 0.2)","(0.1, 0.2)","(0.6, 0.7)",8,13,0.0008,0.0013,-5,25,-0.0004999999999999999
23,"(0.1, 0.2)","(0.2, 0.3)","(0.6, 0.7)",4,1,0.0004,0.0001,3,9,0.00030000000000000003
24,"(0.1, 0.2)","(0.2, 0.3)","(0.5, 0.6)",30,16,0.003,0.0016,14,196,0.0014
25,"(0.1, 0.2)","(0.3, 0.4)","(0.5, 0.6)",14,14,0.0014,0.0014,0,0,0.0
26,"(0.1, 0.2)","(0.3, 0.4)","(0.4, 0.5)",41,46,0.0041,0.0046,-5,25,-0.0004999999999999996
27,"(0.1, 0.2)","(0.4, 0.5)","(0.4, 0.5)",44,21,0.0044,0.0021,23,529,0.0023000000000000004
28,"(0.1, 0.2)","(0.4, 0.5)","(0.3, 0.4)",90,74,0.009,0.0074,16,256,0.001599999999999999
29,"(0.1, 0.2)","(0.5, 0.6)","(0.3, 0.4)",58,21,0.0058,0.0021,37,1369,0.0036999999999999997
30,"(0.1, 0.2)","(0.5, 0.6)","(0.2, 0.3)",103,47,0.0103,0.0047,56,3136,0.0056
31,"(0.1, 0.2)","(0.6, 0.7)","(0.2, 0.3)",58,33,0.0058,0.0033,25,625,0.0024999999999999996
32,"(0.1, 0.2)","(0.6, 0.7)","(0.1, 0.2)",78,42,0.0078,0.0042,36,1296,0.0036
33,"(0.1, 0.2)","(0.7, 0.8)","(0.1, 0.2)",22,7,0.0022,0.0007,15,225,0.0015
34,"(0.1, 0.2)","(0.7, 0.8)","(0.0, 0.1)",24,1,0.0024,0.0001,23,529,0.0023
35,"(0.1, 0.2)","(0.8, 0.9)","(0.0, 0.1)",4,0,0.0004,0.0,4,16,0.0004
36,"(0.2, 0.3)","(0.0, 0.1)","(0.7, 0.8)",0,1,0.0,0.0001,-1,1,-0.0001
37,"(0.2, 0.3)","(0.0, 0.1)","(0.6, 0.7)",3,7,0.0003,0.0007,-4,16,-0.0004
38,"(0.2, 0.3)","(0.1, 0.2)","(0.6, 0.7)",15,24,0.0015,0.0024,-9,81,-0.0008999999999999998
39,"(0.2, 0.3)","(0.1, 0.2)","(0.5, 0.6)",45,54,0.0045,0.0054,-9,81,-0.0009000000000000006
40,"(0.2, 0.3)","(0.2, 0.3)","(0.5, 0.6)",164,127,0.0164,0.0127,37,1369,0.003700000000000002
41,"(0.2, 0.3)","(0.2, 0.3)","(0.4, 0.5)",407,294,0.0407,0.0294,113,12769,0.011300000000000001
42,"(0.2, 0.3)","(0.3, 0.4)","(0.4, 0.5)",439,213,0.0439,0.0213,226,51076,0.022600000000000002
43,"(0.2, 0.3)","(0.3, 0.4)","(0.3, 0.4)",1011,383,0.1011,0.0383,628,394384,0.0628
44,"(0.2, 0.3)","(0.4, 0.5)","(0.3, 0.4)",516,240,0.0516,0.024,276,76176,0.0276
45,"(0.2, 0.3)","(0.4, 0.5)","(0.2, 0.3)",810,334,0.081,0.0334,476,226576,0.0476
46,"(0.2, 0.3)","(0.5, 0.6)","(0.2, 0.3)",266,204,0.0266,0.0204,62,3844,0.006199999999999997
47,"(0.2, 0.3)","(0.5, 0.6)","(0.1, 0.2)",108,140,0.0108,0.014,-32,1024,-0.0031999999999999997
48,"(0.2, 0.3)","(0.6, 0.7)","(0.1, 0.2)",42,46,0.0042,0.0046,-4,16,-0.0004000000000000002
49,"(0.2, 0.3)","(0.6, 0.7)","(0.0, 0.1)",6,14,0.0006,0.0014,-8,64,-0.0008
50,"(0.2, 0.3)","(0.7, 0.8)","(0.0, 0.1)",3,2,0.0003,0.0002,1,1,9.999999999999996e-05
51,"(0.3, 0.4)","(0.0, 0.1)","(0.6, 0.7)",1,1,0.0001,0.0001,0,0,0.0
52,"(0.3, 0.4)","(0.0, 0.1)","(0.5, 0.6)",2,4,0.0002,0.0004,-2,4,-0.0002
53,"(0.3, 0.4)","(0.1, 0.2)","(0.5, 0.6)",13,42,0.0013,0.0042,-29,841,-0.0029
54,"(0.3, 0.4)","(0.1, 0.2)","(0.4, 0.5)",32,115,0.0032,0.0115,-83,6889,-0.0083
55,"(0.3, 0.4)","(0.2, 0.3)","(0.4, 0.5)",228,475,0.0228,0.0475,-247,61009,-0.0247
56,"(0.3, 0.4)","(0.2, 0.3)","(0.3, 0.4)",620,829,0.062,0.0829,-209,43681,-0.020900000000000002
57,"(0.3, 0.4)","(0.3, 0.4)","(0.3, 0.4)",1664,921,0.1664,0.0921,743,552049,0.07429999999999999
58,"(0.3, 0.4)","(0.3, 0.4)","(0.2, 0.3)",909,635,0.0909,0.0635,274,75076,0.027399999999999994
59,"(0.3, 0.4)","(0.4, 0.5)","(0.2, 0.3)",728,348,0.0728,0.0348,380,144400,0.038000000000000006
60,"(0.3, 0.4)","(0.4, 0.5)","(0.1, 0.2)",83,123,0.0083,0.0123,-40,1600,-0.004
61,"(0.3, 0.4)","(0.5, 0.6)","(0.1, 0.2)",53,35,0.0053,0.0035,18,324,0.0018
62,"(0.3, 0.4)","(0.5, 0.6)","(0.0, 0.1)",8,6,0.0008,0.0006,2,4,0.0002000000000000001
63,"(0.3, 0.4)","(0.6, 0.7)","(0.0, 0.1)",0,3,0.0,0.0003,-3,9,-0.0003
64,"(0.4, 0.5)","(0.0, 0.1)","(0.5, 0.6)",0,2,0.0,0.0002,-2,4,-0.0002
65,"(0.4, 0.5)","(0.0, 0.1)","(0.4, 0.5)",0,5,0.0,0.0005,-5,25,-0.0005
66,"(0.4, 0.5)","(0.1, 0.2)","(0.4, 0.5)",2,86,0.0002,0.0086,-84,7056,-0.0084
67,"(0.4, 0.5)","(0.1, 0.2)","(0.3, 0.4)",24,144,0.0024,0.0144,-120,14400,-0.012
68,"(0.4, 0.5)","(0.2, 0.3)","(0.3, 0.4)",241,609,0.0241,0.0609,-368,135424,-0.0368
69,"(0.4, 0.5)","(0.2, 0.3)","(0.2, 0.3)",357,682,0.0357,0.0682,-325,105625,-0.032499999999999994
70,"(0.4, 0.5)","(0.3, 0.4)","(0.2, 0.3)",320,550,0.032,0.055,-230,52900,-0.023
71,"(0.4, 0.5)","(0.3, 0.4)","(0.1, 0.2)",41,151,0.0041,0.0151,-110,12100,-0.011
72,"(0.4, 0.5)","(0.4, 0.5)","(0.1, 0.2)",27,49,0.0027,0.0049,-22,484,-0.0021999999999999997
73,"(0.4, 0.5)","(0.4, 0.5)","(0.0, 0.1)",3,3,0.0003,0.0003,0,0,0.0
74,"(0.4, 0.5)","(0.5, 0.6)","(0.0, 0.1)",0,0,0.0,0.0,0,0,0.0
75,"(0.5, 0.6)","(0.0, 0.1)","(0.4, 0.5)",0,5,0.0,0.0005,-5,25,-0.0005
76,"(0.5, 0.6)","(0.0, 0.1)","(0.3, 0.4)",0,7,0.0,0.0007,-7,49,-0.0007
77,"(0.5, 0.6)","(0.1, 0.2)","(0.3, 0.4)",8,97,0.0008,0.0097,-89,7921,-0.0089
78,"(0.5, 0.6)","(0.1, 0.2)","(0.2, 0.3)",30,240,0.003,0.024,-210,44100,-0.021
79,"(0.5, 0.6)","(0.2, 0.3)","(0.2, 0.3)",107,438,0.0107,0.0438,-331,109561,-0.0331
80,"(0.5, 0.6)","(0.2, 0.3)","(0.1, 0.2)",35,196,0.0035,0.0196,-161,25921,-0.0161
81,"(0.5, 0.6)","(0.3, 0.4)","(0.1, 0.2)",12,85,0.0012,0.0085,-73,5329,-0.007300000000000001
82,"(0.5, 0.6)","(0.3, 0.4)","(0.0, 0.1)",0,17,0.0,0.0017,-17,289,-0.0017
83,"(0.5, 0.6)","(0.4, 0.5)","(0.0, 0.1)",0,4,0.0,0.0004,-4,16,-0.0004
84,"(0.6, 0.7)","(0.0, 0.1)","(0.3, 0.4)",0,2,0.0,0.0002,-2,4,-0.0002
85,"(0.6, 0.7)","(0.0, 0.1)","(0.2, 0.3)",0,1,0.0,0.0001,-1,1,-0.0001
86,"(0.6, 0.7)","(0.1, 0.2)","(0.2, 0.3)",3,114,0.0003,0.0114,-111,12321,-0.0111
87,"(0.6, 0.7)","(0.1, 0.2)","(0.1, 0.2)",7,137,0.0007,0.0137,-130,16900,-0.013000000000000001
88,"(0.6, 0.7)","(0.2, 0.3)","(0.1, 0.2)",5,124,0.0005,0.0124,-119,14161,-0.011899999999999999
89,"(0.6, 0.7)","(0.2, 0.3)","(0.0, 0.1)",0,20,0.0,0.002,-20,400,-0.002
90,"(0.6, 0.7)","(0.3, 0.4)","(0.0, 0.1)",0,6,0.0,0.0006,-6,36,-0.0006
91,"(0.7, 0.8)","(0.0, 0.1)","(0.2, 0.3)",0,10,0.0,0.001,-10,100,-0.001
92,"(0.7, 0.8)","(0.0, 0.1)","(0.1, 0.2)",0,44,0.0,0.0044,-44,1936,-0.0044
93,"(0.7, 0.8)","(0.1, 0.2)","(0.1, 0.2)",0,77,0.0,0.0077,-77,5929,-0.0077
94,"(0.7, 0.8)","(0.1, 0.2)","(0.0, 0.1)",0,34,0.0,0.0034,-34,1156,-0.0034
95,"(0.7, 0.8)","(0.2, 0.3)","(0.0, 0.1)",0,4,0.0,0.0004,-4,16,-0.0004
96,"(0.8, 0.9)","(0.0, 0.1)","(0.1, 0.2)",0,4,0.0,0.0004,-4,16,-0.0004
97,"(0.8, 0.9)","(0.0, 0.1)","(0.0, 0.1)",0,37,0.0,0.0037,-37,1369,-0.0037
98,"(0.8, 0.9)","(0.1, 0.2)","(0.0, 0.1)",0,30,0.0,0.003,-30,900,-0.003
99,"(0.9, 1.0)","(0.0, 0.1)","(0.0, 0.1)",0,0,0.0,0.0,0,0,0.0
