T1,T2,T3,position
"(0,(3,(1,2)));","(0,(1,(2,3)));","(0,(2,(1,3)));",
0.4084,0.3488,0.2428,0.000
0.3824,0.4024,0.2152,3082.000
0.3824,0.4024,0.2152,13735.000
0.344,0.4,0.256,27704.000
0.3568,0.3784,0.2648,46914.000
0.3832,0.3136,0.3032,54375.000
0.3832,0.3136,0.3032,68357.000
0.3898,0.3154,0.2948,70233.000
0.4116,0.2812,0.3072,101137.000
0.4116,0.2812,0.3072,101867.000
0.4156,0.2772,0.3072,106707.000
0.4156,0.2772,0.3072,115527.000
0.497,0.2468,0.2562,116080.000
0.3626,0.2596,0.3778,122083.000
0.3544,0.2624,0.3832,134589.000
0.3776,0.232,0.3904,171524.000
0.3928,0.188,0.4192,175320.000
0.3948,0.188,0.4172,204271.000
0.407,0.266,0.327,211955.000
0.3578,0.3098,0.3324,215865.000
0.37,0.315,0.315,238814.000
0.37,0.315,0.315,266369.000
0.37,0.315,0.315,268146.000
0.392,0.312,0.296,272603.000
0.389,0.312,0.299,309003.000
0.404,0.313,0.283,316322.000
0.4076,0.287,0.3054,325111.000
0.3884,0.2972,0.3144,328941.000
0.3854,0.3002,0.3144,330956.000
0.3854,0.3002,0.3144,353440.000
0.3812,0.3126,0.3062,363975.000
0.3902,0.3066,0.3032,370469.000
0.3542,0.3026,0.3432,375649.000
0.3542,0.3026,0.3432,409218.000
0.329,0.353,0.318,410157.000
0.3332,0.3446,0.3222,416833.000
0.3332,0.3446,0.3222,423649.000
0.3332,0.3406,0.3262,448937.000
0.3332,0.3406,0.3262,453102.000
0.3332,0.3406,0.3262,455254.000
0.3332,0.3406,0.3262,461548.000
0.3394,0.3535,0.3071,499789.000
0.3298,0.3586,0.3116,503049.000
0.3298,0.3586,0.3116,505810.000
0.3298,0.3586,0.3116,512190.000
0.3298,0.3586,0.3116,534567.000
0.3298,0.3586,0.3116,540734.000
0.3198,0.3706,0.3096,559955.000
0.3278,0.3686,0.3036,563408.000
0.3278,0.3686,0.3036,564988.000
0.3296,0.3852,0.2852,590057.000
0.3296,0.3852,0.2852,599727.000
0.2864,0.4068,0.3068,601094.000
0.2864,0.4068,0.3068,621186.000
0.2864,0.4088,0.3048,624107.000
0.2854,0.4088,0.3058,624391.000
0.3046,0.3822,0.3132,628108.000
0.3046,0.3822,0.3132,653731.000
0.3058,0.3906,0.3036,659872.000
0.2674,0.4098,0.3228,673452.000
0.2756,0.3722,0.3522,677997.000
0.2612,0.3398,0.399,689720.000
0.2612,0.3398,0.399,693511.000
0.2584,0.3384,0.4032,704599.000
0.2584,0.3384,0.4032,716232.000
0.2584,0.3384,0.4032,722171.000
0.2716,0.272,0.4564,741535.000
0.276,0.2454,0.4786,744576.000
0.2832,0.2526,0.4642,745094.000
0.2832,0.2526,0.4642,745400.000
0.3053,0.2462,0.4485,751754.000
0.3053,0.2462,0.4485,755760.000
0.308,0.2132,0.4788,761863.000
0.3284,0.215,0.4566,769475.000
0.3332,0.2254,0.4414,773903.000
0.3426,0.243,0.4144,796236.000
0.3426,0.243,0.4144,797607.000
0.3468,0.2568,0.3964,799336.000
0.3343,0.2552,0.4105,800266.000
0.337,0.2498,0.4132,818006.000
0.337,0.2488,0.4142,821621.000
0.337,0.2488,0.4142,831649.000
0.337,0.2488,0.4142,832271.000
0.3301,0.2458,0.4241,840798.000
0.3147,0.2467,0.4386,841020.000
0.3147,0.2467,0.4386,844741.000
0.3269,0.2681,0.405,845199.000
0.3157,0.2678,0.4165,852881.000
0.3157,0.2678,0.4165,856223.000
0.3289,0.2628,0.4083,861437.000
0.3442,0.2911,0.3647,864738.000
0.3691,0.3068,0.3241,869444.000
0.3691,0.3068,0.3241,870376.000
0.3691,0.3068,0.3241,879521.000
0.3759,0.2951,0.329,880887.000
0.3702,0.2818,0.348,881034.000
0.3494,0.2894,0.3612,883893.000
0.3494,0.2894,0.3612,887041.000
0.37,0.2758,0.3542,892256.000
0.364,0.2758,0.3602,905985.000
0.364,0.2758,0.3602,910823.000
0.357,0.262,0.381,911660.000
0.357,0.262,0.381,921034.000
0.357,0.263,0.38,948942.000
0.357,0.263,0.38,950004.000
0.357,0.263,0.38,979823.000
0.35,0.2492,0.4008,1016400.000
0.3308,0.2492,0.42,1020794.000
0.3328,0.2572,0.41,1026892.000
0.3328,0.2572,0.41,1052760.000
0.3328,0.2572,0.41,1084690.000
0.3328,0.2572,0.41,1085995.000
0.3328,0.2572,0.41,1097105.000
0.3336,0.259,0.4074,1124139.000
0.3336,0.259,0.4074,1126490.000
0.3336,0.259,0.4074,1131402.000
0.3336,0.259,0.4074,1131800.000
0.3096,0.2622,0.4282,1161408.000
0.3096,0.2622,0.4282,1163602.000
0.3096,0.2622,0.4282,1164721.000
0.276,0.235,0.489,1175807.000
0.259,0.25,0.491,1179931.000
0.26,0.249,0.491,1183019.000
0.263,0.267,0.47,1186368.000
0.2594,0.2933,0.4473,1208022.000
0.2594,0.2933,0.4473,1213950.000
0.2613,0.2871,0.4516,1222000.000
0.2588,0.3072,0.434,1232721.000
0.2588,0.3072,0.434,1241890.000
0.2574,0.2556,0.487,1249102.000
0.2592,0.2828,0.458,1257250.000
0.2358,0.3266,0.4376,1264092.000
0.2844,0.2852,0.4304,1274210.000
0.2714,0.2902,0.4384,1276582.000
0.2714,0.2902,0.4384,1300279.000
0.2714,0.2902,0.4384,1303500.000
0.2706,0.2922,0.4372,1314574.000
0.2706,0.2922,0.4372,1320881.000
0.2706,0.2842,0.4452,1342157.000
0.2729,0.3218,0.4053,1348369.000
0.2431,0.2534,0.5035,1358613.000
0.2596,0.2584,0.482,1361502.000
0.2596,0.2584,0.482,1366098.000
