T1,T2,T3,position
"(0,(3,(1,2)));","(0,(1,(2,3)));","(0,(2,(1,3)));",
0.354,0.321,0.325,0.000
0.354,0.321,0.325,3394.000
0.347,0.333,0.32,7947.000
0.359,0.321,0.32,23184.000
0.359,0.321,0.32,26539.000
0.359,0.321,0.32,30886.000
0.359,0.321,0.32,54920.000
0.359,0.321,0.32,56074.000
0.359,0.321,0.32,56172.000
0.373,0.307,0.32,63998.000
0.373,0.307,0.32,65561.000
0.358,0.315,0.327,73469.000
0.358,0.315,0.327,74233.000
0.358,0.315,0.327,80199.000
0.346,0.315,0.339,83255.000
0.346,0.315,0.339,84291.000
0.333,0.334,0.333,85086.000
0.334,0.333,0.333,86514.000
0.342,0.334,0.324,94011.000
0.342,0.334,0.324,103276.000
0.327,0.342,0.331,119205.000
0.342,0.334,0.324,120303.000
0.324,0.345,0.331,121268.000
0.335,0.316,0.349,122089.000
0.335,0.316,0.349,125041.000
0.3445,0.325,0.3305,144007.000
0.3445,0.325,0.3305,145743.000
0.3445,0.325,0.3305,146928.000
0.3445,0.325,0.3305,148611.000
0.3445,0.325,0.3305,148641.000
0.3445,0.325,0.3305,157927.000
0.3395,0.326,0.3345,166607.000
0.3395,0.326,0.3345,174701.000
0.3425,0.3075,0.35,175986.000
0.3425,0.3075,0.35,191470.000
0.3565,0.312,0.3315,191794.000
0.353,0.319,0.328,199802.000
0.3455,0.319,0.3355,213614.000
0.3465,0.318,0.3355,222491.000
0.3475,0.321,0.3315,226931.000
0.3475,0.321,0.3315,231662.000
0.3365,0.327,0.3365,239195.000
0.3365,0.327,0.3365,244222.000
0.3355,0.328,0.3365,245884.000
0.3035,0.318,0.3785,248409.000
0.2548,0.3368,0.4084,258221.000
0.234,0.3706,0.3954,263626.000
0.2876,0.3432,0.3692,267351.000
0.2876,0.3432,0.3692,277524.000
0.3127,0.3674,0.3199,278532.000
0.3107,0.3694,0.3199,291825.000
0.3107,0.3694,0.3199,298802.000
0.341,0.326,0.333,298883.000
0.343,0.324,0.333,301088.000
0.302,0.3095,0.3885,339176.000
0.341,0.316,0.343,350335.000
0.3668,0.2936,0.3396,355185.000
0.3688,0.2916,0.3396,367821.000
0.3624,0.3088,0.3288,370142.000
0.3408,0.3292,0.33,379661.000
0.3348,0.3292,0.336,387883.000
0.3684,0.3428,0.2888,393311.000
0.3684,0.3428,0.2888,403252.000
0.3558,0.3096,0.3346,408011.000
0.3558,0.3096,0.3346,412277.000
0.3558,0.3096,0.3346,428490.000
0.3344,0.3018,0.3638,436509.000
0.3344,0.3018,0.3638,436905.000
0.3344,0.3018,0.3638,446438.000
0.3294,0.3048,0.3658,453668.000
0.3294,0.3048,0.3658,462779.000
0.3294,0.3048,0.3658,470503.000
0.3354,0.2998,0.3648,475113.000
0.3354,0.2998,0.3648,480355.000
0.3354,0.2998,0.3648,481233.000
0.3354,0.2998,0.3648,481336.000
0.3256,0.303,0.3714,483065.000
0.3254,0.3102,0.3644,485724.000
0.3182,0.3066,0.3752,490421.000
0.3178,0.3096,0.3726,504092.000
0.3196,0.2986,0.3818,505197.000
0.3196,0.2986,0.3818,509089.000
0.3694,0.2698,0.3608,511752.000
0.3738,0.2666,0.3596,517989.000
0.3748,0.2666,0.3586,520461.000
0.4204,0.3058,0.2738,532400.000
0.4172,0.3074,0.2754,536776.000
0.4204,0.3058,0.2738,545858.000
0.3762,0.3194,0.3044,569111.000
0.3762,0.3194,0.3044,570771.000
0.3732,0.3204,0.3064,583484.000
0.3732,0.3204,0.3064,584689.000
0.3732,0.3204,0.3064,585636.000
0.3762,0.3194,0.3044,593357.000
0.33,0.334,0.336,596595.000
0.33,0.334,0.336,624925.000
0.33,0.334,0.336,637731.000
0.33,0.334,0.336,644508.000
0.355,0.35,0.295,678532.000
0.355,0.35,0.295,680948.000
0.359,0.352,0.289,685267.000
0.404,0.346,0.25,689019.000
0.41,0.337,0.253,699155.000
0.41,0.337,0.253,703794.000
0.41,0.337,0.253,713375.000
0.41,0.337,0.253,724917.000
0.358,0.36,0.282,725349.000
0.358,0.36,0.282,733820.000
0.358,0.36,0.282,734060.000
0.358,0.36,0.282,734373.000
0.364,0.357,0.279,764167.000
0.364,0.357,0.279,769853.000
0.364,0.357,0.279,771151.000
0.364,0.357,0.279,773090.000
0.364,0.357,0.279,773644.000
0.3996,0.3342,0.2662,773893.000
0.3996,0.3342,0.2662,778400.000
0.3572,0.3534,0.2894,781305.000
0.3572,0.3534,0.2894,795294.000
0.3572,0.3534,0.2894,804746.000
0.3572,0.3534,0.2894,836890.000
0.3572,0.3534,0.2894,844376.000
0.3572,0.3534,0.2894,851763.000
0.3572,0.3534,0.2894,863152.000
0.3572,0.3534,0.2894,867789.000
0.3664,0.333,0.3006,871885.000
0.3572,0.3478,0.295,880292.000
0.3572,0.3478,0.295,893219.000
0.3572,0.3478,0.295,906208.000
0.3436,0.361,0.2954,910964.000
0.3364,0.3616,0.302,913210.000
0.3554,0.3596,0.285,913263.000
0.352,0.3652,0.2828,934221.000
0.342,0.3712,0.2868,941951.000
0.342,0.3712,0.2868,943434.000
0.3349,0.3802,0.2849,945101.000
0.3349,0.3802,0.2849,951233.000
0.3349,0.3802,0.2849,959191.000
0.3349,0.3802,0.2849,966924.000
0.3295,0.3805,0.29,974791.000
0.3295,0.3805,0.29,978083.000
0.3355,0.3825,0.282,991910.000
0.3355,0.3825,0.282,992187.000
0.3415,0.3735,0.285,1004810.000
0.3415,0.3735,0.285,1006315.000
0.3445,0.3645,0.291,1011619.000
0.3445,0.3645,0.291,1021661.000
0.3445,0.3645,0.291,1021880.000
0.3445,0.3645,0.291,1040833.000
0.335,0.395,0.27,1041056.000
0.335,0.401,0.264,1042990.000
0.335,0.398,0.267,1045231.000
0.335,0.398,0.267,1045603.000
0.335,0.401,0.264,1050761.000
0.335,0.405,0.26,1054152.000
0.335,0.405,0.26,1057211.000
0.335,0.405,0.26,1060074.000
0.333,0.385,0.282,1091911.000
0.329,0.388,0.283,1093818.000
0.328,0.379,0.293,1095445.000
0.328,0.379,0.293,1120097.000
0.3394,0.3772,0.2834,1126441.000
0.3192,0.3986,0.2822,1128873.000
0.3252,0.3986,0.2762,1145507.000
0.3372,0.3818,0.281,1145560.000
0.3892,0.3454,0.2654,1160451.000
0.3892,0.3454,0.2654,1163739.000
0.3964,0.3228,0.2808,1176404.000
0.4056,0.2972,0.2972,1178619.000
0.4056,0.2992,0.2952,1179005.000
0.4036,0.2992,0.2972,1196086.000
0.3996,0.3032,0.2972,1198332.000
0.3996,0.3032,0.2972,1205033.000
0.3996,0.3032,0.2972,1211576.000
0.402,0.2876,0.3104,1211853.000
0.4255,0.2631,0.3114,1219325.000
0.4255,0.2631,0.3114,1236727.000
0.4082,0.2724,0.3194,1240072.000
0.4082,0.2724,0.3194,1249639.000
0.4025,0.2682,0.3293,1249855.000
0.4025,0.2682,0.3293,1252014.000
0.4043,0.271,0.3247,1258288.000
0.4043,0.271,0.3247,1258678.000
0.4043,0.274,0.3217,1259143.000
0.4173,0.2517,0.331,1259627.000
0.4173,0.2497,0.333,1277880.000
0.4173,0.2497,0.333,1286679.000
0.3495,0.2155,0.435,1287329.000
0.3495,0.2155,0.435,1305022.000
