T1,T2,T3,position
"(0,(3,(1,2)));","(0,(1,(2,3)));","(0,(2,(1,3)));",
0.3836,0.2928,0.3236,0.000
0.3836,0.2928,0.3236,21665.000
0.3836,0.2928,0.3236,30906.000
0.3836,0.2928,0.3236,32017.000
0.3836,0.2928,0.3236,35074.000
0.3914,0.3082,0.3004,48059.000
0.325,0.329,0.346,53619.000
0.325,0.329,0.346,57559.000
0.325,0.329,0.346,61276.000
0.3329,0.3227,0.3444,75053.000
0.3329,0.3227,0.3444,88077.000
0.2853,0.4019,0.3128,133893.000
0.2532,0.4229,0.3239,148360.000
0.2359,0.4501,0.314,155137.000
0.2532,0.4229,0.3239,158104.000
0.2548,0.4125,0.3327,158147.000
0.2491,0.4137,0.3372,158857.000
0.2518,0.4004,0.3478,165548.000
0.2763,0.2808,0.4429,185581.000
0.2763,0.2808,0.4429,190100.000
0.2763,0.2808,0.4429,190144.000
0.2259,0.2637,0.5104,192686.000
0.2079,0.2507,0.5414,206189.000
0.2079,0.2507,0.5414,219334.000
0.2079,0.2507,0.5414,223048.000
0.2372,0.2768,0.486,226177.000
0.2356,0.2724,0.492,238266.000
0.2356,0.2724,0.492,245777.000
0.2428,0.2976,0.4596,252382.000
0.248,0.3234,0.4286,266106.000
0.248,0.3234,0.4286,275305.000
0.248,0.3234,0.4286,279276.000
0.248,0.3264,0.4256,279358.000
0.2728,0.3216,0.4056,285663.000
0.2848,0.3276,0.3876,288701.000
0.2414,0.4086,0.35,290759.000
0.2414,0.4086,0.35,299752.000
0.3092,0.4044,0.2864,302038.000
0.3208,0.364,0.3152,303001.000
0.3208,0.364,0.3152,315078.000
0.3268,0.352,0.3212,320712.000
0.3268,0.352,0.3212,324414.000
0.3288,0.3572,0.314,328967.000
0.3134,0.3294,0.3572,330326.000
0.2892,0.3228,0.388,331821.000
0.2722,0.3442,0.3836,349335.000
0.2722,0.3442,0.3836,353744.000
0.2722,0.3442,0.3836,355653.000
0.2542,0.3562,0.3896,356408.000
0.221,0.3722,0.4068,365278.000
0.221,0.3722,0.4068,368420.000
0.2084,0.3644,0.4272,380539.000
0.2044,0.3824,0.4132,385832.000
0.2044,0.3824,0.4132,389333.000
0.2044,0.3824,0.4132,408114.000
0.2044,0.3824,0.4132,429152.000
0.2032,0.3792,0.4176,431577.000
0.2032,0.3792,0.4176,435787.000
0.223,0.4764,0.3006,442942.000
0.223,0.4764,0.3006,455531.000
0.223,0.4764,0.3006,465748.000
0.223,0.4764,0.3006,471143.000
0.28,0.4212,0.2988,478280.000
0.28,0.4212,0.2988,480134.000
0.2752,0.3366,0.3882,481331.000
0.1992,0.3612,0.4396,494688.000
0.1992,0.3612,0.4396,504694.000
0.1992,0.3612,0.4396,504780.000
0.2052,0.3572,0.4376,519850.000
0.2412,0.4052,0.3536,556481.000
0.2226,0.4596,0.3178,559213.000
0.2026,0.3836,0.4138,565577.000
0.2234,0.3728,0.4038,578098.000
0.2234,0.3728,0.4038,579150.000
0.2234,0.3728,0.4038,597948.000
0.2254,0.3718,0.4028,602945.000
0.2254,0.3718,0.4028,608843.000
0.2254,0.3718,0.4028,610203.000
0.2094,0.3512,0.4394,612921.000
0.2094,0.3512,0.4394,624408.000
0.238,0.3578,0.4042,624985.000
0.2212,0.4142,0.3646,634206.000
0.2212,0.4142,0.3646,654976.000
0.1906,0.4276,0.3818,666970.000
0.1906,0.4276,0.3818,671042.000
0.1906,0.4276,0.3818,678218.000
0.1906,0.4276,0.3818,685235.000
0.1906,0.4276,0.3818,692063.000
0.1906,0.4276,0.3818,695929.000
0.1906,0.4276,0.3818,711375.000
0.1906,0.4276,0.3818,720691.000
0.1906,0.4276,0.3818,732883.000
0.1906,0.4276,0.3818,736036.000
0.2242,0.3372,0.4386,738150.000
0.2242,0.3372,0.4386,740699.000
0.2242,0.3372,0.4386,759867.000
0.2294,0.3414,0.4292,771615.000
0.2842,0.3612,0.3546,777429.000
0.287,0.35,0.363,783536.000
0.287,0.35,0.363,784869.000
0.267,0.354,0.379,823600.000
0.267,0.354,0.379,824371.000
0.267,0.354,0.379,828402.000
0.247,0.318,0.435,839149.000
0.259,0.306,0.435,848301.000
0.259,0.306,0.435,872307.000
0.259,0.306,0.435,873137.000
0.268,0.31,0.422,879458.000
0.272,0.304,0.424,902446.000
0.317,0.359,0.324,902484.000
0.305,0.369,0.326,926484.000
0.313,0.343,0.344,927541.000
0.3194,0.3398,0.3408,931484.000
0.2746,0.4414,0.284,937494.000
0.2986,0.4426,0.2588,961276.000
0.2986,0.4426,0.2588,964838.000
0.3036,0.4386,0.2578,989302.000
0.3134,0.4394,0.2472,989570.000
0.2926,0.4666,0.2408,995283.000
0.2926,0.4666,0.2408,1000205.000
0.2886,0.4706,0.2408,1005263.000
0.2678,0.4734,0.2588,1011304.000
0.2638,0.4814,0.2548,1027987.000
0.2419,0.5172,0.2409,1059907.000
0.2419,0.5172,0.2409,1062191.000
0.2389,0.5212,0.2399,1075534.000
0.2371,0.4954,0.2675,1109394.000
0.2349,0.4218,0.3433,1113600.000
0.2388,0.384,0.3772,1113707.000
0.2388,0.384,0.3772,1116111.000
0.2292,0.3584,0.4124,1127480.000
0.2292,0.3584,0.4124,1141916.000
0.2292,0.3584,0.4124,1160581.000
0.2292,0.3584,0.4124,1166459.000
0.2292,0.3584,0.4124,1192419.000
0.2352,0.3524,0.4124,1194823.000
0.2528,0.349,0.3982,1207633.000
0.2528,0.349,0.3982,1207725.000
0.2786,0.317,0.4044,1209499.000
0.2828,0.2986,0.4186,1221151.000
0.2738,0.2942,0.432,1222535.000
0.2758,0.2864,0.4378,1227470.000
0.2758,0.2864,0.4378,1235960.000
0.2758,0.2864,0.4378,1237814.000
0.2738,0.2942,0.432,1248294.000
0.2738,0.2942,0.432,1263468.000
0.2738,0.2942,0.432,1269210.000
0.2958,0.307,0.3972,1276397.000
0.2958,0.307,0.3972,1283170.000
0.2958,0.307,0.3972,1287795.000
0.2958,0.307,0.3972,1288695.000
0.3441,0.2926,0.3633,1294968.000
0.3207,0.3144,0.3649,1297887.000
0.3207,0.3144,0.3649,1321288.000
0.3052,0.3118,0.383,1324556.000
0.3052,0.3118,0.383,1326562.000
0.3052,0.3118,0.383,1337112.000
0.3004,0.324,0.3756,1345817.000
0.3004,0.324,0.3756,1349551.000
0.3172,0.3288,0.354,1353501.000
0.315,0.3382,0.3468,1354302.000
0.2702,0.4244,0.3054,1373613.000
0.2702,0.4244,0.3054,1377257.000
0.2702,0.4244,0.3054,1387381.000
0.1858,0.4508,0.3634,1387941.000
0.1858,0.4508,0.3634,1393352.000
0.2064,0.5224,0.2712,1405250.000
0.2707,0.4362,0.2931,1420393.000
0.2832,0.419,0.2978,1420543.000
0.366,0.3286,0.3054,1435285.000
0.366,0.3286,0.3054,1436627.000
0.366,0.3286,0.3054,1438215.000
0.366,0.3286,0.3054,1447687.000
0.358,0.3286,0.3134,1469002.000
0.3318,0.3286,0.3396,1487404.000
0.3318,0.3286,0.3396,1487481.000
0.3318,0.3266,0.3416,1497148.000
0.3289,0.3171,0.354,1499363.000
0.3445,0.2691,0.3864,1505485.000
0.3445,0.2691,0.3864,1510953.000
0.3157,0.3183,0.366,1513551.000
0.3157,0.3183,0.366,1521476.000
0.3257,0.3133,0.361,1523479.000
0.3257,0.3133,0.361,1527176.000
0.3421,0.2967,0.3612,1527566.000
0.3518,0.3036,0.3446,1542868.000
0.3518,0.3036,0.3446,1547075.000
0.3518,0.3036,0.3446,1566400.000
0.359,0.294,0.347,1569507.000
0.359,0.294,0.347,1574194.000
0.3398,0.2864,0.3738,1592277.000
0.3382,0.2974,0.3644,1595937.000
0.3605,0.3019,0.3376,1602304.000
0.3605,0.3019,0.3376,1613363.000
0.3873,0.3144,0.2983,1617548.000
0.3873,0.3144,0.2983,1619596.000
0.3913,0.3144,0.2943,1628052.000
0.3538,0.3329,0.3133,1649925.000
0.331,0.343,0.326,1654378.000
0.331,0.343,0.326,1660004.000
0.3249,0.3537,0.3214,1671888.000
0.3249,0.3537,0.3214,1705860.000
0.3003,0.3771,0.3226,1705934.000
0.2914,0.3744,0.3342,1715862.000
0.2994,0.37,0.3306,1728446.000
0.324,0.3516,0.3244,1732014.000
0.324,0.3516,0.3244,1747473.000
0.2625,0.4254,0.3121,1755749.000
0.2818,0.438,0.2802,1756046.000
0.2754,0.4312,0.2934,1756597.000
0.2576,0.4212,0.3212,1760924.000
0.2754,0.4312,0.2934,1761377.000
0.2906,0.4188,0.2906,1767704.000
0.2708,0.4564,0.2728,1774030.000
0.2616,0.4598,0.2786,1778053.000
0.2768,0.4486,0.2746,1779380.000
0.2744,0.4374,0.2882,1799829.000
0.2744,0.4374,0.2882,1802657.000
0.2944,0.3826,0.323,1808437.000
0.2944,0.3826,0.323,1813059.000
0.3092,0.411,0.2798,1814379.000
0.3092,0.411,0.2798,1818343.000
0.3228,0.3808,0.2964,1821329.000
0.3228,0.3808,0.2964,1826535.000
0.3252,0.382,0.2928,1837773.000
0.3252,0.382,0.2928,1842105.000
0.3052,0.3996,0.2952,1854953.000
0.3024,0.3992,0.2984,1855575.000
0.3436,0.3388,0.3176,1879549.000
0.3396,0.3428,0.3176,1886919.000
0.26,0.4136,0.3264,1896879.000
0.244,0.482,0.274,1909762.000
0.2424,0.4852,0.2724,1910796.000
0.2812,0.4096,0.3092,1914652.000
0.2812,0.4096,0.3092,1916132.000
0.2408,0.4864,0.2728,1917741.000
0.2408,0.4864,0.2728,1926894.000
0.2408,0.4864,0.2728,1930009.000
0.2408,0.4864,0.2728,1942425.000
0.3276,0.4028,0.2696,1947556.000
0.3142,0.403,0.2828,1948923.000
0.3214,0.4104,0.2682,1960386.000
0.3422,0.388,0.2698,1961848.000
0.3382,0.392,0.2698,1964672.000
0.3382,0.392,0.2698,1970210.000
0.3607,0.347,0.2923,1971987.000
0.3552,0.352,0.2928,1973323.000
0.3552,0.352,0.2928,1976929.000
0.3552,0.352,0.2928,1983639.000
0.3624,0.345,0.2926,1986548.000
0.3624,0.345,0.2926,1988380.000
0.3834,0.3345,0.2821,2000885.000
0.3834,0.3345,0.2821,2003027.000
0.3573,0.3207,0.322,2006614.000
0.3573,0.3207,0.322,2011719.000
0.3485,0.3299,0.3216,2018613.000
0.3485,0.3299,0.3216,2033669.000
0.3529,0.3389,0.3082,2034047.000
0.3529,0.3389,0.3082,2049054.000
0.3529,0.3389,0.3082,2052405.000
0.3504,0.3344,0.3152,2052843.000
