T1,T2,T3,position
"(0,(1,(2,3)));","(0,(2,(1,3)));","(0,(3,(1,2)));",
0.2808,0.3186,0.4006,0.000
0.2728,0.3174,0.4098,14938.000
0.281,0.3346,0.3844,34046.000
0.3114,0.293,0.3956,44180.000
0.3066,0.3074,0.386,44667.000
0.3066,0.3074,0.386,46262.000
0.3066,0.3074,0.386,58609.000
0.2388,0.29,0.4712,81044.000
0.2004,0.3308,0.4688,83447.000
0.2004,0.3308,0.4688,110213.000
0.2004,0.3308,0.4688,111311.000
0.2004,0.3308,0.4688,139641.000
0.2004,0.3308,0.4688,144598.000
0.2004,0.3308,0.4688,147272.000
0.2004,0.3308,0.4688,164591.000
0.2132,0.3412,0.4456,192076.000
0.2132,0.3412,0.4456,203465.000
0.2132,0.3412,0.4456,210863.000
0.2068,0.336,0.4572,212562.000
0.2068,0.336,0.4572,227842.000
0.1748,0.312,0.5132,254397.000
0.1748,0.312,0.5132,261395.000
0.1808,0.306,0.5132,266184.000
0.2096,0.286,0.5044,268920.000
0.2272,0.3132,0.4596,272995.000
0.2272,0.3132,0.4596,277252.000
0.2694,0.2972,0.4334,282126.000
0.2698,0.2824,0.4478,297467.000
0.277,0.287,0.436,311584.000
0.2975,0.246,0.4565,315535.000
0.2975,0.246,0.4565,317997.000
0.4255,0.182,0.3925,335185.000
0.3295,0.242,0.4285,361751.000
0.2295,0.342,0.4285,372713.000
0.2295,0.342,0.4285,383983.000
0.2295,0.342,0.4285,406254.000
0.2295,0.342,0.4285,407270.000
0.264,0.378,0.358,414914.000
0.264,0.372,0.364,417251.000
0.2585,0.368,0.3735,434402.000
0.2695,0.375,0.3555,435313.000
0.2695,0.375,0.3555,440523.000
0.2805,0.352,0.3675,446132.000
0.2555,0.304,0.4405,456048.000
0.2555,0.304,0.4405,458423.000
0.2615,0.294,0.4445,478393.000
0.2615,0.294,0.4445,489001.000
0.2785,0.2923,0.4292,496820.000
0.2722,0.3152,0.4126,501874.000
0.2722,0.3152,0.4126,512211.000
